1637490751,0,0,3,"C7,C6,C9,C2;CQ,C3,CK,C4;CA,C8,CJ,HA;S9,S7,S5,S8;SK,S10,SJ,SQ;D2,D10,D4,DA;DK,SA,S4,S6;D8,S2,HK,HQ;D5,S3,H8,H9;D3,D6,D7,DQ;H10,D9,H3,DJ;H2,HJ,C10,H4;H6,H7,C5,H5"
1637490751,0,7,3,"C3,CK,CA,C2;C6,C8,CQ,C9;D7,DJ,DQ,D10;S2,SJ,S3,SA;S9,SQ,S10,SK;S6,HQ,S5,S7;H5,H10,H6,H8;C5,C10,C7,HK;D3,D4,D5,D2;DK,DA,D8,D6;H3,H2,HJ,H7;CJ,H9,S8,S4;C4,H4,HA,D9"
1637490751,0,4,3,"C3,C8,CJ,C2;C5,C7,C6,C4;D2,D4,DA,D3;S4,S6,S2,SJ;S7,S8,S3,S5;CA,D10,D7,D9;CK,DQ,DJ,D8;CQ,S9,S10,HJ;C10,SQ,D5,DK;H5,HA,H4,H3;H6,H2,H8,H9;C9,SA,HK,D6;H10,SK,HQ,H7"
1637490751,0,3,3,"CA,C4,C8,C2;D9,D5,DA,DK;C10,CQ,CK,C6;S5,S8,S2,S3;D2,D3,D6,DQ;S7,SK,SQ,SA;D8,H7,D4,DJ;H8,H2,H3,H9;C7,S10,HK,D7;H6,CJ,H10,H5;S6,C9,S4,SJ;HA,C5,HJ,D10;HQ,C3,H4,S9"
1637490751,0,0,3,"CQ,C3,CK,C2;DJ,DA,D9,DQ;DK,D3,D7,D2;S4,S5,S6,SA;S9,S3,S7,S8;S10,S2,H9,SK;HJ,H10,H6,H7;SJ,HK,H2,H5;SQ,H8,C8,H4;C5,CJ,C4,C10;HQ,H3,D8,C6;CA,C9,C7,D5;HA,D10,D6,D4"
1637490751,0,3,3,"CA,CQ,CJ,C2;C4,C8,C3,C5;C7,C6,C9,DQ;D7,D10,DA,D9;S6,S2,S3,SA;SQ,S5,S10,S8;SK,HQ,S4,SJ;C10,H7,HA,H8;CK,H6,HK,D8;D3,D6,HJ,D2;DJ,D5,H10,D4;DK,H5,H9,S9;H3,H2,H4,S7"
1637490751,0,2,3,"CA,C8,CJ,C2;S9,SA,S7,S2;C5,C6,C4,C10;D7,D8,D10,DK;SJ,S6,S3,S8;C3,C7,DJ,HA;H6,H7,H2,H5;H4,H9,H8,HK;D2,D5,D9,D6;CK,SQ,S4,HQ;CQ,SK,S10,HJ;C9,D4,DQ,D3;H3,DA,S5,H10"
1637490751,0,0,3,"C3,CA,CQ,C2;C10,C9,CK,CJ;D10,DQ,DK,DJ;D9,D3,D4,D2;S3,S2,S4,SA;SQ,SJ,S5,SK;C5,HK,C4,C6;H5,HJ,H3,H10;S6,S7,HA,S9;H4,H9,D8,H2;C8,S10,D7,S8;HQ,H6,D6,H7;C7,H8,D5,DA"
1637490751,0,7,3,"CK,C7,CQ,C2;D4,DA,D2,DQ;D10,DJ,D5,D8;C8,C10,C9,C3;DK,CA,CJ,C6;S7,S3,S2,S6;S9,S8,HA,SK;H2,H5,H6,H3;D9,HJ,C4,H10;D7,SJ,C5,H7;HK,S10,H8,H4;SA,S5,HQ,SQ;D6,S4,H9,D3"
1637490751,0,0,3,"C6,CA,CJ,C2;D2,D4,DA,DK;DJ,D10,D3,D8;S3,S7,S9,SQ;SA,SK,SJ,S5;C8,CQ,C7,C5;DQ,S2,S8,S10;C9,C10,C3,HK;CK,C4,HQ,HJ;H2,HA,H6,H8;H9,S6,H10,S4;H5,H3,D9,D7;H7,H4,D5,D6"
1637490751,0,0,3,"CK,CJ,CA,C2;DJ,DQ,DA,DK;D3,D8,D2,D7;C6,C7,SK,C5;C4,C9,HQ,C8;H5,H3,H7,HA;H9,H8,H6,H10;C10,SQ,H2,CQ;HK,HJ,D10,H4;S6,SA,S10,S3;D6,S4,SJ,S2;D4,S7,D5,S9;C3,S5,D9,S8"
