1569977220,0,2,1,"C2,C4,C5,CJ;S3,SK,S5,S9;D3,DQ,D4,D9;S7,S4,S2,C10;D8,D7,D10,D5;S10,HA,S6,H2;DK,DA,D2,H5;C6,H7,CK,C3;SJ,C8,H3,CA;S8,DJ,HK,HJ;SA,H8,H10,C7;SQ,H4,HQ,C9;H9,CQ,D6,H6"
1569977220,0,0,1,"C2,C8,CJ,C4;D7,DK,D5,D3;D4,CQ,D8,DQ;C10,C9,C5,C6;CA,S9,CK,C7;S2,S6,S5,S10;D10,DA,HJ,DJ;SQ,SA,S4,SK;C3,HA,HQ,H3;S8,H10,SJ,S7;D2,D6,H9,D9;H5,H4,H2,H7;HK,H6,H8,S3"
1569977220,0,6,1,"C2,C7,C9,C10;S5,S6,SA,S7;S2,SJ,SQ,S3;D5,D10,DQ,H3;D2,D7,D3,H5;HA,H6,H2,HK;C3,C8,CJ,C5;S4,S8,SK,S9;C4,CQ,H7,HJ;D8,C6,DJ,D6;HQ,H9,D9,H4;DA,CA,DK,H10;D4,H8,CK,S10"
1569977220,0,13,1,"C2,C8,CQ,C3;D2,DA,D9,DK;S7,SQ,SJ,S10;S6,SA,SK,S3;D7,S2,D4,D6;DQ,HJ,D10,D5;C4,C7,C6,CA;S8,S5,S4,H3;D3,H6,DJ,H5;HA,H2,H7,H8;CK,C10,CJ,C5;HK,H4,D8,HQ;H9,C9,S9,H10"
1569977220,0,5,1,"C2,C3,CA,C6;DJ,D7,D5,D6;S7,SJ,SA,S8;S10,S4,H9,S6;S9,S3,CJ,S2;SQ,C7,C9,SK;H5,H3,HA,H10;D2,D4,DQ,D8;C8,C10,S5,CQ;DK,DA,HJ,D10;HQ,H7,HK,H4;D3,H8,C5,D9;C4,H2,H6,CK"
1569977220,0,0,1,"C2,C3,CA,CJ;C4,CQ,C7,C9;D5,DQ,SQ,D9;S4,S6,S2,SA;DK,H9,D6,D2;D8,H4,D4,D7;D10,S5,DJ,S3;C6,CK,HA,H2;SJ,S8,S9,HQ;C8,SK,DA,C5;C10,H10,HJ,H3;H6,S7,H8,H7;HK,H5,S10,D3"
1569977220,0,18,1,"C2,C7,CQ,CA;S6,S9,S7,SA;CK,C5,C8,C6;D8,D7,D2,D3;DA,D5,D10,D4;S2,SQ,S5,SK;S10,H5,S8,S4;SJ,H6,H7,HA;DQ,C3,H10,D6;D9,C9,H8,DK;H4,HJ,H2,H9;C10,HK,S3,C4;CJ,HQ,DJ,H3"
1569977220,0,0,1,"C2,C5,C10,CA;SA,S10,SQ,S3;D3,D6,D10,D7;C3,C6,CJ,C9;S5,S8,S6,S9;DA,D8,D2,DJ;DK,H8,H3,D4;D5,HA,H5,H9;SJ,SK,S4,S7;C8,H7,HQ,C7;CK,H10,H4,C4;CQ,H2,D9,HJ;S2,H6,DQ,HK"
1569977220,0,0,1,"C2,C3,CK,C10;S2,SQ,S3,S6;D3,DJ,DA,D7;C8,C5,CA,CJ;S8,SJ,S10,S7;D2,D8,H6,DK;C6,H4,H3,CQ;C9,HJ,HA,C4;C7,H10,SK,H2;SA,S5,S4,H7;S9,D9,HQ,H5;H9,HK,D10,D6;D5,H8,D4,DQ"
1569977220,0,6,1,"C2,CQ,C9,C5;D6,D8,DK,D2;D7,DA,D9,DQ;S8,S10,SA,S5;C7,C8,CA,C6;SJ,S3,SQ,S2;D5,D10,HK,D4;S7,SK,H8,S6;H10,H5,C4,H4;H6,H7,CK,H9;S9,S4,HJ,C10;DJ,HQ,H3,D3;C3,H2,HA,CJ"
1569977220,0,6,1,"C2,C4,CJ,C10;DJ,DK,D3,D8;DQ,D2,D10,D4;SA,S3,SJ,S10;S8,S4,HQ,S9;SQ,SK,H3,S2;H6,H9,H4,HJ;D7,D5,C6,DA;S7,H7,C5,S5;CK,C8,C7,C9;CQ,C3,CA,D6;HA,H5,HK,H2;H10,H8,D9,S6"
1569977220,0,2,1,"C2,CK,C5,CA;SK,S2,S5,SQ;C9,C3,C4,C6;D6,D5,D8,D3;DK,D2,D9,D4;DQ,S9,D7,D10;DJ,C7,S6,H7;DA,C10,CQ,H5;S7,S3,S8,S4;C8,CJ,H6,HJ;H9,H2,HQ,H10;H4,H3,SA,H8;HK,SJ,HA,S10"
1569977220,0,5,1,"C2,C5,CA,CQ;D5,D8,D3,D4;D2,DA,DQ,DK;S8,S3,S9,SJ;C9,HA,C4,CK;H10,H3,H6,H4;S4,S7,SQ,SA;C7,D9,C3,C10;S2,SK,S6,D10;D7,H8,H5,D6;S10,H2,HK,H9;DJ,C6,CJ,H7;S5,HQ,C8,HJ"
