1569977232,0,1,2,"C2,CK,C10,C9;D7,D2,D4,DA;S3,SQ,S2,S10;C4,C3,C5,D5;SA,SK,SJ,S8;S5,S4,DK,H8;S6,S9,HA,H5;H4,H2,HJ,HK;CJ,CA,C6,D8;DJ,D10,D6,D3;C7,CQ,H6,H3;H10,HQ,H9,H7;S7,C8,D9,DQ"
1569977232,0,3,2,"C2,C5,C9,C6;S3,S7,S10,S6;SA,HK,S8,S5;C8,C10,C4,CQ;DQ,D9,D3,D2;C7,H9,C3,S2;CJ,HQ,CA,H2;H8,H4,H10,H7;H3,HA,S9,H6;D8,D6,SK,DJ;D4,DA,D5,S4;D10,D7,SQ,CK;DK,H5,SJ,HJ"
1569977232,0,0,2,"C2,C3,C6,C4;D5,D9,D8,D6;C8,C9,CA,C5;C10,CQ,S4,CJ;SQ,S7,SA,S5;D2,DJ,D10,DA;CK,HK,S2,C7;S3,SK,S8,S6;D7,D4,DQ,H4;DK,H9,D3,HQ;H5,HA,H3,H10;H2,HJ,H8,S10;H7,S9,H6,SJ"
1569977232,0,1,2,"C2,C9,CJ,C5;DQ,D8,D5,DJ;C3,CK,C7,C10;S10,S7,SK,SA;S8,S6,H2,S3;C6,DA,CA,C4;D7,D2,D3,D9;H3,HA,H10,H7;SQ,S5,HJ,S2;SJ,H6,D4,HQ;S9,H8,H9,DK;S4,C8,D10,HK;D6,H4,H5,CQ"
1569977232,0,0,2,"C2,CK,CQ,CA;CJ,C3,C4,H10;C5,C9,C10,D5;S6,S9,S8,S3;D4,D6,DQ,D3;D7,D10,D8,DK;C8,D2,HQ,C6;C7,H9,SK,H7;S2,S4,S7,SA;H8,H4,H2,HA;H5,HJ,HK,H6;DA,DJ,H3,S5;SJ,D9,S10,SQ"
1569977232,0,13,2,"C2,CQ,C9,C4;S8,SQ,S3,S2;D5,D2,D10,DK;CA,C10,CK,CJ;D8,D7,D9,D4;S9,S7,SA,S6;SK,H3,HQ,S5;DA,D6,DJ,C8;SJ,H8,H7,H5;S10,H6,HJ,HK;S4,D3,C3,H4;H2,H9,H10,C6;C7,HA,DQ,C5"
1569977232,0,4,2,"C2,CK,C10,C3;DA,D5,D6,DQ;D3,D2,D4,D10;S8,CQ,SK,SQ;S10,H5,S3,S2;S6,C6,SA,S4;HQ,H8,H9,HJ;DK,DJ,CJ,D7;S5,C4,S7,S9;C8,CA,H4,C5;H3,H6,HA,H10;C9,C7,HK,H7;D8,D9,SJ,H2"
1569977232,0,21,2,"C2,C4,C5,CQ;S9,S3,SK,S6;D6,DJ,D10,DA;S7,HQ,S5,S10;H6,H7,HA,H9;DQ,D5,D3,D2;CK,CJ,C7,C8;C6,C10,C9,SJ;D8,H5,CA,D4;D7,H8,H2,H10;DK,C3,S2,H3;D9,SQ,H4,HK;HJ,S4,SA,S8"
1569977232,0,1,2,"C2,CK,CQ,C9;SJ,S3,S10,S6;D3,D5,D7,D6;DK,DJ,D8,D9;SK,SA,SQ,S5;DQ,DA,D4,H2;HK,H7,H5,HQ;CJ,H3,C10,C8;C7,HA,C3,C6;S7,H4,S8,S9;H9,H8,H10,H6;S2,CA,D2,C5;S4,HJ,D10,C4"
1569977232,0,9,2,"C2,C7,C9,C4;DJ,D4,D9,D5;D7,D2,D10,D6;S7,SQ,S9,S6;CA,C8,CQ,C3;SK,SJ,S10,S5;C10,H4,CK,C6;SA,S4,H6,S3;C5,HJ,H3,CJ;H5,HA,H7,HK;DA,DK,S8,D8;HQ,H2,H8,DQ;H10,H9,S2,D3"
1569977232,0,4,2,"C2,C8,C6,C5;D3,D8,D4,D9;S9,SA,S3,SK;C4,CQ,C3,H2;S2,SQ,S4,SJ;DQ,DA,DJ,D7;D5,D6,D10,H3;S5,S8,H6,S7;C7,HA,CA,C10;D2,DK,H8,CK;S10,CJ,H4,S6;H5,HJ,H9,HQ;H10,C9,HK,H7"
