1569978219,0,0,1,"C2,C8,C9,C5;S10,SQ,SK,S7;D9,DJ,D7,DK;CJ,C6,CK,CQ;D4,D3,D6,D10;S3,S2,C7,S8;D2,S4,D8,DQ;DA,S9,D5,C10;S5,S6,H10,H2;H3,HQ,CA,HK;HJ,HA,H9,SA;H8,H6,H5,C4;H4,C3,H7,SJ"
1569978219,0,0,1,"C2,CK,C4,CJ;S6,S4,S2,S7;D10,D7,D8,D2;DK,DQ,D4,C3;D6,D9,D3,SK;SJ,S8,S10,S5;SA,C8,CQ,S3;C10,C6,H5,C7;SQ,HJ,HA,S9;C5,H7,H8,CA;DA,DJ,H3,HK;D5,H9,H4,H6;HQ,H2,H10,C9"
1569978219,0,0,1,"C2,C5,C8,C9;S3,S8,S6,S10;D6,D9,D10,DJ;S2,SQ,S7,S5;DK,D2,D5,DQ;CJ,C3,C6,C10;CA,C4,S4,CQ;DA,D3,D8,C7;S9,SK,SJ,CK;D7,SA,H7,H4;D4,HQ,HJ,H2;H5,HA,H3,H6;HK,H8,H9,H10"
1569978219,0,0,1,"C2,C3,C10,CQ;S2,S6,S7,SK;DQ,DJ,S4,D7;D2,D9,SJ,D4;CA,C4,C9,CJ;CK,C6,C5,S10;C7,S3,D8,S9;C8,S8,DK,S5;D5,SA,D6,DA;D3,H4,SQ,D10;H9,H5,H2,H6;HK,H8,H3,HJ;H7,HQ,H10,HA"
1569978219,0,9,1,"C2,C4,C6,C3;S7,S5,S2,S6;D9,D3,D4,D7;SJ,SQ,S3,C9;SK,DQ,S4,C10;S9,DK,S8,DA;C8,CK,C5,CJ;D2,CA,DJ,D10;D8,H2,D6,HJ;S10,SA,HQ,H5;H7,H6,H10,H8;HK,H9,C7,H4;HA,D5,CQ,H3"
1569978219,0,17,1,"C2,C9,CQ,CA;D2,DA,D6,D9;S5,SK,SJ,SQ;D8,DQ,C3,D3;S8,S6,S4,D4;C4,C5,S7,C8;D5,DK,CJ,D10;S2,S10,S9,DJ;C6,SA,D7,C10;CK,H6,C7,H4;H2,HQ,H5,H7;HJ,HK,H10,HA;H8,S3,H3,H9"
1569978219,0,1,1,"C2,C6,CQ,C10;SA,S10,S4,S2;CJ,C4,C3,C7;D7,D9,D8,D10;SK,S8,S9,SJ;SQ,S6,DJ,S5;S7,DA,C9,D6;S3,D4,H3,H5;D2,D3,DK,HA;H8,HQ,H10,HJ;H2,H6,H9,HK;H7,D5,C5,C8;H4,CK,CA,DQ"
1569978219,0,4,1,"C2,CA,CJ,C10;S2,S7,SJ,S6;DQ,D9,D10,DK;S8,S9,SQ,SK;D3,D2,D7,DA;C9,CK,C8,C5;S4,DJ,SA,C3;D6,D4,H9,H3;D8,D5,H10,H4;S3,H5,S10,HQ;CQ,S5,C4,HJ;C6,H2,C7,H6;HK,H8,HA,H7"
1569978219,0,9,1,"C2,CA,C10,C7;S6,S5,SJ,S7;D6,DJ,D7,D9;S3,S10,S8,S9;D5,D3,D8,D4;C8,C5,CJ,C4;C6,SA,CK,C3;D2,DK,SQ,DQ;S4,D10,SK,DA;CQ,H3,H5,HK;C9,HJ,HA,H8;S2,H6,H4,H7;H9,H2,H10,HQ"
1569978219,0,17,1,"C2,C8,CQ,CK;D6,D9,D4,DJ;SQ,SK,S8,S6;CJ,C4,C9,C6;S9,D10,S4,S7;SJ,D2,S2,S3;SA,D5,D3,S5;S10,DK,D8,DA;C3,C5,C10,CA;D7,C7,H5,DQ;HJ,H8,H6,H3;H10,H4,HQ,H7;H9,HA,H2,HK"
1569978219,0,0,1,"C2,CJ,CQ,C6;S7,S9,S6,S8;DK,DJ,D2,DQ;D3,D10,D8,D7;SJ,S3,SQ,S2;C7,S5,C5,CA;C8,S10,C4,C10;S4,SA,D6,DA;D9,D5,H6,HA;D4,H10,HK,HJ;H5,H3,H4,H9;HQ,CK,SK,H7;H8,C9,C3,H2"
1569978219,0,13,1,"C2,C5,CQ,CA;S4,SQ,SJ,S10;DA,DJ,D3,D4;S7,S2,S6,S9;C7,CK,C4,S8;C3,C9,C6,D8;S5,D2,DQ,SA;SK,S3,D7,HA;C8,D5,H7,HQ;CJ,D10,HJ,HK;DK,D6,D9,H5;C10,H6,H4,H8;H9,H3,H10,H2"
