1569978223,0,14,2,"C2,CA,CQ,C9;SA,SK,S7,S5;S9,S10,SJ,S6;DJ,D10,DK,D3;S2,CJ,S3,SQ;CK,C10,C6,C7;DQ,D4,D8,D2;DA,D7,C8,S8;D6,C4,H8,S4;C3,C5,HQ,HA;H10,H3,H2,H4;H9,HK,H5,D9;HJ,H7,D5,H6"
1569978223,0,0,2,"C2,C6,CQ,C4;SJ,S6,SQ,S5;C7,C5,CK,CJ;S8,S4,SA,D4;D10,D3,C9,D5;DA,D7,S7,D6;C10,C3,CA,C8;SK,D9,S9,DJ;S3,D2,S2,D8;S10,H6,H10,HJ;H9,H7,HA,H2;DK,H5,HK,H4;DQ,H8,H3,HQ"
1569978223,0,20,2,"C2,C6,CQ,CA;S10,S2,S3,S5;S6,D9,SA,S7;D8,D3,D2,D4;DA,DJ,D10,D7;DK,C10,D5,CJ;H2,H9,H4,C9;H8,HK,HJ,SJ;S4,H5,S9,CK;C5,C4,H10,C3;SK,SQ,HQ,C8;C7,DQ,HA,H6;S8,D6,H3,H7"
1569978223,0,4,2,"C2,C9,SK,C5;C7,SJ,C3,CA;SQ,S6,S9,S10;D5,D2,D6,D10;C10,D7,C4,C8;D3,D9,DA,D4;CJ,S2,C6,SA;CQ,S8,CK,S7;S5,H4,H2,S4;S3,H8,DK,H3;DQ,H6,D8,DJ;HA,HK,H9,H10;HJ,HQ,H7,H5"
1569978223,0,0,2,"C2,C9,CQ,CJ;S9,S5,SK,S8;D10,D5,D3,CK;D7,D6,DK,SJ;S3,SA,S2,S7;C5,C8,D8,C7;D4,S6,DQ,C6;DJ,S10,CA,C4;DA,SQ,HQ,S4;D9,HJ,HA,C10;D2,H3,H6,C3;H8,H2,HK,H7;H5,H4,H10,H9"
1569978223,0,2,2,"C2,C3,CA,C5;S4,S6,SJ,S8;C6,C7,C10,CQ;DA,D3,D5,D6;CK,C9,C8,CJ;D8,D4,D7,D2;S7,S10,SQ,S9;SK,S5,SA,C4;D9,DJ,H10,S2;DQ,H7,HQ,DK;H6,HA,H4,H2;HK,H3,H8,H5;H9,HJ,D10,S3"
1569978223,0,13,2,"C2,CQ,C10,C5;SK,S6,SQ,S8;SA,SJ,S4,S5;D4,D6,D10,D9;DA,D5,D3,DQ;S7,S10,S9,C4;D7,D2,DK,CJ;D8,DJ,C7,C9;C8,C3,CK,CA;H6,H3,H2,HA;HK,HQ,H9,H10;S2,H5,S3,H4;C6,H7,H8,HJ"
1569978223,0,0,2,"C2,C7,DK,C4;D10,DJ,D6,D9;S3,S9,S2,S6;C5,SJ,CK,C10;S4,S5,S7,SA;D2,DQ,D4,CA;D8,D3,D5,CQ;D7,CJ,DA,SQ;SK,H10,C8,C3;S10,HQ,HA,C9;S8,H9,H2,C6;HK,H5,H8,H3;H6,H7,H4,HJ"
1569978223,0,0,2,"C2,CQ,CJ,C10;SJ,SQ,S2,S4;D10,D6,D3,D8;S5,S8,S10,S6;C4,CA,CK,C5;D5,DK,S3,D4;D7,DA,SA,D2;SK,H7,S7,S9;C8,H9,C7,DJ;C9,H10,C6,H5;DQ,H8,D9,HQ;H3,H6,HJ,HA;H4,H2,HK,C3"
1569978223,0,7,2,"C2,CJ,C10,C4;D10,D3,DK,D2;S8,S4,S10,S6;C3,C9,SJ,CA;S9,D4,S5,SK;DA,D5,DQ,D8;SA,D9,S7,SQ;D7,D6,C6,DJ;S2,C8,S3,CQ;H8,H6,H4,H3;HJ,HQ,H7,HA;H10,H5,H2,CK;C5,H9,HK,C7"
1569978223,0,21,2,"C2,C6,CK,CQ;S9,S4,SA,S5;D7,D4,DK,D10;D2,D5,D9,C3;DQ,DA,D8,SJ;CJ,SQ,C7,C10;C5,S3,S8,C8;S7,HK,S2,S10;CA,H10,D3,HQ;C9,H8,DJ,H5;C4,H3,HA,H7;S6,HJ,H2,SK;H6,H9,H4,D6"
1569978223,0,5,2,"C2,CA,CQ,C10;DQ,D8,D4,D9;S10,SQ,S2,S4;S9,SJ,SA,S5;DJ,DA,D6,D2;D10,S6,C7,D5;D3,S7,C3,C6;D7,CK,S3,C8;DK,H7,H9,C4;SK,H4,H6,S8;HQ,H5,H10,H3;H2,HK,CJ,H8;HA,HJ,C5,C9"
1569978223,0,0,2,"C2,C7,CK,C9;DJ,D3,D10,DK;SK,S3,S6,S7;S9,S8,C10,S5;SJ,S4,C8,S2;C6,CA,CQ,CJ;D7,DA,D6,D8;C4,C5,C3,SQ;D9,H7,H8,D2;DQ,H5,HA,D5;D4,HQ,H4,H3;HJ,HK,S10,H2;H10,SA,H9,H6"
1569978223,0,1,2,"C2,CA,D7,C8;S9,S2,S5,SK;DA,D2,CK,D3;C4,SJ,CJ,C9;S3,SQ,S4,SA;D10,D9,S7,D4;D6,DJ,C6,D8;D5,S6,DK,DQ;S10,C3,S8,C5;CQ,C10,HK,C7;H5,H4,H10,HA;H6,HJ,H9,HQ;H3,H8,H7,H2"
1569978223,0,4,2,"C2,CQ,C8,CJ;D10,DJ,D6,D4;D9,D8,D7,DA;SQ,SK,S6,S2;CA,C9,C10,C7;C5,S10,C4,DQ;C6,S5,CK,S8;D2,D3,D5,S3;S9,S4,S7,SA;HA,H3,H9,H10;H7,H6,H4,HQ;C3,H2,SJ,H8;DK,HJ,H5,HK"
