1569978239,0,1,2,"C2,C5,C9,C3;D4,D10,D9,DK;C10,CK,CQ,CA;S2,S4,SJ,SK;D2,D8,DQ,D6;S3,SQ,SA,S6;D5,S7,C7,DA;S9,S8,S10,D7;C8,H10,C4,C6;H5,HQ,HJ,HK;HA,H4,H6,H2;DJ,H3,D3,H8;CJ,H7,S5,H9"
1569978239,0,2,2,"C2,C9,CK,C3;DJ,D9,D5,D7;D3,DK,D8,D10;S8,S2,SQ,S4;C4,C8,CJ,C10;D6,D4,DQ,DA;S3,S9,S5,CA;SK,S10,C7,D2;SJ,S7,H5,HK;S6,SA,H9,H8;C5,HQ,CQ,H2;HJ,H3,H7,H4;C6,H10,H6,HA"
1569978239,0,2,2,"C2,C7,C8,C4;DK,D4,D6,DA;CA,CK,CJ,C10;C3,C9,S7,CQ;S2,SQ,S9,S3;SJ,SK,D5,S10;DQ,D9,D10,DJ;S4,SA,D2,S5;S6,H10,HJ,S8;D3,H6,HQ,D8;H4,H7,C6,HK;H9,H2,C5,HA;H3,H5,H8,D7"
1569978239,0,9,2,"C2,C5,CA,C7;D2,D7,D8,D5;S6,S3,S7,SK;C6,C4,CQ,C8;DQ,D9,DJ,D6;D3,D4,SQ,D10;S4,SA,S10,DK;S8,S9,DA,C10;S5,CK,SJ,C3;C9,H5,H2,H4;CJ,H8,H6,H3;S2,H9,H10,HK;H7,HJ,HA,HQ"
1569978239,0,8,2,"C2,CJ,CK,C6;D10,D9,D5,D3;CA,C5,C8,C9;D8,D6,DQ,DA;S6,SK,S7,S3;S2,SJ,SA,S4;C3,D2,CQ,C4;S10,S9,S8,D7;SQ,DK,S5,HJ;C10,DJ,D4,H6;C7,HK,H4,H2;H9,HA,HQ,H3;H10,H8,H5,H7"
1569978239,0,2,2,"C2,D5,C9,C6;D3,D9,D6,DQ;SK,SA,S10,SJ;D2,DJ,D8,D10;C3,DK,C4,C8;S8,SQ,S7,S3;DA,S2,D7,CA;D4,S6,S9,C10;S5,S4,H10,H8;H4,H2,H3,HK;H5,H7,HJ,C5;CK,HA,CQ,H9;C7,H6,CJ,HQ"
1569978239,0,3,2,"C2,C9,CJ,C3;SA,SJ,S3,S6;DQ,D9,DJ,DA;C7,C5,C8,CQ;SK,S9,S2,S4;D6,C4,D7,D3;C10,S10,H4,CA;C6,HA,H5,H9;D4,D10,H6,D2;S5,H7,S7,S8;CK,HK,HQ,H10;D8,HJ,D5,SQ;H3,H2,DK,H8"
1569978239,0,4,2,"C2,C8,CA,C4;S4,S2,SA,S10;D4,D5,D8,D10;C7,CK,C3,C9;CQ,D2,DJ,C10;C6,DQ,D3,S5;D6,SJ,DA,DK;S3,S7,S9,SK;C5,H7,S8,H9;D9,H3,D7,H6;CJ,HK,SQ,H4;H8,HA,HJ,H5;H10,S6,HQ,H2"
1569978239,0,0,2,"C2,CK,C6,C5;D10,D7,D8,D4;D3,D2,DA,SQ;SK,S9,S8,S6;S7,S10,S5,S3;CA,C9,C10,C3;DQ,DK,C4,S2;C8,D9,H7,H9;C7,DJ,H10,SJ;D6,D5,HA,SA;CJ,H5,HQ,H3;CQ,H6,H8,S4;HJ,H4,H2,HK"
1569978239,0,2,2,"C2,CK,C7,C3;S3,S10,SA,S9;D5,DK,D10,D7;S8,S2,D4,S7;S5,S4,CJ,SQ;C9,C4,CA,C8;D3,D2,D6,DA;C10,C6,S6,CQ;C5,H8,H9,HQ;HA,H5,HJ,H10;HK,SJ,H3,SK;H7,DJ,H4,DQ;H2,D9,H6,D8"
1569978239,0,15,2,"C2,C9,C10,C3;D7,D3,D8,DJ;S8,S4,SA,S10;C4,CQ,C5,C6;SJ,S7,S3,S2;S6,S9,CK,D2;D9,D4,D5,D6;CA,DQ,C7,CJ;DK,SK,DA,H4;H9,HJ,HA,H2;HQ,H5,H7,H3;H6,SQ,C8,HK;H8,H10,S5,D10"
