1569978241,0,4,0,"C2,C8,CK,C7;SA,S2,S6,SK;D2,D8,DA,D7;D4,D9,D10,D6;D5,S7,DQ,DJ;C6,S4,C4,C10;C3,S8,CJ,CQ;C5,S9,DK,C9;CA,S5,SJ,SQ;D3,S3,H3,S10;HK,H4,HJ,H10;H6,H9,HQ,H2;H8,HA,H5,H7"
1569978241,0,19,0,"C2,C3,C10,CA;DJ,D6,D10,D7;S5,S9,SK,SJ;S2,S4,SA,SQ;C6,C5,CQ,C9;S8,S7,S10,S3;CK,D5,C7,DA;DK,H10,D8,D4;C8,H6,C4,H8;DQ,H5,D3,D2;H7,HK,HQ,H9;H4,D9,H2,H3;HJ,CJ,HA,S6"
1569978241,0,2,0,"C2,C9,CQ,C10;S4,DJ,S10,SQ;D4,DK,D6,D9;C6,C5,C7,C4;S9,S7,S8,DA;S5,SA,SJ,D2;CJ,C8,CK,CA;D7,S2,D5,D3;DQ,HJ,D8,H9;H10,H3,HA,HK;HQ,H5,S6,H6;S3,H4,SK,H2;C3,H8,D10,H7"
1569978241,0,0,0,"C2,C9,C10,C7;D7,DQ,D3,DA;D2,D9,C3,DK;CK,C5,SA,C4;S7,SK,S3,SQ;D5,D4,CJ,CQ;S5,S4,S6,S10;S8,S9,S2,DJ;D10,C6,C8,CA;D6,HA,SJ,H9;D8,HJ,HK,H4;H8,H10,H5,H7;HQ,H3,H6,H2"
1569978241,0,17,0,"C2,C9,CK,C10;S6,SQ,SA,S10;DQ,D4,D6,D8;D2,DK,D7,DJ;CQ,CA,C3,C5;DA,S3,D10,S4;D3,C4,D9,CJ;C8,D5,C6,S5;S9,SK,S8,SJ;H7,H8,HQ,HK;H9,H2,HJ,H6;H3,C7,HA,H10;S7,S2,H4,H5"
1569978241,0,19,0,"C2,C6,CA,C5;DQ,D9,DJ,D4;S8,SA,S6,S3;C7,C9,C10,CJ;D2,D10,D7,D8;S4,S5,CQ,S2;S7,C8,S10,SK;D3,H8,DA,DK;H6,H4,H9,H7;D5,H5,D6,S9;HA,H2,C4,HK;SQ,H10,SJ,C3;HJ,HQ,CK,H3"
1569978241,0,0,0,"C2,C7,CQ,C6;D2,D3,DA,DJ;S3,S6,C10,S9;D9,D5,DQ,D6;D10,S2,DK,D7;S4,S10,S7,CK;SA,S8,CJ,SJ;CA,C5,C4,C3;C8,D4,D8,SK;C9,H3,H10,SQ;HK,HQ,H2,H4;H7,H5,HJ,HA;S5,H8,H9,H6"
1569978241,0,6,0,"C2,C4,C9,C7;S9,S6,SQ,S7;C3,C6,CJ,CQ;D8,D6,DA,D3;D9,DK,D7,D10;SK,S3,S10,SA;SJ,S4,CK,S8;S5,H10,C10,S2;D4,H7,DJ,C8;CA,H9,H5,H3;C5,H6,HQ,D5;HK,H4,HA,DQ;HJ,H8,D2,H2"
1569978241,0,5,0,"C2,C7,C10,CA;S4,S3,S10,SJ;DA,D4,D7,D5;D9,DJ,D2,SQ;D8,C3,S6,D6;D10,CJ,CQ,DQ;C5,C8,C4,SA;C9,C6,S7,CK;D3,S8,SK,S2;S5,H5,S9,HJ;H10,HQ,H2,H6;H3,HA,HK,H8;H7,DK,H4,H9"
1569978241,0,26,0,"C2,C7,CK,C4;S6,S7,SA,C10;DJ,D3,D4,D6;S10,S9,S5,C3;S4,S2,S8,D5;C9,CJ,CQ,CA;D9,DA,D8,DK;SQ,SJ,SK,H7;C6,D10,C5,H2;D7,H8,D2,H9;S3,H5,H10,HQ;C8,H4,HK,HJ;HA,H3,DQ,H6"
1569978241,0,10,0,"C2,C3,CK,C6;DQ,S10,D4,D10;C5,C4,C10,CJ;D7,S3,D3,D8;S9,SQ,S4,S7;C8,CQ,SK,C9;S6,S5,SA,SJ;D2,DJ,D9,C7;S8,HQ,H6,HA;DK,HK,D5,H5;S2,H2,DA,H7;CA,H10,HJ,H9;H4,H3,D6,H8"
