1569978253,0,17,3,"C2,CK,C7,CJ;C10,C4,CA,D5;S5,S7,SJ,S9;S10,S3,SK,S4;C5,SQ,C9,C8;DJ,D2,DQ,D8;CQ,DA,C3,SA;D4,D3,S6,D10;D6,DK,H3,D7;S8,H9,C6,H8;S2,H5,D9,HA;HQ,H2,H10,HK;H7,HJ,H4,H6"
1569978253,0,3,3,"C2,C7,C9,C10;CJ,CA,C4,CQ;D9,DJ,DK,D4;S7,S4,S6,S9;DA,DQ,D3,D2;S10,C5,SQ,S3;S8,CK,S2,S5;SA,C6,D5,SJ;SK,H4,H6,D7;H3,H7,C3,HA;H5,H2,HQ,D6;H10,HK,D10,H9;H8,HJ,C8,D8"
1569978253,0,14,3,"C2,CJ,CA,C6;DQ,D5,D10,D6;SJ,S10,S6,SA;C9,C3,DA,CK;D3,DK,D4,DJ;S4,SQ,SK,S3;C4,C8,D7,C10;C5,C7,D8,S8;S9,H8,H6,S2;S7,HQ,H10,H2;S5,HK,HA,H7;D2,D9,H3,CQ;H9,HJ,H5,H4"
1569978253,0,0,3,"C2,C9,CA,C6;D2,DJ,D10,D4;S9,S2,SQ,S8;S3,S10,S6,S4;CK,C4,C3,C8;D9,D8,DA,DK;SK,S7,SA,D5;H7,H3,H10,H9;C7,C5,H2,D7;CJ,C10,HA,HQ;CQ,D3,H6,D6;SJ,S5,H8,H5;HK,DQ,HJ,H4"
1569978253,0,10,3,"C2,C4,C8,C3;S6,S10,S5,SJ;C7,C9,CA,C10;SQ,S9,S2,C6;S8,S7,S3,C5;D10,D8,DJ,D7;DK,D5,D2,DA;CQ,D4,D6,HQ;CK,D3,SK,H7;CJ,D9,SA,H9;H3,HJ,HK,H4;S4,H8,HA,H5;DQ,H6,H2,H10"
1569978253,0,4,3,"C2,C7,CA,C6;S3,SA,S10,SK;D7,DA,D3,D4;DQ,D8,D2,D5;SQ,S5,SJ,S6;S7,S9,S2,C8;C5,DK,C3,CK;D6,D10,D9,C9;DJ,CJ,S8,C10;H6,HA,H2,HJ;H4,HQ,H9,HK;H3,S4,H8,H7;H10,H5,C4,CQ"
1569978253,0,0,3,"C2,CK,C5,C9;S8,SA,S2,S10;D7,DQ,D5,D2;S7,S4,SQ,CJ;D9,D6,D10,DJ;C10,CA,C6,C7;D3,D4,DA,S5;C8,CQ,S9,DK;S6,H8,SK,H2;H5,H3,H7,HA;C3,HQ,H9,HK;C4,H4,S3,HJ;D8,H10,SJ,H6"
1569978253,0,15,3,"C2,C8,CJ,CK;S2,S5,S6,S3;D5,D7,D4,DA;C3,D8,C10,C6;CA,DQ,D2,C4;SK,S10,D6,SJ;C7,S7,D3,C5;DJ,D10,H2,DK;SA,S9,HK,HA;D9,H4,HJ,H7;S8,SQ,H8,H5;H10,H3,HQ,C9;S4,H9,H6,CQ"
1569978253,0,7,3,"C2,CQ,C9,C6;D2,DQ,D8,D6;S2,S8,SK,SA;DJ,DA,D5,D9;S7,S5,S10,S3;CA,C8,CJ,C7;D3,SJ,D10,C4;S6,SQ,S4,D4;C5,CK,H9,C10;S9,H10,HJ,DK;HK,H6,H2,H8;H3,H4,H7,HA;D7,H5,C3,HQ"
1569978253,0,0,3,"C2,C6,CA,C3;SJ,S6,S8,S7;S9,SQ,S10,D5;D4,D3,D7,D8;CJ,C8,C5,CK;DK,DQ,DA,DJ;C7,S2,C10,C4;D9,SK,D10,D2;D6,S5,C9,SA;H10,H8,H2,HA;HK,H5,H6,HQ;S3,S4,H3,HJ;H9,H4,H7,CQ"
1569978253,0,2,3,"C2,C5,C6,C9;S4,S10,S2,S6;SA,S9,S8,SK;S7,SQ,SJ,S3;D3,D4,D8,DA;D10,DJ,D6,D9;C4,CK,CJ,CA;C3,CQ,D2,C10;DQ,D5,D7,HA;S5,H4,HK,H5;C7,H3,C8,HQ;H2,H10,H8,H9;HJ,H7,H6,DK"
