1569978271,0,7,0,"C2,CA,CJ,C3;S9,SQ,S7,SJ;C6,C10,C9,C4;D5,D4,D7,D10;SA,S2,S6,S4;C5,C8,CQ,S3;C7,DJ,DA,D3;CK,D9,D2,S8;D8,D6,DK,S5;SK,S10,H6,HA;HK,H2,H5,H9;HJ,HQ,H10,H7;DQ,H3,H4,H8"
1569978271,0,20,0,"C2,C8,CQ,C7;SK,S4,SJ,SQ;C9,CJ,CA,C6;C10,D6,C4,C3;S5,S3,S9,S8;DQ,D2,D3,D10;D8,D7,DK,D5;S10,SA,S2,S7;DJ,DA,D9,D4;S6,HK,H3,C5;H8,HQ,H2,H9;HJ,H6,HA,H10;CK,H7,H5,H4"
1569978271,0,13,0,"C2,C8,CK,C3;S6,SK,SJ,S5;D4,DA,D8,D2;DQ,D10,D5,DK;CJ,C7,C9,CA;DJ,D3,C10,S3;C4,CQ,C5,S4;SQ,SA,S10,S7;S2,H10,S8,D9;HK,H4,H2,HJ;D7,H7,S9,H3;D6,H8,C6,H9;H6,HA,HQ,H5"
1569978271,0,15,0,"C2,C8,C9,CJ;D6,D5,DQ,DK;S8,S6,SA,S9;D4,D3,S5,D8;DJ,D9,CK,D10;S7,SK,S4,S3;CQ,C7,C6,CA;DA,D7,D2,C10;C3,C5,S10,C4;S2,SQ,HK,H6;H3,H5,HJ,H9;H2,H7,HQ,HA;H10,H4,SJ,H8"
1569978271,0,6,0,"C2,CA,CK,C4;SA,S6,S10,S2;S9,S7,S4,SJ;D5,D2,D8,D10;SK,SQ,D7,S8;C5,C6,C3,D6;DQ,D4,C9,D3;C7,D9,CQ,DK;CJ,DA,C8,H5;H3,HQ,H8,H2;DJ,S5,H7,H9;H4,C10,HK,HA;H6,S3,HJ,H10"
1569978271,0,0,0,"C2,C4,CQ,CJ;DA,D6,D4,D10;D2,DK,DJ,D3;SJ,SK,S10,S5;C9,CA,C7,C5;D9,DQ,C6,D8;S6,SQ,S8,S3;C8,C10,CK,D5;S4,S7,C3,S9;H4,H3,H10,HJ;HQ,HK,H9,H7;SA,S2,H6,H8;D7,H2,H5,HA"
1569978271,0,0,0,"C2,C6,DA,C5;D2,D5,D10,D9;C7,S6,C4,CA;S5,SQ,S7,S2;D7,D3,D4,CQ;D6,DJ,DK,CK;CJ,C8,S10,C10;C9,S3,SK,C3;S9,SA,SJ,S8;H8,H6,H10,H7;H3,H2,HK,H9;HQ,HA,HJ,H4;DQ,D8,H5,S4"
1569978271,0,0,0,"C2,CQ,C10,CA;D10,D7,D2,D5;D4,D9,DA,DQ;S8,SQ,SK,SJ;S6,S10,S7,S2;CJ,C3,C8,C6;DK,C4,D8,D3;S9,S3,H5,S5;C5,C9,HJ,CK;H2,HA,HQ,H3;C7,H8,H7,H4;SA,H10,DJ,H6;S4,H9,D6,HK"
1569978271,0,13,0,"C2,C9,CJ,C3;S9,S10,S5,S2;D9,D2,D4,D10;C6,D3,CK,C5;S8,S7,SQ,SJ;SA,S3,SK,S4;C8,D5,C10,CA;DK,D8,DQ,C7;DA,H7,D7,H9;D6,H6,HK,C4;DJ,HQ,H2,H4;CQ,H3,H10,HJ;H5,HA,H8,S6"
1569978271,0,4,0,"C2,C5,C6,C7;D7,D9,D2,DJ;C8,C3,CK,C9;S2,S8,SA,SQ;DA,DQ,D3,D10;SJ,SK,S7,S10;C4,S9,CJ,C10;DK,D5,S3,D4;CQ,D6,S5,CA;S4,H3,H5,H4;S6,HA,H2,H7;H6,H8,HK,H9;H10,HJ,HQ,D8"
1569978271,0,3,0,"C2,CA,C10,C4;D3,D5,D6,D10;CK,C5,C8,C7;C3,S8,CQ,C6;S2,S3,S7,D4;S5,SQ,C9,S9;DA,D2,CJ,DK;S6,S4,H4,SJ;DQ,DJ,D8,H5;D9,SK,H2,HK;S10,HJ,SA,HA;H8,H3,H6,H7;H9,H10,D7,HQ"
1569978271,0,10,0,"C2,C9,CQ,C8;D7,D3,D8,DK;C4,CK,S8,CA;DA,DJ,D5,DQ;SA,S4,S6,S9;D4,D10,D6,S7;SQ,S2,S3,SK;C3,C10,D2,C7;C5,D9,CJ,S10;C6,H3,H6,HK;H4,H8,HJ,H2;HA,HQ,H7,H5;H10,S5,SJ,H9"
1569978271,0,23,0,"C2,C3,C5,C10;S6,S3,S9,SJ;S5,S4,SK,SA;D7,DQ,D2,D9;CJ,C9,C7,CQ;DJ,D4,D5,D10;D3,D8,S10,D6;C6,CK,C8,S8;S7,SQ,HJ,S2;CA,HQ,C4,H2;HA,H9,H7,H6;H8,H3,H4,DK;H10,H5,HK,DA"
