1569978276,0,8,3,"C2,C6,C9,C3;SA,S9,S3,S10;D3,D9,DJ,D7;S2,S6,DK,S5;C5,CA,CJ,CK;DA,SJ,DQ,D5;SQ,SK,D4,S8;S7,S4,CQ,D8;C10,C4,H5,C8;HK,HQ,H10,H3;H2,H4,H7,H9;D10,D6,HJ,HA;C7,D2,H8,H6"
1569978276,0,3,3,"C2,C7,CJ,CA;D6,D7,DQ,D8;D10,D4,D5,DA;S8,SA,S4,S9;C8,SK,C10,CQ;S6,S10,S3,SQ;DK,D2,D3,DJ;C4,S7,C9,C3;C5,HK,H5,H4;S2,SJ,H2,HA;HQ,H8,CK,H3;D9,H6,S5,H7;H10,HJ,C6,H9"
1569978276,0,0,3,"C2,CA,C8,C4;D3,DQ,D2,DJ;SA,S6,S7,S8;S9,S10,SK,S3;C5,CK,C3,DK;D7,CQ,D8,D4;C10,C9,C6,D6;C7,SQ,D9,S5;CJ,HK,H5,H2;S4,S2,DA,HQ;D10,H8,D5,HA;H9,H4,H3,H6;H10,SJ,HJ,H7"
1569978276,0,18,3,"C2,D5,C3,CQ;S3,S2,S6,S10;D10,D4,D9,D8;C6,SA,CJ,C5;D6,DA,D3,D7;SJ,S5,DJ,C9;S9,S7,CA,DK;S4,S8,D2,CK;C8,SQ,C7,C10;C4,SK,DQ,H5;HA,H3,HQ,HK;H7,H2,H10,H8;HJ,H9,H6,H4"
1569978276,0,4,3,"C2,C4,C10,CK;S9,S10,S2,SA;DK,D7,D3,D2;D10,DA,D5,C6;SQ,S7,SK,DQ;CA,CJ,C7,C5;C3,D4,S3,C8;D9,S8,D8,S5;D6,SJ,S6,CQ;DJ,S4,H4,H10;H5,H6,H2,HQ;H8,HJ,H7,H3;H9,HK,HA,C9"
1569978276,0,2,3,"C2,C8,CJ,C3;SA,C5,SQ,S4;S7,CQ,S6,SJ;C10,C7,CK,C9;CA,D10,D6,C6;C4,D3,D8,DJ;D9,DQ,S9,D5;D4,S5,D7,DA;S10,S8,SK,HJ;DK,H2,H7,H6;S2,HK,S3,H3;H5,H10,HA,H9;D2,H4,HQ,H8"
1569978276,0,15,3,"C2,C4,CA,C5;S6,S7,S4,S8;C10,C9,CJ,CQ;SK,SQ,S2,S3;DQ,D6,DJ,D7;DA,D8,DK,D4;CK,C8,S5,C6;D9,D3,D10,C3;S9,D2,SA,SJ;H3,H7,HA,HQ;HJ,H10,H6,HK;C7,H9,H4,H5;H2,D5,S10,H8"
1569978276,0,8,3,"C2,C8,CK,C5;SK,S6,S9,S7;S10,C3,S5,S4;S2,C10,S3,SJ;D6,D3,D5,DA;D2,DJ,D7,D4;D9,D10,SQ,DK;D8,C4,SA,C7;DQ,C6,C9,H6;CJ,HA,CQ,H9;H5,H7,HQ,H2;H8,H4,HK,HJ;S8,H3,CA,H10"
1569978276,0,15,3,"C2,C6,C8,CQ;D8,D5,D7,DQ;SJ,SQ,SA,S6;C4,CJ,C7,C9;SK,S2,D10,CK;DJ,D9,D2,C5;C3,S7,D6,C10;CA,S8,DK,DA;H6,H3,H9,H5;H7,S5,H2,HA;H8,D3,S4,H4;HK,S9,D4,H10;HJ,S10,S3,HQ"
1569978276,0,0,3,"C2,CQ,C10,C3;D2,DA,D9,D3;S8,S7,SK,SQ;CK,CA,C5,C4;D7,D10,D6,DJ;DQ,D4,D8,DK;SA,S3,S2,S9;S5,S4,S10,D5;CJ,H5,C9,C6;C7,HJ,H4,H3;C8,H9,H8,H6;SJ,H7,S6,HQ;HA,H2,H10,HK"
1569978276,0,1,3,"C2,C7,C8,CQ;SK,DQ,S4,SQ;D10,DA,DJ,DK;CA,C9,C5,C4;CK,S9,D2,C10;C3,S7,D9,CJ;SJ,SA,S10,C6;D3,D6,D7,H9;S5,S3,S6,HA;H10,H4,H8,H5;D4,D5,S8,H3;H7,HQ,H6,HJ;S2,HK,D8,H2"
1569978276,0,0,3,"C2,C5,CJ,C3;DA,D2,D7,D5;S8,SQ,SJ,S5;D9,DJ,D10,D3;CQ,D4,CK,CA;S3,SA,S9,S10;D6,DK,C8,C10;S4,S2,DQ,C7;SK,C4,D8,C9;S6,H5,H4,H2;C6,H8,H10,H3;S7,HQ,HA,H6;H9,HJ,H7,HK"
