1569978615,0,6,2,"C2,CK,C10,CA;DJ,D2,D7,D3;C5,S4,C3,CQ;SK,S8,S3,SA;D9,D10,D6,D8;SQ,SJ,CJ,S7;S6,S2,C9,S5;S10,S9,DA,C4;DK,D5,H9,D4;DQ,HJ,H8,C8;HA,H6,H10,H5;H3,H7,HK,HQ;H4,C6,H2,C7"
1569978615,0,4,2,"C2,C7,CQ,CA;D10,DJ,D8,DA;SK,S9,S4,S7;DK,D4,C5,D5;D9,SQ,CK,D2;S6,SA,S2,SJ;S10,C9,S5,S3;C10,C6,C3,C8;HJ,HA,H9,DQ;H7,HK,S8,HQ;H6,H10,D6,H3;H4,H2,D3,H8;H5,C4,CJ,D7"
1569978615,0,13,2,"C2,CJ,CQ,C7;S6,S2,SJ,S7;SA,S9,SK,SQ;D10,DK,D8,DJ;CA,C6,S5,C3;C4,DA,D6,C5;C9,CK,D7,D2;D4,D3,S3,D9;S10,S4,C8,S8;DQ,D5,H3,H5;HK,H9,H2,HJ;H6,HQ,HA,H4;C10,H8,H10,H7"
1569978615,0,0,2,"C2,D3,C8,CQ;D7,D6,DJ,DK;CK,S6,C3,C9;S7,S9,S4,S5;SQ,SJ,C4,S8;D10,DA,D4,S3;D8,D5,D9,CJ;C6,C10,D2,CA;S2,SK,SA,C7;H3,HJ,H4,HQ;HA,H10,H7,H5;H2,C5,H9,H8;H6,DQ,HK,S10"
1569978615,0,17,2,"C2,C5,C9,C10;SA,SQ,SJ,S9;D9,D3,DJ,D8;S8,S6,S7,S2;D2,D10,D6,D5;CQ,S4,S3,C7;CK,DA,S5,C3;D4,DQ,HQ,DK;CA,CJ,S10,H3;C6,C8,H2,H8;D7,H4,C4,H10;SK,H5,HA,HJ;H6,H9,H7,HK"
1569978615,0,0,2,"C2,C9,CQ,CK;SJ,S7,S4,SQ;CJ,C10,DK,C8;D2,D3,SA,D5;D10,D6,S3,D8;C5,S5,SK,C7;DQ,D4,S10,DJ;S9,S2,S8,C4;D9,DA,H10,D7;H4,H3,HK,HQ;CA,H9,H6,HA;C3,H5,H7,H8;C6,HJ,S6,H2"
1569978615,0,3,2,"C2,CA,C4,C8;D5,DQ,D7,DA;C7,CJ,C3,CQ;D10,D8,D3,DJ;C5,C6,C10,S7;SJ,S2,SA,S3;S9,S10,S5,S8;SQ,S6,C9,S4;D6,DK,D2,D9;H4,H6,HA,H5;H3,HQ,H8,HK;SK,HJ,H9,CK;H7,H10,D4,H2"
1569978615,0,13,2,"C2,C7,CK,C3;D8,DK,D7,D2;D5,DQ,D3,DA;SJ,S10,S7,SK;S4,S5,S3,SQ;C6,CA,C8,C4;S6,SA,D9,S9;C5,D4,CQ,C9;C10,H9,H6,HA;CJ,H8,H5,HK;H2,H7,S8,H3;HJ,D10,HQ,D6;H4,S2,H10,DJ"
1569978615,0,0,2,"C2,C8,C9,C4;D4,D7,D6,D10;C6,CK,C10,C7;S10,S2,S4,S3;D9,D8,D5,C5;DA,DK,DQ,CA;SJ,S5,SQ,CQ;SA,S9,SK,CJ;S7,D2,S6,H8;H7,HJ,HQ,HA;HK,H10,H2,C3;H6,H3,H5,S8;H4,H9,DJ,D3"
1569978615,0,0,2,"C2,C7,CQ,CJ;D9,D7,DJ,D2;S7,SK,SA,S3;S9,S2,S8,S6;S10,S4,SQ,D4;D5,D8,DA,D3;CK,C6,C9,C3;S5,C10,CA,D6;SJ,C4,DK,C8;H2,H10,H9,HK;H4,C5,H6,HQ;H3,DQ,HA,H5;HJ,D10,H8,H7"
1569978615,0,14,2,"C2,C6,C9,C10;SQ,S9,SA,SJ;D2,D4,DA,D7;S6,S10,D10,S8;C7,CK,C8,CQ;S5,C5,D5,S2;D9,DK,CJ,DJ;C4,S4,CA,SK;HA,HJ,H5,H8;H7,HQ,H2,H9;D6,H6,D8,D3;H4,HK,H3,S7;H10,C3,DQ,S3"
1569978615,0,15,2,"C2,C3,CQ,C7;S8,S2,S7,S4;SK,SQ,S6,SJ;S3,S9,D7,SA;DQ,DK,D2,D8;CK,C10,CJ,C8;C6,CA,C4,C9;D3,D6,DJ,D5;S5,DA,H4,S10;D10,D9,H10,D4;HQ,HK,H6,H9;C5,H7,HA,H5;HJ,H8,H3,H2"
1569978615,0,4,2,"C2,C6,CA,C7;D8,D7,D3,DJ;S6,SJ,S7,S4;CK,D6,C8,C3;CQ,SQ,CJ,C9;SK,S8,S3,S2;DA,D5,D2,D9;C4,S5,S10,C10;DK,SA,D10,D4;DQ,H3,HK,HQ;C5,H10,HJ,H4;H8,H9,H2,H5;H6,H7,S9,HA"
