1569978764,0,10,3,"C2,C5,CJ,C3;S9,SJ,S10,S2;SQ,S6,S3,CK;D4,D10,D7,D2;DA,DQ,D8,D6;C8,C4,SK,CA;C10,C6,C7,SA;C9,S4,DJ,D3;CQ,D5,S7,S8;H10,HK,H9,H7;HJ,DK,H5,H2;H3,S5,H8,H6;HQ,D9,HA,H4"
1569978764,0,0,3,"C2,CQ,C10,C8;SA,SK,S2,S7;DA,D4,SJ,D2;DK,D9,S4,DJ;S9,S6,SQ,S8;C9,CJ,D5,C6;D6,D8,C3,CK;D10,DQ,S3,C7;D3,S5,C4,CA;D7,H2,HK,H8;H7,H5,H10,HJ;C5,H6,H4,HA;S10,H9,H3,HQ"
1569978764,0,0,3,"C2,C5,C10,C8;D5,D9,D8,DK;S5,S9,S7,S2;D3,C9,D2,DQ;CA,C7,CK,CQ;D4,S6,DA,DJ;SQ,S8,CJ,SK;D7,SJ,D6,SA;S4,C4,D10,S3;H10,H4,HA,H3;H5,HQ,HK,H6;H9,H7,HJ,C6;H2,C3,H8,S10"
1569978764,0,3,3,"C2,CJ,CQ,C3;S8,SJ,S9,S5;D10,D8,DK,D7;S3,S6,SQ,SK;C5,S2,CA,C6;C4,D3,C9,CK;D9,S7,D4,DQ;C8,SA,C7,C10;D2,H9,DA,HQ;D5,H5,HK,DJ;H4,H8,H3,S10;HJ,H6,D6,H7;H10,HA,S4,H2"
1569978764,0,0,3,"C2,C5,CK,CA;C9,C6,CQ,CJ;S5,S3,S2,S10;D9,DA,DK,D6;C10,C4,S6,D10;D2,S8,D3,DQ;S9,SA,SJ,SK;S7,S4,D5,SQ;C7,H2,D7,C3;D4,H5,D8,H7;HJ,H6,H4,H10;H3,H9,HQ,HK;DJ,HA,H8,C8"
1569978764,0,13,3,"C2,C4,C7,C8;SA,S9,SK,S10;S7,S2,S6,SQ;D8,D6,D5,D9;S3,S4,SJ,S5;D7,D2,D4,D3;DA,CK,DQ,CJ;CA,C5,CQ,C6;D10,HJ,C10,HK;DJ,H4,C3,H3;C9,HA,H10,H7;DK,H9,H6,H5;H2,S8,HQ,H8"
1569978764,0,11,3,"C2,C4,CA,C9;SQ,S3,SK,S10;SJ,S6,S9,SA;C8,CK,C7,C6;DJ,D3,DK,D7;DQ,D8,D4,D9;D6,DA,S2,D5;S5,S8,C5,S7;H3,H6,H9,HJ;HA,HQ,H7,H10;S4,HK,C3,H5;D10,H2,D2,CJ;C10,H4,H8,CQ"
1569978764,0,15,3,"C2,CQ,C6,C4;C5,C9,C3,CA;S10,SA,S6,S7;DQ,D3,D6,DK;S2,SQ,S9,SK;C7,DA,C10,CK;D9,D5,D2,D8;D4,H7,H10,D10;H6,H3,HK,S5;H8,H5,H2,DJ;C8,H4,H9,SJ;CJ,HA,S4,S3;HQ,HJ,S8,D7"
1569978764,0,0,3,"C2,C5,CA,C3;S5,S7,SA,S10;D6,D9,DQ,D8;SK,S3,SJ,SQ;C10,C9,CJ,C8;D5,DJ,DK,D3;CQ,C4,C6,C7;S8,S2,S6,D2;S4,D10,DA,D4;S9,HQ,D7,CK;H7,H8,H10,H2;H9,HA,HK,H6;H3,HJ,H4,H5"
1569978764,0,0,3,"C2,CQ,C9,CK;S8,S5,S3,D3;S10,S2,SA,CA;D2,D9,D10,D5;DJ,D6,D4,D8;D7,DQ,DA,C10;CJ,C4,C7,C8;SJ,S4,SK,C3;S6,SQ,H10,H4;DK,S9,H7,H5;S7,C5,H6,H3;C6,H2,HA,H9;HK,H8,HJ,HQ"
1569978764,0,4,3,"C2,C5,CA,C4;CQ,S2,C9,CJ;S10,SQ,S5,SJ;S3,S7,S4,S8;CK,C6,DJ,SA;C3,C10,DQ,D10;D5,D7,DA,D6;S6,S9,DK,D4;D9,D3,H3,D2;D8,H6,HA,H8;H5,H4,H9,HJ;H2,HK,C7,HQ;H7,SK,H10,C8"
1569978764,0,0,3,"C2,C8,CA,C4;C5,CK,CQ,CJ;D8,D2,D6,D4;S9,SK,S8,S5;S6,S4,SJ,D7;S7,SA,C10,SQ;D9,D3,D10,C6;C9,S10,DK,C7;D5,DQ,DA,HA;H6,HK,HQ,HJ;S2,H10,H2,H9;S3,C3,H7,H4;H3,DJ,H5,H8"
