1569979528,0,0,1,"C4,C10,C7,C2;DJ,DA,DQ,D4;C9,CK,CQ,CJ;CA,C8,S9,C6;C5,D7,D2,SK;C3,S4,D10,SQ;S2,S6,HQ,S5;H3,H7,HA,H10;H9,H4,H5,S8;D5,H2,DK,D6;S3,H8,S10,S7;D3,HJ,SJ,D9;D8,H6,HK,SA"
1569979528,0,0,1,"C6,C4,C7,C2;D3,D7,DQ,D9;C10,C8,C5,CQ;D5,S7,D8,D10;S3,S5,SQ,S6;CK,C9,CA,C3;S9,S4,SA,SJ;S8,D2,S10,DJ;S2,D4,SK,D6;CJ,H3,H10,DK;H2,H5,H6,H7;HQ,H9,HJ,H4;DA,HA,H8,HK"
1569979528,0,0,1,"CK,C9,C4,C2;D8,DA,D7,D10;S8,S7,S2,S10;C6,CQ,C10,C7;S4,S6,S9,S3;D5,D9,D2,DK;SJ,HQ,CJ,S5;H8,H10,H5,H7;HJ,H3,HA,C3;SA,H6,D4,SK;C8,H4,DJ,C5;SQ,H2,HK,CA;DQ,H9,D3,D6"
1569979528,0,4,1,"CA,C3,CK,C2;S4,S9,SQ,S3;DJ,DQ,DA,D4;S10,SK,SJ,SA;CJ,CQ,S7,C6;C5,C9,D9,D3;C4,C8,S8,S2;C10,S6,C7,D2;D10,H9,D7,D5;H4,H8,HQ,H6;D8,H10,HK,DK;S5,HA,H7,H5;D6,H2,H3,HJ"
1569979528,0,0,1,"C10,C7,CK,C2;D8,DJ,D4,D10;D9,D6,S2,D3;D5,D7,SA,DK;DQ,C4,C6,SJ;D2,C8,SQ,C5;DA,S5,S4,S8;C9,S6,C3,CQ;SK,S7,S3,CA;S10,HJ,H6,H9;HQ,H2,HK,H10;H5,H4,H3,S9;H8,H7,HA,CJ"
1569979528,0,0,1,"CK,C5,CA,C2;S3,SJ,S10,S7;D6,D3,D4,D9;S8,S2,S4,S5;DA,DJ,CQ,D7;S9,C8,S6,SQ;C7,C3,C4,C9;D8,CJ,D10,SK;C10,HQ,HJ,H2;C6,H10,D2,H4;DQ,H3,D5,HA;H6,H8,H7,HK;SA,H9,H5,DK"
1569979528,0,4,1,"CK,C3,CQ,C2;DK,D7,D4,D6;S10,S7,S4,S5;S9,S6,S8,SA;C9,C6,CA,C4;D2,D8,DJ,DA;S3,DQ,SQ,D9;C10,C8,C5,CJ;SK,D5,S2,D3;HA,H2,H4,H7;H3,HK,H8,H9;H5,C7,HQ,H10;D10,SJ,HJ,H6"
1569979528,0,20,1,"CQ,CJ,C5,C2;SJ,S5,SK,SQ;D2,D7,DQ,DA;S8,S4,SA,S3;DJ,D3,D8,D10;C9,C4,C8,C3;D9,D5,D4,S7;H7,H6,H10,HK;HJ,C7,HQ,H2;S10,S2,CK,H5;D6,H8,DK,HA;C6,S6,C10,H9;H4,CA,S9,H3"
1569979528,0,14,1,"CA,C9,D2,C2;D5,D4,D6,DJ;C5,CK,S2,C6;SQ,S7,S5,S9;S4,S8,S10,SJ;DK,D9,D8,DQ;D10,CJ,SK,S6;DA,C4,SA,CQ;D3,C10,H4,H9;H6,HA,HJ,H8;HQ,HK,H2,C8;H7,H10,H3,S3;C3,H5,D7,C7"
1569979528,0,15,1,"C10,CA,C8,C2;S2,SA,S3,S7;D10,DA,D3,D8;C9,CJ,C3,C5;SJ,D6,SK,S9;C4,CK,S8,C7;D5,C6,D7,DJ;D9,SQ,DK,D2;CQ,S6,S10,S4;DQ,H4,D4,H3;H8,H7,HJ,HA;H5,H9,H2,HQ;S5,HK,H10,H6"
1569979528,0,0,1,"C9,C3,C7,C2;D4,D2,D10,D8;S4,S7,S9,S10;CJ,CA,C5,CK;DQ,D9,DK,D5;CQ,C10,C4,SA;C8,S5,C6,D7;DA,SJ,DJ,D6;H3,H2,H8,HA;SK,S6,S3,HK;H5,H7,H9,H6;S8,S2,D3,H4;SQ,HQ,HJ,H10"
