1569979531,0,0,3,"CJ,C4,C3,C2;DA,D10,D5,DQ;DJ,DK,S6,D4;S8,S10,SQ,SA;D7,SK,D3,D8;CQ,C9,CA,C8;S3,C7,SJ,D6;S4,D9,S5,C6;S7,CK,C5,S2;S9,D2,H4,C10;H10,HJ,HQ,H3;HK,H9,H2,H5;H6,H7,H8,HA"
1569979531,0,6,3,"C10,C5,CK,C2;S10,SJ,S8,SQ;D2,D5,D9,D10;S5,S2,SK,SA;D6,DQ,D7,D4;C3,C6,CQ,CJ;D8,DK,DJ,D3;DA,C8,S3,S6;C9,S7,C4,S9;H6,HK,H4,H5;H7,H3,H8,H2;H10,C7,HJ,H9;HQ,HA,CA,S4"
1569979531,0,7,3,"C4,C9,C3,C2;D7,DK,D5,D6;S9,S10,SQ,S7;D3,DA,DJ,D2;S4,S2,D10,S8;S5,C7,D4,S6;SJ,C10,C8,S3;C5,CK,C6,CQ;D9,SA,D8,SK;DQ,CA,HA,HJ;H4,H3,H6,H10;H8,HQ,H5,H2;H9,CJ,H7,HK"
1569979531,0,1,3,"C4,C10,C6,C2;S2,SK,SA,S4;CA,D8,C3,CQ;CK,D6,C8,C9;DJ,D7,DA,D2;D5,DK,DQ,S10;SJ,CJ,S7,SQ;S8,D4,H3,S9;HK,HA,HJ,HQ;D10,H9,H2,S6;D3,H7,H10,S5;D9,H4,C5,H5;C7,H6,S3,H8"
1569979531,0,0,3,"C9,CQ,CJ,C2;C8,C3,C10,CA;D10,D3,D4,D2;S4,SQ,S5,S2;C7,S3,C5,C6;DJ,D9,DK,DA;D8,S9,SJ,DQ;S10,H8,S8,SK;D6,HQ,H4,D7;H10,H2,HA,H6;SA,H9,S6,HK;S7,HJ,C4,H5;CK,H3,D5,H7"
1569979531,0,0,3,"CA,C5,C3,C2;D5,DJ,D3,D4;D8,D6,D7,DQ;S3,SK,S7,S6;CQ,C4,D9,S9;SQ,SA,DK,S2;CK,DA,S8,C7;C10,D10,S5,CJ;C9,H10,HQ,H3;H9,H4,H2,H8;HK,H5,HA,S10;HJ,H6,C8,D2;SJ,H7,C6,S4"
1569979531,0,4,3,"D2,C7,CK,C2;S10,SK,S8,S4;C8,S7,C10,C6;DK,D9,C3,D6;D4,D8,CQ,DJ;SA,S5,S3,SQ;C4,SJ,D7,CA;S6,S2,D10,S9;D5,D3,C9,DQ;HQ,H10,H5,H2;HJ,HA,H4,H6;HK,CJ,H8,H3;DA,C5,H9,H7"
1569979531,0,0,3,"C10,C9,C8,C2;CK,C3,C6,CQ;SJ,S7,S5,S10;D7,D6,D3,D5;SA,S6,C7,S2;SQ,S4,DQ,C4;D8,D4,DK,D9;CA,C5,S8,H6;H7,H4,S9,H2;HK,H3,S3,HQ;H10,HA,D2,H9;H8,DA,HJ,D10;H5,SK,DJ,CJ"
1569979531,0,16,3,"C8,C6,C4,C2;CQ,C3,C9,CK;D7,D9,D6,DK;S7,SA,S2,S9;CA,S5,SQ,C10;CJ,SJ,DQ,C5;C7,SK,S4,D3;D10,S3,D8,DA;H4,HJ,S8,HA;H7,H5,D5,HK;HQ,H9,D4,H8;H10,H3,DJ,H6;H2,S6,D2,S10"
1569979531,0,17,3,"C6,C9,C3,C2;D8,DJ,S7,D10;D5,C8,D9,DQ;S3,SQ,S9,S4;C4,CJ,CQ,C7;D7,D4,S6,D6;D2,D3,S8,DA;S10,SA,C10,SK;CK,CA,DK,S5;H10,H2,H7,H6;HQ,H5,HK,HJ;SJ,H4,H8,H9;S2,H3,C5,HA"
1569979531,0,0,3,"CJ,C10,CK,C2;D6,D10,DK,DJ;D4,DA,D9,S9;C4,C6,C8,CQ;D8,D7,D3,SK;SQ,SA,SJ,S3;C3,C7,S8,DQ;C5,S2,D5,D2;S5,S10,H4,S4;H2,HQ,HK,H5;H10,H3,S6,H7;H9,HA,CA,H6;S7,H8,C9,HJ"
1569979531,0,9,3,"C10,C8,CQ,C2;DA,D3,D10,DJ;S6,S3,S4,S10;D2,D6,D4,D7;C6,C5,CJ,CK;S7,D5,S2,SJ;S9,D9,SA,S8;CA,C9,C7,C4;SQ,DK,SK,S5;HA,H3,HJ,H8;H2,H7,H6,H4;C3,HQ,H10,D8;HK,H5,H9,DQ"
