1569979548,0,4,0,"CJ,CK,CA,C2;S3,SA,S7,S6;C7,C8,C5,C3;D9,D10,DK,D7;S5,S4,SQ,S2;D5,S10,DJ,D6;S8,S9,SJ,D8;DA,SK,D2,D4;C10,C4,C9,D3;DQ,H10,HQ,H6;H9,H3,H7,H2;HK,HJ,H4,HA;H5,H8,C6,CQ"
1569979548,0,2,0,"C6,C5,C4,C2;S9,SA,S4,S3;D7,D9,D2,D4;C10,C3,CA,CQ;D5,DK,D6,S5;CJ,D10,CK,S7;DA,D3,DJ,SQ;SJ,S10,SK,S6;C8,S2,S8,D8;C7,H10,HK,HJ;H9,HQ,H5,H8;H3,H2,H6,HA;H4,DQ,C9,H7"
1569979548,0,20,0,"C8,C4,CK,C2;S6,S9,SJ,S3;C10,C5,CA,CQ;D3,D4,D6,D7;SK,S2,S4,S5;D2,D5,DK,DJ;SA,S8,S7,SQ;DA,DQ,D10,D8;H5,H7,HQ,H6;C6,C3,H2,H8;H3,CJ,H9,HJ;HK,D9,H10,H4;HA,C9,C7,S10"
1569979548,0,20,0,"C6,CK,CQ,C2;S5,S10,S4,S6;D10,D7,DA,D3;S9,S3,S7,S2;SQ,SJ,SK,C7;C4,C5,CA,C10;D5,D6,D2,DQ;C9,CJ,SA,C3;C8,H4,H6,H10;HQ,H8,H9,H7;HJ,HK,H3,S8;H5,H2,D4,DJ;DK,HA,D9,D8"
1569979548,0,0,0,"C5,CQ,C8,C2;S3,S4,SQ,S5;C9,C4,SK,C7;D10,D9,DK,D5;S2,S8,D2,S9;CA,C10,DA,CJ;S6,D7,S7,DQ;DJ,D4,D6,C6;SJ,D8,CK,S10;H9,H5,HK,H7;H6,H10,H4,H8;C3,H3,H2,SA;D3,HJ,HA,HQ"
1569979548,0,7,0,"C8,C4,C10,C2;C3,CQ,CK,D3;SQ,S4,S5,SA;D2,D5,D4,DJ;S7,S6,SJ,S8;SK,D7,D6,S10;S9,DQ,C5,DK;S3,DA,CA,H4;H8,H6,H7,H5;S2,HK,CJ,HA;C6,HJ,C7,H2;H9,HQ,D8,H3;D9,D10,C9,H10"
1569979548,0,17,0,"C6,CQ,C9,C2;DK,D3,DJ,D10;S10,S3,CJ,SQ;DQ,D7,C3,DA;S7,S9,C7,SA;D9,D4,C5,D8;S5,S8,C10,S6;C8,HA,C4,CK;SK,H3,S2,H8;CA,H10,H5,HJ;D6,H4,D5,D2;S4,H6,SJ,HK;H2,H9,HQ,H7"
1569979548,0,4,0,"C7,C4,CA,C2;S2,SA,SJ,SK;D6,D3,D5,D10;S3,S7,S6,S5;DJ,DK,DA,D7;C9,CJ,C5,CK;S4,C6,SQ,S10;DQ,D8,S9,D9;D2,C8,H8,H7;HJ,H2,H9,HQ;H10,H5,HA,HK;S8,CQ,D4,H3;C3,C10,H4,H6"
1569979548,0,5,0,"CA,C5,C9,C2;SK,S8,S9,S4;DK,D3,D7,D10;SA,S7,S2,SQ;S6,S5,C8,SJ;D9,D4,D6,D8;CJ,C3,C6,CQ;C4,CK,C7,DA;S10,C10,DJ,S3;H4,H2,HA,H5;HQ,HK,H10,H8;H7,H9,HJ,H3;H6,DQ,D2,D5"
1569979548,0,0,0,"C4,C3,C10,C2;S7,S3,D3,S4;S2,S5,DJ,S6;D9,D2,D10,D4;C8,C7,CA,C5;DK,DA,D5,SQ;D6,DQ,SK,D8;C6,C9,CQ,CK;S8,D7,CJ,SA;S9,H8,HA,SJ;HJ,H5,H9,H10;HK,H6,HQ,H7;H4,H2,H3,S10"
1569979548,0,0,0,"C9,C3,C4,C2;C5,C10,C6,C7;S9,SK,S5,SJ;DQ,D9,D8,D10;CK,C8,DJ,CJ;D2,D5,DK,S7;S4,S6,SA,S10;HQ,H10,HA,HJ;S3,S2,H9,H4;D3,CA,H8,D4;D6,CQ,DA,H5;SQ,H3,HK,H7;S8,H2,H6,D7"
