1569979552,0,5,0,"C9,CJ,C4,C2;DK,DJ,DQ,D6;S7,S4,S9,SK;C6,C3,C5,CQ;S2,S3,S6,D5;CK,C7,D3,CA;S8,D4,D8,SQ;D9,DA,HQ,D2;H6,H7,H10,HA;HJ,H5,S5,H2;D7,H4,SJ,D10;C8,H3,S10,C10;H9,HK,H8,SA"
1569979552,0,4,0,"C6,C9,C10,C2;DA,D2,D6,D9;D4,S9,DJ,DK;SJ,SQ,S7,S5;C5,CA,C8,CJ;S2,C3,S8,S4;SK,C4,S6,S10;CK,CQ,D7,DQ;D5,C7,D10,D3;D8,HQ,H3,S3;H5,H2,HK,HJ;H9,H7,H6,HA;SA,H8,H4,H10"
1569979552,0,2,0,"C10,CQ,C3,C2;DA,D3,D4,D7;D10,S9,D2,D9;DQ,S8,D5,DK;S7,S2,SJ,SQ;D8,C8,D6,S10;C5,CK,C4,C7;H5,CJ,H4,HQ;S4,SK,H6,HJ;C9,H2,C6,CA;S6,S3,H9,HK;H3,S5,H10,H8;HA,DJ,H7,SA"
1569979552,0,0,0,"C9,CJ,C7,C2;D6,D9,D7,D5;SK,S3,S10,S5;S7,S2,SJ,D3;C4,C8,C5,D2;D4,DJ,D8,DK;D10,C6,CQ,DA;S9,SA,HK,S6;S4,H9,SQ,S8;H3,H2,H10,H6;C10,H5,HJ,C3;CK,H7,DQ,H8;CA,HA,HQ,H4"
1569979552,0,6,0,"CJ,C4,C10,C2;S8,SQ,SA,S4;S9,S10,S5,S2;C5,D4,CA,C7;D8,DQ,D7,DA;D2,CK,D9,DK;C9,C8,S6,CQ;D3,S7,D5,D6;DJ,H3,D10,C3;HA,H4,SK,H9;H2,H5,S3,H7;H8,H10,C6,HJ;HQ,H6,SJ,HK"
1569979552,0,13,0,"CK,CA,CJ,C2;D7,D5,D6,DJ;S9,SA,S8,S5;CQ,C3,C4,C5;S4,S6,S7,SQ;C7,C9,C6,SJ;D4,D8,DQ,D2;D10,S2,D3,SK;D9,S10,C8,H9;DK,H2,H4,H6;DA,H3,S3,HA;H7,HJ,HK,H5;H8,H10,C10,HQ"
1569979552,0,15,0,"CQ,CA,C3,C2;D8,DA,D5,D9;SK,S8,S3,S6;SQ,SJ,S4,S2;S10,CK,S9,SA;C4,C5,C6,C7;CJ,C9,DJ,C8;D10,D3,D7,DQ;DK,S5,D4,D6;D2,H2,H3,HA;H4,HQ,H9,HK;H8,H10,H6,HJ;H5,S7,H7,C10"
1569979552,0,9,0,"C3,C6,CK,C2;DA,DQ,D10,C5;S8,S7,SQ,S5;D8,SJ,D4,D6;D2,CJ,DK,D7;SA,S6,S9,S3;C4,C7,C8,C9;C10,S2,CA,CQ;S10,SK,DJ,D9;H6,H2,HQ,H8;D3,HK,D5,H10;HA,H3,H4,HJ;S4,H7,H5,H9"
1569979552,0,19,0,"C4,C3,C9,C2;SA,S10,S6,S2;D10,D2,DQ,DK;S9,SJ,SK,S3;SQ,C6,C10,S8;S5,CK,DA,D9;S7,C5,CJ,D8;D3,D4,CQ,D7;CA,C7,C8,S4;D6,H5,HQ,DJ;H8,H3,H2,HA;H9,H6,H4,H10;HJ,H7,HK,D5"
1569979552,0,18,0,"C8,CA,CK,C2;CQ,C3,C4,C7;SA,S7,S10,S9;D4,D10,D2,D8;SK,S6,D7,SQ;DK,D6,D5,D3;S4,SJ,DJ,S3;CJ,C5,C6,DA;S8,H8,S5,S2;HA,H3,H7,HK;H9,H10,DQ,HJ;H6,HQ,C9,H5;H2,C10,D9,H4"
1569979552,0,0,0,"C9,C3,C10,C2;D6,DA,D8,D3;S7,S5,S9,S8;C6,C7,D4,CQ;C5,DJ,CJ,D9;SJ,S2,S4,SA;CK,DK,DQ,CA;D2,D5,SK,SQ;D7,S6,C4,D10;S3,HK,H5,H8;S10,H6,H9,HJ;HA,H3,H4,H7;C8,H2,H10,HQ"
1569979552,0,3,0,"CK,CA,C3,C2;SK,S10,S9,S8;DK,D6,D9,D5;C6,C5,C9,DA;C4,C8,DQ,C10;D10,DJ,D3,D8;S3,D4,SQ,S2;D7,D2,CQ,S4;SJ,H4,H10,S7;H2,HK,HA,H6;CJ,H3,H7,C7;H5,H9,S6,H8;HJ,HQ,SA,S5"
1569979552,0,13,0,"C10,C5,C7,C2;D7,DQ,D2,D6;D9,D8,DK,DA;CA,C4,C3,S6;SQ,S2,SA,S7;CJ,CK,D3,C6;S4,S3,S5,SJ;C9,CQ,D10,C8;S9,SK,S8,D4;H10,H9,HA,HQ;H6,H4,HK,D5;H5,H3,H8,S10;H7,H2,HJ,DJ"
