1569979559,0,14,3,"CJ,C3,C8,C2;S10,S6,SA,S4;C4,CA,C10,S5;S3,D2,S8,S2;SQ,DJ,SK,D6;D8,D5,D9,DQ;DK,D7,DA,D10;C9,C6,H8,CQ;HQ,H6,HA,H3;H2,H10,HJ,D4;H7,S7,H4,CK;H5,C5,HK,SJ;D3,H9,S9,C7"
1569979559,0,15,3,"C9,C5,C8,C2;CA,CK,C6,C4;D10,DA,D2,D4;S3,SJ,S6,S4;C7,CQ,C10,D6;S9,SA,SQ,SK;DJ,D8,D3,D9;CJ,C3,DQ,S5;S2,S10,S7,S8;H8,H10,HA,H7;HJ,HQ,H6,H4;HK,H5,H9,D5;H2,DK,H3,D7"
1569979559,0,13,3,"CA,C6,C10,C2;DJ,DQ,D3,D6;S6,S10,S8,SJ;S5,S3,S9,S7;D8,D9,D10,DA;SA,SK,SQ,S2;CQ,C5,C8,CK;D4,D2,C3,DK;CJ,C7,HJ,C9;H8,H5,H2,H7;D7,H6,HQ,H9;C4,HA,H3,HK;D5,H10,H4,S4"
1569979559,0,13,3,"CA,D2,C3,C2;SQ,SJ,S5,S4;D6,D3,D5,DQ;CK,SK,C10,C7;CQ,S8,C4,S7;C9,DJ,C5,S6;C8,D4,C6,D7;D8,S10,D9,DK;S2,HQ,S3,SA;H4,HK,H3,HJ;H8,H10,H2,H6;D10,HA,DA,H9;CJ,H5,H7,S9"
1569979559,0,0,3,"CA,C7,C10,C2;DK,D2,D9,DJ;C8,C5,CK,C3;C6,CQ,S5,CJ;D5,D10,DQ,D7;S6,S7,SJ,S2;D8,D6,DA,SQ;S8,S10,S3,H8;H9,HA,H3,HK;H2,H6,H10,H5;C9,SA,S4,H7;S9,SK,H4,HJ;D4,D3,C4,HQ"
1569979559,0,17,3,"CJ,CK,C10,C2;SJ,S6,S4,SQ;C3,C9,C6,C7;D5,D7,D6,DA;S9,SA,SK,S2;C4,CA,D3,CQ;DJ,D2,D10,DQ;C5,DK,C8,D4;D9,S10,S5,D8;S7,H6,S8,H3;H10,H9,H5,H8;HJ,HA,H2,H7;H4,HQ,HK,S3"
1569979559,0,5,3,"C8,C4,C9,C2;D7,D10,D9,D5;CQ,C6,C3,CJ;C10,SJ,C5,CK;D2,D6,DA,D4;S3,S2,S7,S6;SA,S5,S10,DK;SK,SQ,S8,CA;S9,H7,S4,H4;HA,HQ,H8,H5;H6,HJ,D8,H10;HK,H9,DQ,C7;H2,H3,DJ,D3"
1569979559,0,1,3,"CJ,C10,C3,C2;SJ,S7,S6,S8;D6,D4,DA,DK;C5,C9,D3,CA;D8,C6,DQ,DJ;D5,CQ,D2,D9;CK,C7,SQ,S10;S5,SA,S4,S9;S3,SK,S2,C4;D7,D10,H2,C8;HJ,H8,H3,HK;HA,H10,H5,H9;H4,H6,H7,HQ"
1569979559,0,4,3,"CK,C3,CQ,C2;S7,S8,SK,S4;D8,D9,D4,DA;S3,C10,SJ,S5;C7,D10,C6,C5;C9,D6,CA,DK;D7,S6,D5,D3;DJ,S9,DQ,S2;C4,S10,SA,C8;H8,H6,HQ,HJ;HK,HA,H9,CJ;H3,H4,H7,SQ;H10,H2,H5,D2"
1569979559,0,0,3,"C3,CJ,C10,C2;S2,SJ,S6,S8;S7,SQ,S4,S9;D5,DA,D3,D9;D7,DK,D2,D10;S3,D6,SK,S5;C4,CA,C7,C5;C6,D8,SA,C8;CQ,DQ,S10,CK;DJ,H2,H6,D4;HA,H10,H3,H5;HQ,HJ,H8,H4;H9,H7,HK,C9"
1569979559,0,5,3,"C9,C5,C4,C2;SQ,S9,S8,SK;C10,CK,C8,S5;D7,D2,D4,D8;S6,SA,S3,S7;CA,C3,DJ,C6;CQ,CJ,D5,S2;DK,D6,H10,H7;HA,H5,HK,H4;DQ,D9,H9,SJ;DA,D3,H2,S4;H3,H6,HQ,H8;HJ,C7,D10,S10"
1569979559,0,0,3,"C6,C10,CQ,C2;DQ,DA,D7,D6;S5,S9,SQ,S10;D8,S8,DJ,D9;D3,SA,D10,D4;DK,C3,D5,C8;D2,C4,CA,C7;SJ,S6,S2,S4;CJ,C9,H10,H3;H8,H2,HK,H6;HQ,H5,HJ,HA;H9,S3,SK,H4;H7,C5,S7,CK"
1569979559,0,0,3,"C9,CK,CQ,C2;S3,S8,S10,SJ;D8,D6,DJ,DK;S2,S6,C8,SA;DQ,D7,DA,SQ;C4,C3,C10,CJ;S7,SK,D4,CA;D5,S5,D9,C5;C7,HQ,D10,H9;H6,H2,HJ,H8;HK,H3,H5,H4;D3,HA,D2,H10;S9,S4,C6,H7"
