1569979595,0,0,0,"C10,CK,C5,C2;S6,SA,S3,S4;C7,CQ,CJ,C3;CA,DJ,C4,C6;D9,D10,D6,D4;S2,SJ,S9,S10;C9,C8,DA,S8;D5,DK,D8,DQ;S5,SQ,HQ,SK;H10,H9,HK,HA;H8,H4,H2,H7;HJ,D2,H3,H6;H5,D3,D7,S7"
1569979595,0,13,0,"C3,CQ,CA,C2;D3,D4,D9,D8;S4,S7,SJ,S10;DQ,D7,DA,D5;S5,S6,SK,S9;C9,C10,C4,C8;DJ,D2,D6,S3;CJ,C7,CK,C6;D10,S2,DK,SQ;S8,SA,H7,H5;H4,H9,H10,HQ;H8,HA,H3,HJ;HK,H2,H6,C5"
1569979595,0,0,0,"CQ,C3,CA,C2;D10,DJ,D8,D5;SK,S5,SJ,S9;CJ,C4,C6,C10;S2,S7,S6,C7;D2,D6,D7,D4;DA,DQ,S10,DK;D3,S4,H6,H4;HA,H5,HJ,C5;H10,H8,H9,S8;H3,S3,H7,C8;HQ,HK,C9,SA;D9,H2,CK,SQ"
1569979595,0,13,0,"CK,C7,C4,C2;S8,S3,SA,S4;D6,D4,D9,DQ;SJ,S6,SK,S2;C3,CA,C9,C8;DA,D7,DK,D5;S5,CQ,D10,SQ;C10,C6,CJ,D8;S10,D3,S7,D2;C5,HK,DJ,HQ;HJ,H2,H9,H10;H8,H6,H7,H5;HA,H4,S9,H3"
1569979595,0,0,0,"CJ,C8,C4,C2;D9,DK,D5,DA;C10,C6,C7,DJ;SK,S4,S8,SJ;SQ,S5,SA,D6;D7,D3,D4,DQ;D8,CK,S7,D2;H3,HA,H9,H5;S10,S3,C9,HQ;C3,C5,CQ,H6;HJ,H10,HK,H8;S2,S9,H2,H4;CA,S6,D10,H7"
1569979595,0,5,0,"CQ,C6,CJ,C2;D4,D2,D7,D5;S9,S2,S4,S7;C9,C10,CA,C3;D10,D3,D6,DA;DJ,SJ,C5,D8;D9,H6,H10,DQ;H8,C7,H2,H3;HJ,SA,H4,S8;DK,SQ,H5,C8;H7,CK,H9,S3;HK,SK,HQ,S5;HA,S6,S10,C4"
1569979595,0,0,0,"C9,C5,C3,C2;S3,SK,S9,SA;CQ,DA,CK,S8;C7,D7,CA,D6;D3,DJ,D10,D9;DQ,D5,S10,DK;S6,S4,S7,S2;D8,D4,C8,D2;HJ,C10,H3,H2;H4,CJ,HK,H9;HA,C6,HQ,H10;SQ,SJ,H6,H7;S5,C4,H5,H8"
1569979595,0,13,0,"CQ,C3,C5,C2;SA,S3,S10,S2;C7,D9,C10,C8;D7,DA,DQ,DK;SJ,SK,S4,S9;D10,D2,D8,D3;SQ,S5,S7,S8;D5,C4,D6,DJ;CK,HJ,H4,C9;CA,H5,H9,CJ;HK,H6,H10,H8;C6,H7,HA,HQ;D4,H3,S6,H2"
1569979595,0,10,0,"C8,C4,C9,C2;DQ,D3,DJ,DK;S4,S10,S2,S7;C10,CQ,CA,C5;D10,D8,D5,D6;DA,D4,C6,D9;SA,SK,SQ,S6;D2,SJ,S9,CJ;C3,CK,HA,C7;H7,H6,H5,HK;HQ,H8,H2,H4;H10,HJ,S8,S5;H3,D7,S3,H9"
1569979595,0,18,0,"C3,CK,C10,C2;S2,S3,S8,S9;DK,D8,D3,D6;D4,DQ,DJ,D7;SQ,SJ,C5,SA;DA,D10,C4,D2;S5,SK,C7,S4;C9,CA,S6,C6;CJ,CQ,S7,C8;D5,D9,H6,S10;HK,H9,HQ,H2;H7,H5,H4,H8;HJ,HA,H3,H10"
1569979595,0,17,0,"CK,C10,C4,C2;C7,C5,S10,DK;SA,SQ,SJ,S8;SK,S7,S6,S2;CJ,CA,D7,D8;D10,D9,D4,D5;DA,D6,DQ,DJ;C9,CQ,D3,S9;H3,H5,H6,HK;C3,S3,H10,HA;H4,HJ,H8,HQ;H2,H9,S4,C8;D2,H7,S5,C6"
