1569980685,0,20,2,"C4,CA,C7,C2;SK,S8,C3,S9;SJ,S4,D4,S3;S2,DK,C6,S10;C9,C5,CJ,S6;D10,DQ,DA,DJ;S5,C10,D9,SQ;SA,S7,CQ,D8;D2,D5,D6,D7;CK,H7,H8,C8;H6,H2,H3,HK;D3,HJ,HQ,H9;H4,H5,HA,H10"
1569980685,0,4,2,"C10,C9,CQ,C2;DQ,D7,D3,DA;C6,C8,CK,C7;SJ,SK,S5,S7;C4,C5,D8,S3;CA,D2,C3,D5;DJ,S6,D6,S2;D9,S9,D4,S4;D10,SA,DK,SQ;S8,S10,H2,H6;HK,H4,HJ,H5;H10,H3,H7,HA;H8,CJ,HQ,H9"
1569980685,0,4,2,"C7,C3,CQ,C2;SA,S3,S7,SJ;CA,CJ,SK,C10;S8,S10,S9,S2;D5,D2,DQ,DA;D6,D9,DJ,D8;C9,S6,C5,C8;C6,D7,CK,C4;S5,D10,D3,S4;HQ,H8,HK,H9;H4,HJ,H5,H10;H6,D4,H7,HA;H3,H2,SQ,DK"
1569980685,0,13,2,"C8,C3,C5,C2;D4,CK,D9,D7;C6,C9,CQ,C4;S5,SA,S10,SK;D8,DA,D2,SQ;DK,D5,D3,S4;D10,DQ,CJ,SJ;S3,DJ,S8,S9;S2,H3,C7,S6;HA,H6,HQ,H5;S7,H10,H9,H8;D6,HJ,CA,H4;C10,HK,H7,H2"
1569980685,0,4,2,"CK,C7,CJ,C2;S10,S3,S7,S5;SA,S4,SK,C5;DK,D9,D10,D2;D4,D5,D8,C10;CA,C9,C3,C4;DA,CQ,D6,DJ;D7,C8,S6,D3;S8,C6,SQ,S2;HJ,H6,HA,HK;H3,H8,HQ,H7;H5,SJ,H2,H10;H9,DQ,S9,H4"
1569980685,0,0,2,"C3,CQ,C9,C2;D2,D8,D9,D7;C8,CK,CJ,C4;DQ,DA,C5,D6;S9,SQ,SK,S7;S2,S3,SJ,DK;SA,S8,S6,CA;C7,C6,D3,D4;DJ,H4,D5,D10;H2,H7,H9,H6;HQ,HJ,HK,H3;C10,HA,S10,H10;S5,H5,S4,H8"
1569980685,0,4,2,"CK,C9,C7,C2;D3,DA,D6,D4;S5,SA,S7,S6;C3,C10,C5,S9;C6,CJ,D2,DJ;S10,S4,SK,SJ;D5,DK,D8,D7;C8,DQ,CQ,D9;C4,S3,CA,D10;S8,SQ,H8,H6;HK,H2,H9,HA;HJ,H10,H4,HQ;H5,H7,S2,H3"
1569980685,0,2,2,"C3,CK,CQ,C2;S10,SJ,S4,S7;D3,D8,DK,DA;DJ,D6,DQ,D9;SK,S8,SQ,C4;D2,C8,D5,D4;C9,C6,CJ,C7;S3,S6,SA,D10;C10,C5,HK,HA;H6,H8,H5,H2;HQ,S5,HJ,H9;CA,D7,H7,H3;H4,S9,H10,S2"
1569980685,0,0,2,"C4,C10,C7,C2;DJ,DQ,D6,D4;S5,S8,S3,S6;CJ,C3,CA,C6;D10,CQ,D9,SJ;DK,CK,D5,S4;D8,C5,D7,SK;D3,S10,D2,S7;DA,HJ,S2,HQ;HK,H9,H4,H2;H10,H6,H7,SA;H3,H5,H8,S9;C8,HA,SQ,C9"
1569980685,0,0,2,"C3,CK,C9,C2;D3,S3,DA,D4;DK,DJ,CJ,D7;S2,S6,SQ,S9;S8,C10,SA,SJ;D6,DQ,D10,C6;D9,D5,D2,C5;D8,C7,CQ,S10;CA,S5,C8,C4;H3,HJ,H9,H5;H6,H2,H10,HA;H8,H4,HK,S7;H7,HQ,S4,SK"
1569980685,0,0,2,"C10,C5,CA,C2;D2,D9,D7,DQ;C6,C3,C4,CK;D10,D8,DA,DK;SA,S8,SJ,S9;S3,SK,S5,S10;D5,C8,D6,SQ;CQ,CJ,S6,DJ;C9,C7,S2,D4;S4,S7,H8,H2;HK,HA,HJ,H6;H7,H10,H4,H3;HQ,H5,H9,D3"
1569980685,0,4,2,"C7,DQ,C5,C2;D9,D8,D7,D3;D5,D10,DK,D6;C9,C6,S9,CJ;S7,SQ,SA,S3;SJ,SK,S10,S6;C4,CQ,C8,D2;S2,S4,DA,D4;C3,CK,C10,HQ;S8,H8,H7,HK;H4,H9,HJ,H6;H3,H2,H5,HA;H10,CA,DJ,S5"
