1569980691,0,0,3,"C8,C9,C4,C2;S8,SQ,S4,S5;D10,DQ,D6,D2;S2,S3,S7,SJ;SA,SK,S10,S6;D7,D3,D9,DK;CK,C3,C5,C7;CA,C10,S9,D4;DA,DJ,D5,H9;HQ,H3,HJ,H6;CJ,C6,H7,HK;H8,H2,H5,HA;H10,CQ,H4,D8"
1569980691,0,21,3,"C10,C4,CJ,C2;S5,SA,S2,SJ;C7,CQ,C8,C5;D4,DA,D8,D3;SQ,S9,SK,S10;CK,C3,C6,D6;S6,S8,S7,D9;C9,D5,CA,D2;D10,D7,DJ,H10;H5,HQ,HA,H4;H2,H9,H6,HK;H3,DQ,H8,HJ;S4,DK,H7,S3"
1569980691,0,1,3,"C3,C7,CK,C2;S7,S10,S2,S3;C8,CA,C4,CJ;D2,D8,DA,D7;C9,S5,C6,DJ;CQ,SA,SK,D6;C5,S8,D3,D10;C10,S9,D5,S4;SJ,HA,S6,D4;HJ,H7,H6,HK;DK,H2,D9,H9;H10,H4,H8,H5;DQ,HQ,SQ,H3"
1569980691,0,4,3,"C6,C10,CQ,C2;DJ,DA,D3,D4;C5,CK,C7,C3;D2,D7,D8,D6;CA,C8,C4,C9;S3,S10,S5,S8;DQ,DK,D10,SQ;D5,S4,S9,SK;CJ,HK,S6,H9;H8,H5,HA,H3;SJ,S2,S7,H2;H7,H6,H4,HQ;H10,HJ,D9,SA"
1569980691,0,0,3,"C4,CK,CJ,C2;S3,SJ,S9,S8;S2,S7,S5,S4;D2,D5,D3,DA;DK,DJ,D10,D6;C9,C3,C6,C10;SA,SK,SQ,S6;S10,C7,D4,C5;DQ,CQ,D8,D7;H2,H9,HK,H8;CA,HA,C8,H5;D9,HJ,H6,H3;H10,H4,H7,HQ"
1569980691,0,16,3,"C5,C10,C8,C2;D2,DQ,D6,D10;SJ,SK,S10,SA;DJ,CK,D9,D3;S8,S3,S2,S7;DK,S5,D5,DA;CJ,HK,C9,C3;H7,HJ,H4,H9;H10,CQ,H8,H3;H6,D8,HA,C7;S6,SQ,HQ,S9;D7,H5,S4,D4;CA,H2,C4,C6"
1569980691,0,4,3,"C3,CA,C9,C2;CQ,CK,C6,S8;C5,D6,DK,CJ;S10,S6,S7,S3;D2,DJ,D10,D4;S2,SJ,S5,SQ;C7,D7,C4,D5;DA,D3,D9,DQ;SK,S9,S4,H8;H6,HQ,H5,H4;H10,HA,HJ,HK;D8,SA,H3,H2;C8,C10,H7,H9"
1569980691,0,3,3,"C6,C4,C3,C2;DQ,D9,D3,D10;D4,D6,D7,DJ;S3,S10,SJ,CJ;S2,S4,S7,DA;SQ,D8,DK,S9;CQ,C9,C10,CA;S5,S6,D2,C5;C8,CK,H6,SK;H10,HJ,H5,H8;H9,HK,H3,HQ;H4,H2,D5,HA;S8,SA,H7,C7"
1569980691,0,3,3,"C6,CQ,CJ,C2;D4,D8,DA,DQ;CA,C7,C5,D5;C4,DK,C3,S4;SK,S3,S7,S8;D3,DJ,D9,D7;S10,S6,S5,S9;D10,C8,D2,CK;SQ,S2,SJ,C9;D6,HJ,H6,HA;H5,H3,H2,HK;H9,C10,H10,H7;H4,SA,H8,HQ"
1569980691,0,4,3,"C8,CA,C5,C2;S5,SQ,S4,SK;D5,D2,D10,DQ;C7,C10,CK,D4;CJ,C6,D7,SJ;C3,D9,S7,D3;C4,S3,S10,S2;CQ,D8,S9,DJ;SA,S8,H5,H8;H9,HJ,H10,H4;HK,HA,DK,H3;H7,D6,H2,H6;HQ,DA,C9,S6"
1569980691,0,4,3,"CK,C6,CQ,C2;D7,D9,D5,D2;S10,S8,S3,SK;D4,DA,C9,D10;C4,C8,C3,C7;S6,S7,SA,SQ;D6,D3,DK,S9;CJ,C10,D8,C5;CA,H7,H10,HA;H8,HK,H5,H3;H2,HJ,S5,H9;H4,DJ,S2,HQ;SJ,DQ,S4,H6"
1569980691,0,2,3,"C8,C10,C3,C2;D4,D5,D6,DA;DK,D10,C5,D7;D3,DQ,CK,D9;S6,S10,SJ,SA;C6,CA,C4,CQ;S5,D8,S2,S9;S4,CJ,SK,SQ;C9,D2,S3,DJ;C7,HQ,H4,H7;H9,HA,H10,H2;HJ,H3,HK,H6;S7,H8,H5,S8"
