1569980699,0,0,2,"CQ,CA,CK,C2;S5,S9,S7,S2;DJ,DK,D2,DQ;C6,C9,C4,C5;SA,S10,DA,SJ;C10,C3,C8,CJ;S6,SK,S3,D3;D9,D10,D4,D5;S8,SQ,S4,C7;D6,HA,H3,H5;D7,HK,H9,H2;H7,H8,H10,H4;HJ,HQ,D8,H6"
1569980699,0,0,2,"C9,C10,C7,C2;DQ,D4,DJ,D3;SQ,S8,S6,S4;S3,S10,SJ,S9;C5,D10,C4,CK;SA,DK,S2,S7;D5,D7,D6,D9;C3,HQ,CJ,H5;H9,H3,HJ,C8;H8,H6,HK,CA;S5,D8,H2,DA;SK,H7,HA,CQ;H4,D2,H10,C6"
1569980699,0,19,2,"C5,C7,CJ,C2;D7,D3,D4,D9;S9,S2,S3,S6;DJ,CK,D8,D6;D5,S10,DK,DA;CQ,CA,C3,S8;S5,SQ,SJ,S4;C8,C9,SA,C6;C10,DQ,S7,SK;C4,H6,HK,H4;H9,H2,H8,HJ;H5,H3,D10,H7;HA,H10,HQ,D2"
1569980699,0,0,2,"C6,C3,C9,C2;S7,SQ,S4,S9;DK,D2,D5,DJ;C7,CQ,CJ,SK;C4,C8,C5,SA;DQ,D10,DA,D4;D9,SJ,D3,D8;D7,CA,S10,D6;S3,CK,S5,S2;HQ,H6,HA,H7;S8,H8,H3,H10;S6,H4,HK,H2;C10,H9,H5,HJ"
1569980699,0,0,2,"C4,CK,C10,C2;D7,DJ,D3,D8;D10,D2,D9,DA;S6,SQ,S4,D5;C3,SJ,C6,C7;SA,S8,C9,S5;C5,SK,C8,CJ;D6,DQ,D4,DK;H6,H8,H7,HK;HA,H4,HQ,H10;S10,S3,S7,H2;S2,S9,H3,H5;H9,CA,HJ,CQ"
1569980699,0,4,2,"C10,C5,CQ,C2;D4,D10,DJ,DQ;SQ,SK,S7,S10;D3,D2,D6,D9;S3,S6,SJ,S9;C6,C7,CA,CK;DK,DA,D7,C8;S4,CJ,S8,SA;C9,H9,C3,S2;H6,HK,H2,H8;HQ,D5,HA,H5;H4,HJ,S5,H3;H7,D8,C4,H10"
1569980699,0,0,2,"CJ,C6,C5,C2;S8,S5,SQ,S9;D8,D5,D2,D4;SK,S7,S2,S6;DQ,D3,D9,DJ;S3,SJ,SA,S10;C4,C8,CK,C10;C7,CA,C3,C9;D10,D6,H3,HQ;H9,H8,H10,HA;S4,H6,H7,DK;HK,CQ,HJ,H2;H5,DA,H4,D7"
1569980699,0,4,2,"CQ,C5,C9,C2;S7,S10,S9,SJ;D5,D4,D10,D6;D2,D7,DQ,D8;CJ,CK,C6,S5;DA,DJ,D3,CA;D9,S2,DK,C8;SA,SK,S6,C3;S8,S3,SQ,C7;C4,H4,C10,S4;HJ,H2,HQ,H6;H7,H3,HK,H9;H5,H8,H10,HA"
1569980699,0,17,2,"C5,C8,C4,C2;DK,D7,DJ,D4;SA,S2,S4,SQ;DA,D5,CK,DQ;D9,D3,S8,D2;CQ,C3,C9,S7;C10,CJ,SJ,S9;S5,S3,S6,S10;C6,H10,D6,CA;HA,HK,H2,HQ;H6,H7,H8,H9;H4,HJ,H5,D10;H3,SK,C7,D8"
1569980699,0,8,2,"C9,C4,CA,C2;S10,SA,SJ,SQ;C7,CQ,C5,C10;D6,D5,D8,DJ;D2,D3,D7,SK;CK,S4,S5,C3;CJ,D9,S7,C6;C8,S2,S6,S8;S3,S9,H5,D4;H4,HK,H10,HA;H7,H2,H9,H6;DA,HJ,DQ,D10;DK,H8,H3,HQ"
1569980699,0,3,2,"C4,CJ,C8,C2;S10,S8,S9,SK;DA,DK,D4,D8;DJ,D7,DQ,D3;CQ,SQ,C10,CK;C5,C6,S2,C7;D2,C3,S3,D5;D10,SJ,S4,D6;D9,H7,HA,S5;H2,H8,H10,H4;SA,H6,HJ,S7;S6,HK,C9,H5;H9,H3,HQ,CA"
