1569980700,0,13,3,"C8,CQ,CK,C2;D6,D9,D7,D2;CA,C9,C4,C6;S4,S2,S3,SQ;S8,S5,D5,SA;DA,DK,D3,D10;C5,C10,C3,C7;D8,CJ,DQ,D4;H6,HK,H10,H4;H2,HA,H7,H5;S10,HJ,SJ,S7;H3,HQ,SK,DJ;H8,S9,S6,H9"
1569980700,0,4,3,"CA,C5,CK,C2;SQ,SJ,S9,S7;D2,DK,D7,D5;C6,CQ,D10,C4;DJ,D6,C3,DQ;S2,S6,S8,S5;C8,D9,C10,C9;D8,C7,HA,SK;H6,H10,H7,H4;HJ,H3,DA,HQ;SA,H2,H8,S3;S10,HK,CJ,D3;S4,H9,H5,D4"
1569980700,0,13,3,"C3,CJ,C10,C2;SQ,S8,SA,SJ;DJ,D3,D7,D2;D6,D10,D9,C4;CK,C8,C7,CQ;C5,SK,C6,CA;S9,S2,DQ,S5;S7,S4,D5,S3;C9,D4,DK,DA;H9,HJ,H4,H6;H10,H8,S10,H7;HA,HQ,S6,H3;H5,H2,D8,HK"
1569980700,0,7,3,"CA,C7,C4,C2;S9,S2,S6,S3;D2,D10,DK,D3;SJ,SQ,S5,S4;C6,CK,D4,C10;DQ,D6,DA,D8;CQ,SK,D7,C9;CJ,S10,SA,S8;C5,H10,D9,S7;H9,HJ,HQ,H5;H8,H2,C8,H6;H4,H7,DJ,HA;HK,H3,D5,C3"
1569980700,0,0,3,"C5,CK,CJ,C2;C4,C3,C6,CQ;S10,S9,SA,S3;D8,DQ,D2,D9;C8,C9,D4,S2;D3,DK,D7,DA;S4,S6,C7,S8;C10,H2,SK,H6;HJ,H5,HK,H7;SJ,S5,H3,HQ;SQ,D10,H4,CA;DJ,D6,H8,D5;S7,HA,H10,H9"
1569980700,0,1,3,"C5,CA,C4,C2;D7,D9,DQ,DK;S5,S2,S9,SA;D10,SQ,DA,D3;CJ,C3,SK,C6;CQ,C7,S6,C9;S4,S8,S10,D5;SJ,CK,S7,D2;D4,HJ,C10,D6;H6,HQ,H8,H4;H10,H3,DJ,H9;H7,H5,D8,HK;S3,H2,HA,C8"
1569980700,0,0,3,"CJ,C6,C5,C2;D2,DJ,DK,D10;S6,SJ,SA,S10;S3,S5,SK,S9;D8,D5,D7,D9;C8,CA,S8,CQ;D3,C3,D6,D4;SQ,S7,CK,S2;H5,H3,H6,HQ;H7,H9,C4,HJ;HK,H8,DQ,H2;HA,H10,C10,S4;H4,C7,C9,DA"
1569980700,0,3,3,"CQ,C5,CK,C2;D8,D6,D7,D10;DQ,D2,DJ,D3;SQ,S3,S4,SA;D4,DA,DK,D5;S2,S6,S5,S7;CJ,C10,CA,C9;C4,C7,S9,C6;C3,H9,SK,C8;SJ,H2,H5,S10;H7,H10,HQ,HK;H4,H3,HJ,H6;D9,H8,HA,S8"
1569980700,0,2,3,"SK,CA,CQ,C2;SJ,S8,S2,S9;C10,CJ,C6,SA;D10,D2,DQ,D7;C4,C9,D6,D4;S10,S7,S5,S4;C3,C8,DJ,DA;D9,S6,S3,DK;D8,H7,D3,H2;H8,HQ,H5,H3;SQ,HJ,H4,HK;C5,C7,H9,H10;H6,HA,CK,D5"
1569980700,0,0,3,"CJ,C9,C6,C2;D10,D9,D5,D6;D3,DJ,DK,D2;S8,C8,S6,SJ;CQ,C7,C5,C3;S9,SQ,SA,DA;S2,S5,CK,SK;D7,S4,DQ,D4;CA,S7,C10,S10;C4,HK,H2,H10;H8,H3,HJ,HA;D8,H5,H4,H7;S3,H6,H9,HQ"
1569980700,0,0,3,"C8,C9,C4,C2;DJ,D3,D9,D8;CJ,C10,CQ,CA;SK,S8,S9,S4;S5,S7,CK,S6;DQ,D2,DA,D6;SQ,DK,SA,S2;C3,C5,D10,S10;H6,H9,HK,H3;HJ,S3,H10,H7;H8,C6,H5,H2;HA,D7,H4,D4;D5,C7,HQ,SJ"
