1569980704,0,0,2,"C6,C10,C4,C2;D8,DQ,D9,D3;SJ,S10,SK,S5;CK,C3,CJ,C7;DA,C8,D4,D5;SA,S9,S3,S4;D10,CA,D7,S6;H6,H10,H4,HK;H7,H3,D2,HQ;H8,H9,DK,S8;C9,HA,DJ,C5;S2,H5,S7,SQ;CQ,H2,D6,HJ"
1569980704,0,13,2,"C6,CK,CQ,C2;S6,SQ,S9,S5;D3,D9,D6,D10;C5,C10,C9,C4;DQ,DJ,D5,DA;S3,S2,S8,SA;CA,C8,CJ,S10;C3,C7,D4,S7;D8,D7,HA,H8;H2,HJ,H9,H7;HQ,H10,H3,H5;DK,HK,SJ,S4;D2,H4,H6,SK"
1569980704,0,4,2,"C5,C4,CK,C2;S3,S9,S5,S2;C6,C10,CQ,C9;DQ,D10,DK,DJ;DA,D7,D9,D3;SJ,SK,SQ,SA;S10,S8,S6,S7;CJ,C7,CA,D6;D8,S4,D5,D4;D2,H6,H8,H7;HJ,H10,H4,H9;H5,HQ,H3,H2;C3,C8,HK,HA"
1569980704,0,2,2,"C6,C9,C7,C2;S2,SK,S5,CA;S10,S4,C8,S9;C10,CK,CQ,D8;DK,DQ,D10,DJ;DA,D4,D6,D2;S6,C5,S8,S7;S3,D5,D3,SJ;D7,H9,H4,HQ;H5,H3,H7,HJ;C3,CJ,H10,H6;H2,HA,SQ,D9;HK,C4,H8,SA"
1569980704,0,0,2,"C5,C7,C8,C2;S9,S2,S3,S10;SQ,S7,SA,S8;D5,D6,D10,DJ;D8,DQ,D3,DK;S5,S6,DA,SJ;D7,D2,D9,D4;CA,C9,C3,CJ;C10,C6,H10,S4;HK,H2,HJ,H4;H3,H9,H6,H5;CK,H8,CQ,HA;C4,H7,HQ,SK"
1569980704,0,17,2,"C8,CK,CQ,C2;SA,S4,S6,SJ;S5,S8,S3,S10;C4,C9,CA,C6;D9,D7,D10,D6;S2,SQ,DJ,S9;C3,C5,DA,C10;DQ,CJ,D5,D3;D2,C7,DK,D8;D4,H6,H2,S7;H5,HK,HQ,H8;H4,H7,HA,H10;SK,H3,HJ,H9"
1569980704,0,15,2,"C7,C9,CQ,C2;C4,C6,DJ,CA;DQ,D8,D10,D3;D6,DA,DK,D5;C3,C10,SK,CK;S6,SJ,S7,S10;C5,S8,S5,CJ;D4,SA,D9,C8;S4,S2,D2,SQ;S3,H7,D7,H6;H2,H9,H10,HJ;H3,H8,HQ,H5;HK,HA,S9,H4"
1569980704,0,6,2,"C4,C9,CA,C2;D5,D6,D9,D7;S4,S10,S9,SJ;S8,S6,SK,SQ;D8,DK,D3,DQ;CK,C6,C3,C10;DA,DJ,D2,S2;SA,S3,S7,CQ;CJ,C5,H3,HK;H7,H6,H10,HJ;H2,H5,HA,H4;D4,C7,H8,D10;S5,H9,C8,HQ"
1569980704,0,0,2,"CJ,S2,CK,C2;S3,SJ,S7,S6;C4,C7,DQ,C5;D5,DA,D6,D8;C9,D4,C8,CQ;C3,C6,DJ,C10;S9,SQ,S8,SA;D2,S5,D10,DK;D7,CA,S4,D9;HA,HK,H4,H5;H3,H7,H9,HJ;D3,HQ,H6,H8;SK,H10,S10,H2"
1569980704,0,5,2,"C9,C4,C6,C2;S10,S7,S6,S2;D7,D3,DK,DQ;D5,D8,DJ,D4;SQ,S4,SA,C10;CJ,CA,C7,CQ;SK,S3,S8,D6;SJ,CK,S5,HQ;HJ,H5,H6,H4;C5,H9,C8,HA;D9,D10,HK,D2;H8,H7,H3,S9;H2,DA,H10,C3"
1569980704,0,0,2,"C10,C5,C4,C2;D10,DQ,D6,D7;S7,SK,S4,SJ;SA,S8,S9,S5;C8,C3,CQ,CJ;D8,DA,D2,C6;CK,C9,CA,S2;D4,D9,DJ,S3;C7,S6,H9,HJ;H4,H5,H3,H2;SQ,H10,D3,H6;S10,DK,HK,HA;H7,HQ,D5,H8"
