1569980758,0,9,2,"C7,C3,CQ,C2;DK,DJ,D4,D10;D8,D6,D7,DA;C8,CA,C4,CJ;S5,S4,S9,SJ;D2,D9,C9,D3;S7,S6,SA,SQ;DQ,CK,S3,D5;HK,HQ,H10,HJ;H9,HA,H8,H6;C10,H5,H7,C5;S10,H4,S2,S8;SK,H3,H2,C6"
1569980758,0,3,2,"CK,C10,C8,C2;D7,D9,D5,DK;C6,CA,CJ,C9;S4,S10,S5,S9;C4,C7,C5,C3;D4,D8,DQ,S3;D10,SK,DJ,CQ;D3,SQ,D6,SJ;D2,HQ,H3,HK;S6,H9,S8,S7;HJ,H8,S2,H7;H2,H6,SA,H5;H4,HA,DA,H10"
1569980758,0,0,2,"C4,C9,C6,C2;DA,D7,D4,CJ;DQ,D8,D6,CK;D9,DJ,D5,C5;SQ,SA,S3,S9;S8,S6,SK,S2;C10,CA,CQ,SJ;C3,D2,S7,C7;DK,HJ,D3,S10;H4,HK,H10,H9;H3,H5,HA,H2;H7,HQ,D10,H8;H6,C8,S5,S4"
1569980758,0,1,2,"C10,C5,C3,C2;DQ,D6,DJ,D4;DA,D7,D3,D2;S9,S4,S2,S8;S7,S3,SQ,SK;C9,C6,C8,CA;S5,S10,D8,SJ;S6,SA,D10,D9;CK,C4,CJ,H5;H6,H7,H9,H4;HQ,HK,H2,H8;HA,C7,H3,H10;DK,CQ,D5,HJ"
1569980758,0,0,2,"C6,CK,C7,C2;DJ,D5,D4,D10;S5,S3,SJ,S7;C9,C4,CA,C5;D2,DK,D3,D7;C8,SK,CQ,C3;D8,D6,DQ,D9;S2,S8,S6,SQ;DA,S10,C10,S4;HJ,H8,H9,HQ;S9,H10,H2,HA;SA,H4,H6,HK;CJ,H5,H7,H3"
1569980758,0,13,2,"C6,C8,CJ,C2;S6,S4,S9,S5;S7,SQ,SJ,SK;D9,D7,DK,D2;D4,DQ,DJ,D3;D5,D8,D6,D10;S3,S2,S10,CK;SA,C3,S8,CA;C7,HQ,C10,C9;C5,H2,H8,C4;CQ,HA,H9,H10;DA,H6,H7,H4;HK,H5,H3,HJ"
1569980758,0,7,2,"CK,C4,C9,C2;S10,S6,SJ,S8;DA,D2,D6,D10;D7,DQ,DK,DJ;S5,S2,SQ,SA;CA,C5,C6,C8;C10,C3,CQ,D8;D9,S3,D4,S4;D5,H3,H9,S9;H7,H8,H6,HQ;HJ,C7,H5,H10;S7,SK,H2,D3;CJ,HK,HA,H4"
1569980758,0,0,2,"C9,C7,C3,C2;S4,S9,S7,S8;D4,D2,DJ,DA;S5,SJ,S6,SA;C4,CQ,C6,C5;SQ,D5,D8,S2;D6,DQ,DK,CJ;D9,D10,D7,S3;CK,D3,S10,C8;CA,HK,H7,HQ;H5,H10,H3,H2;HA,H9,H8,HJ;H6,H4,C10,SK"
1569980758,0,5,2,"C9,C3,C10,C2;CQ,C6,CJ,CK;S5,S9,S8,S2;D4,D7,D5,D3;CA,C8,C5,SQ;C4,D8,C7,S10;DA,DJ,D9,DQ;D10,S3,D2,DK;SA,S4,H5,SJ;HJ,HK,H8,H10;H9,H4,H6,HQ;S6,H7,S7,HA;D6,H2,SK,H3"
1569980758,0,0,2,"CK,CQ,C7,C2;DK,DQ,D7,D2;C8,S3,S9,C9;S8,S5,S4,D5;S7,SQ,SA,DA;D9,D3,DJ,D6;C6,SJ,D10,C5;C4,D8,S6,CJ;C10,H9,HK,H6;H3,H7,H2,H8;HA,HJ,D4,H10;H5,H4,S10,C3;S2,HQ,SK,CA"
1569980758,0,0,2,"CQ,C8,C10,C2;D9,D6,D3,D4;S3,S5,SK,S6;C7,C6,CJ,C5;C4,CA,S8,D10;D2,D5,DJ,D7;SJ,S10,S4,S7;DA,CK,C9,DQ;D8,C3,SQ,SA;DK,H8,H9,HQ;H3,H7,HK,H4;H6,H10,HA,S9;HJ,H5,H2,S2"
1569980758,0,0,2,"CA,C4,C5,C2;D6,DJ,DK,D5;SK,S4,S10,SQ;D9,CK,D7,DQ;C9,CJ,CQ,C3;SJ,S3,S7,S2;S5,C6,H9,S8;D10,D2,HQ,H2;D3,H8,HK,H7;D8,H3,H5,S6;D4,H6,H4,C7;DA,C8,H10,C10;S9,HA,HJ,SA"
