1569980764,0,19,0,"C5,CJ,C8,C2;SJ,SK,SQ,S2;D8,DK,D3,D2;C6,D7,S3,C10;CK,D9,C7,DA;S9,S5,D4,S8;CQ,S6,C9,D5;SA,S4,C3,S7;C4,S10,CA,DQ;D6,H8,DJ,H3;H2,H10,H7,HJ;D10,H6,H9,HA;HQ,H4,H5,HK"
1569980764,0,25,0,"C4,CK,C3,C2;S2,S3,SQ,S5;C10,C8,C5,CQ;DA,D3,D2,DK;S10,SK,SJ,S6;D8,DQ,D10,DJ;D5,D7,D4,S7;C9,D9,S9,CA;S8,HJ,SA,CJ;HQ,HK,H10,HA;C7,H7,H4,H8;C6,H9,H5,H6;D6,H2,H3,S4"
1569980764,0,18,0,"C5,C7,CA,C2;D9,DK,D5,D8;S9,S8,SK,S7;D6,D4,DJ,DA;S3,S4,S5,S2;D2,D10,DQ,D7;HA,H9,H3,HK;H2,HQ,C6,HJ;CQ,SQ,H6,C8;CK,S6,H10,C9;C4,D3,H8,CJ;H5,SA,SJ,H4;C10,C3,S10,H7"
1569980764,0,0,0,"C6,C10,C5,C2;C4,C7,CK,CJ;SJ,S9,S8,S4;D5,DK,DJ,D4;CQ,D8,CA,SQ;C3,DA,C9,SK;H10,H2,H8,HK;H3,D3,D6,H7;HJ,D2,S7,H4;HA,DQ,S3,H6;HQ,S6,C8,D9;H5,SA,S10,D7;H9,S5,S2,D10"
1569980764,0,16,0,"C5,C9,C4,C2;SQ,S9,S6,S10;S5,SK,S8,SA;SJ,DA,S4,D5;S7,DQ,C7,D2;D10,D3,D6,D4;S2,DK,CA,C3;D9,DJ,D8,CQ;D7,H2,C10,HQ;HA,H4,CK,H6;H8,H5,S3,H3;H9,HJ,C8,HK;H7,CJ,C6,H10"
1569980764,0,2,0,"CQ,CJ,C9,C2;D9,D2,D5,D6;SK,SQ,S3,S5;S9,S4,S7,SJ;C8,C10,C5,C4;DQ,DJ,D4,D10;D8,DA,DK,D3;D7,S6,CK,C6;CA,SA,H7,H10;S2,S10,HQ,S8;H5,H6,HK,HJ;H8,H4,H2,C7;H3,HA,H9,C3"
1569980764,0,0,0,"CK,C9,C4,C2;SA,S9,S7,SK;S10,SJ,D7,C3;S8,D3,D10,S2;S3,D5,C6,DJ;SQ,DQ,D6,D4;S6,D8,D2,C5;CA,CJ,D9,CQ;S5,DK,HJ,H8;S4,HA,H10,H4;C7,C8,H9,H5;H7,HK,H2,H6;C10,HQ,DA,H3"
1569980764,0,4,0,"CK,C6,CQ,C2;DQ,D2,D8,D7;S8,S2,S9,S5;DK,D6,D3,D5;C7,C8,C9,C3;S4,SK,S6,SQ;SJ,S7,CJ,SA;D9,DA,D10,D4;HK,HJ,H10,HA;H5,H2,HQ,H8;H6,DJ,H7,C5;S10,H9,S3,C4;H4,H3,C10,CA"
1569980764,0,0,0,"C5,C9,C10,C2;S6,S5,SK,S8;D10,D4,DQ,D2;DJ,C3,D7,DK;D8,SQ,D6,D3;D9,S3,C7,CQ;S10,SA,S9,SJ;C4,CA,CK,C6;S7,S4,C8,S2;HK,H6,H10,HA;H8,H5,H4,HJ;H7,HQ,H9,D5;H2,CJ,DA,H3"
1569980764,0,0,0,"CA,C10,C4,C2;D10,D4,D8,DQ;SQ,S5,S10,S9;C9,S7,CQ,C7;C3,C5,DJ,C6;S3,S4,S2,S6;SA,DK,SJ,S8;SK,D9,D3,CK;HA,H3,H5,H7;HJ,D7,H10,H9;H6,D2,HK,HQ;H2,CJ,H4,C8;H8,D6,D5,DA"
1569980764,0,4,0,"C10,C3,CK,C2;D10,DJ,D9,DA;C6,CA,C7,D5;S8,SQ,S9,S4;SA,SK,S6,S7;SJ,C4,S10,D7;S5,C9,D6,CJ;DK,C5,D4,CQ;S2,HJ,H9,HA;HQ,H5,H2,H7;S3,H10,D2,HK;D3,H6,D8,H8;DQ,H4,C8,H3"
1569980764,0,4,0,"C9,CA,CK,C2;S6,S8,S5,SA;D6,D4,D7,DK;SJ,S2,S9,S7;C3,CJ,C10,C8;DA,D9,D8,D10;D3,C4,DQ,D2;C6,C5,C7,CQ;SK,S3,SQ,H6;H5,HQ,H10,H8;HK,HJ,HA,H3;H9,H2,D5,H7;H4,S10,S4,DJ"
1569980764,0,9,0,"CJ,C4,C3,C2;S4,S5,S9,S2;DJ,DK,DA,C5;D4,D10,D8,SQ;D7,D5,DQ,C8;S6,SA,S7,S10;SK,D3,S3,S8;D9,CK,C10,D6;D2,C9,CA,CQ;HQ,HJ,H2,H7;H6,H5,H10,HA;HK,C7,H8,H9;SJ,C6,H3,H4"
