1569980768,0,10,0,"CQ,C9,C5,C2;S3,SA,SQ,SJ;S6,S4,S2,SK;D5,D4,D10,D3;CJ,C8,C4,C6;C7,CK,DA,DK;DQ,DJ,D7,D8;C10,S9,CA,D6;S5,D2,S10,S7;HJ,HA,H8,H10;HK,H2,H7,H3;C3,H6,S8,H9;H5,H4,D9,HQ"
1569980768,0,2,0,"C6,CA,CQ,C2;D2,D6,DA,DQ;C7,CK,CJ,C8;SQ,SJ,S2,SA;D9,D8,DJ,D4;C9,D10,C5,S5;C4,S8,C3,D7;S6,SK,S7,D3;S4,S9,HJ,H9;H8,H2,H3,HA;H7,H5,H4,DK;HQ,H10,S10,S3;HK,H6,C10,D5"
1569980768,0,0,0,"CQ,C5,C7,C2;D10,D7,D8,D2;DJ,D9,DQ,S7;SA,S4,S3,S9;SJ,SQ,S10,S2;C3,C4,C6,CA;SK,S8,S6,S5;D5,CK,DA,C9;D4,C8,D3,H2;HJ,H4,H10,H6;HA,H7,HK,H9;HQ,H8,DK,H3;CJ,C10,D6,H5"
1569980768,0,0,0,"C6,C8,C10,C2;SA,S6,DJ,S10;D3,D9,D10,DK;CA,C4,C9,C5;S3,SK,D7,SJ;C3,C7,CQ,CK;D8,D5,DA,S8;SQ,CJ,S9,S5;S7,D2,S4,DQ;S2,H2,H5,H4;HJ,H9,HK,H8;H3,HQ,HA,H7;D6,D4,H6,H10"
1569980768,0,16,0,"C8,C3,C9,C2;S4,S5,SQ,S2;S3,S6,CK,S10;DQ,D8,D9,D6;DA,D3,DJ,D2;S8,C7,S9,SJ;SA,DK,SK,D7;D5,D4,CQ,D10;HA,HJ,H3,H6;HQ,H5,H10,H2;H4,C5,H8,HK;C6,C4,CJ,H9;CA,C10,S7,H7"
1569980768,0,4,0,"C10,C5,C4,C2;D10,D2,DK,D9;CK,CQ,C7,S5;DJ,D5,S2,DQ;S3,S4,SJ,D4;D7,SA,D8,S6;DA,S9,SK,CA;D3,S10,H7,H8;H3,HJ,HA,HK;H5,CJ,H4,HQ;C9,C3,H10,C8;S8,SQ,H9,H2;C6,H6,S7,D6"
1569980768,0,10,0,"C6,CK,C4,C2;S8,S5,S3,S6;C9,D6,C5,SK;DK,DJ,D5,D3;SJ,SA,DQ,S9;S4,CQ,D4,S10;C8,CJ,D2,S2;C3,D8,D10,C10;HJ,H6,H2,H8;H9,H3,H5,H4;HA,HK,S7,CA;H10,HQ,D9,DA;D7,SQ,C7,H7"
1569980768,0,1,0,"C6,C7,C3,C2;DK,D7,DJ,DQ;D5,D2,D9,D4;CJ,CQ,C8,CA;D8,C5,S7,D3;S5,S9,S4,SJ;C10,H5,CK,C9;H7,H6,H8,H10;HK,HJ,C4,H2;D6,H9,S2,HQ;SK,H3,SQ,S6;DA,H4,S8,SA;D10,HA,S3,S10"
1569980768,0,13,0,"C7,CA,CJ,C2;S10,S9,SJ,S5;C9,CQ,C10,CK;D8,D10,D9,D3;S8,S4,SK,SQ;C8,C5,DJ,DK;DQ,D5,D4,S6;C4,C3,D6,S3;SA,S2,D7,S7;H4,HQ,HA,H8;H7,HK,HJ,H3;DA,D2,H2,H6;C6,H5,H9,H10"
1569980768,0,20,0,"C9,C10,C8,C2;S10,S9,S8,S5;CA,CQ,C4,C3;CJ,CK,S2,C5;SQ,DA,SJ,S3;D2,D5,D3,DK;C6,D9,D7,DQ;D8,D4,D6,DJ;SK,H8,HJ,SA;HQ,H9,HA,H2;H5,H3,S6,HK;D10,H4,S4,H6;S7,H10,C7,H7"
1569980768,0,4,0,"C3,C10,CQ,C2;D8,D6,DJ,D5;S3,SK,S7,SQ;S10,S8,SJ,S2;D9,D7,D10,S9;SA,C6,D2,S5;C4,CA,C7,C5;DK,D4,DQ,S4;D3,H10,DA,CJ;H7,H4,HQ,H3;H6,H9,HJ,C8;HK,H5,HA,S6;H2,H8,C9,CK"
1569980768,0,13,0,"C5,C7,C10,C2;D6,DQ,D7,DK;S2,SJ,S5,SA;D3,D4,DA,DJ;S10,S7,D9,SK;S9,S8,D10,SQ;C6,C8,C3,CA;C9,CJ,C4,CK;S4,S3,D2,D8;CQ,D5,H2,H5;H3,H7,HA,HQ;H6,H10,H9,HK;S6,H4,H8,HJ"
1569980768,0,18,0,"C8,CQ,CK,C2;S5,C3,S7,SQ;D9,D5,D8,DK;SA,S10,C4,SK;SJ,S6,D10,CA;S2,D7,C9,C10;S3,C6,D6,C7;S8,D3,CJ,DJ;S9,H9,C5,HQ;S4,H5,H2,HJ;D4,H6,H7,DA;H10,H3,HA,D2;H4,H8,DQ,HK"
