1569980779,0,13,3,"C10,C9,CA,C2;C6,C5,CJ,DQ;DA,D7,D9,DK;S4,SJ,S2,SK;C8,C7,S5,C3;CQ,C4,SQ,CK;S10,S3,S6,S9;D4,D10,D8,D3;D6,DJ,SA,D5;HA,HJ,HQ,H2;H5,H9,H3,H6;H10,S8,H7,HK;S7,D2,H8,H4"
1569980779,0,4,3,"C3,C5,C7,C2;DJ,DK,D2,DA;S9,S7,SQ,S6;CA,C4,C9,CJ;CQ,C6,S10,C8;D7,D3,DQ,D9;D10,D4,S3,D6;SK,S8,CK,S4;D8,SJ,C10,D5;H7,H6,H10,H2;H9,H4,H8,HA;S2,SA,HJ,HQ;H5,H3,HK,S5"
1569980779,0,0,3,"C6,C3,C8,C2;S5,S3,S10,S9;D6,DA,D7,DQ;C4,C7,CQ,C5;SQ,S7,SK,S4;D3,D8,D2,D4;CJ,C10,S2,S6;CA,C9,SJ,SA;H6,H7,H3,H2;D10,HQ,DJ,D5;HJ,DK,H4,HK;H5,S8,HA,H9;D9,CK,H8,H10"
1569980779,0,23,3,"C3,C8,C6,C2;D10,D6,DQ,D8;C10,C7,CK,CQ;SJ,S2,S6,S10;S8,S3,S5,SK;D2,D5,D7,DK;SQ,S7,S4,DA;SA,D4,C4,DJ;C5,CA,CJ,HQ;H3,H6,HJ,H5;S9,HK,H2,H10;C9,H9,H4,H7;D3,D9,HA,H8"
1569980779,0,0,3,"CK,CJ,C7,C2;S6,S10,S2,SQ;CA,CQ,C9,D6;S8,SK,S7,S3;D8,DK,D9,D10;D5,DQ,D3,D4;SJ,C5,S5,SA;C6,C3,D2,D7;C10,C4,H5,H9;HQ,H8,H3,H2;H10,HJ,H6,HA;S9,S4,HK,C8;H4,DJ,H7,DA"
1569980779,0,7,3,"CQ,C8,CA,C2;S8,S10,SA,S6;D5,DA,DJ,D8;D2,DK,D4,DQ;C7,C5,C4,C6;D6,D9,D10,S7;SJ,SK,S5,S4;D3,C9,C10,D7;S9,H2,S2,S3;H6,H3,HQ,HA;HJ,H5,C3,H9;H4,H7,CK,H8;CJ,H10,SQ,HK"
1569980779,0,19,3,"C8,C4,C10,C2;SK,S3,S9,SJ;S2,S7,S4,S8;D3,D5,D10,DK;C3,C5,CQ,CA;D6,D8,D4,D7;DA,S6,D9,D2;CJ,C7,C9,CK;SQ,HA,S5,DJ;H4,H10,H8,H9;H2,SA,H6,H3;HQ,C6,HK,H5;DQ,S10,H7,HJ"
1569980779,0,1,3,"C10,C7,C3,C2;SK,S7,S2,S9;S10,SQ,D3,SJ;D5,DA,DJ,D8;D9,DK,D7,D4;S6,SA,CA,S3;D10,DQ,S4,CJ;CK,C6,S5,C4;D6,D2,H6,CQ;H9,HK,HQ,HJ;H10,H8,H3,H2;C8,H5,H4,C5;S8,H7,HA,C9"
1569980779,0,4,3,"C10,CK,C4,C2;S3,S10,S2,S8;D7,D6,D10,D9;DA,DQ,D3,D8;SK,S9,SA,SJ;S5,CQ,S7,S6;D2,C6,DK,D4;SQ,C5,DJ,CJ;C8,C9,C3,H2;H9,HQ,H8,HK;H10,H3,HJ,H4;C7,H5,H7,CA;HA,S4,D5,H6"
1569980779,0,3,3,"CK,CQ,C9,C2;DJ,D4,D8,D6;D2,D9,S9,D10;S3,S5,S6,SK;D3,DK,CA,D5;DQ,C6,SJ,DA;C10,C3,C4,S7;C7,CJ,C8,S4;D7,SQ,S8,C5;H8,H5,H4,H2;HK,HQ,H6,H9;H3,S10,H10,H7;HJ,S2,HA,SA"
1569980779,0,7,3,"CA,CJ,C10,C2;C3,C4,CK,C7;D2,D4,DK,D10;S9,SQ,SK,SJ;D5,DA,D8,D7;S7,SA,S6,S2;S8,S3,S10,C9;DJ,D9,HQ,D3;HA,H5,H3,H2;H6,HK,H10,H7;C8,C5,H8,C6;CQ,H4,HJ,D6;S4,S5,H9,DQ"
1569980779,0,8,3,"C5,C3,CA,C2;C10,C9,SQ,C8;D6,D8,DA,D2;D3,D9,DQ,D10;SJ,S2,S4,S10;CK,S7,C7,D7;C4,DJ,CJ,S5;SK,S3,S9,SA;C6,D4,D5,CQ;H10,H2,H8,HQ;HK,H7,H6,HJ;H3,DK,HA,H9;S6,S8,H4,H5"
1569980779,0,2,3,"CK,C3,C9,C2;D6,DJ,D9,D8;S2,S8,SQ,S4;C8,C10,C6,C5;DK,DQ,D10,D4;SA,S6,D7,S9;C7,CQ,DA,CA;S10,SJ,S7,D5;C4,CJ,H5,SK;HQ,H8,H3,HK;HJ,H9,H2,H10;H6,H7,D3,S5;H4,HA,D2,S3"
