1569980791,0,0,1,"C7,CA,C3,C2;S2,SK,S6,SA;D6,D9,DQ,D5;CJ,C10,C6,C8;S3,SJ,SQ,S10;S8,D4,S4,S9;CQ,C9,C4,CK;D2,D10,DA,D7;DJ,D8,C5,S7;D3,HQ,S5,H3;H8,HK,H6,HA;H7,H4,H5,H2;HJ,H10,H9,DK"
1569980791,0,17,1,"C10,C8,C5,C2;D8,DK,SA,D2;S7,SJ,S8,S5;C4,C3,C9,C7;D9,D10,CK,D5;S2,S3,S9,SQ;S4,S6,D6,SK;CJ,CQ,C6,DJ;CA,D4,D3,S10;H7,H6,HA,HK;H4,H8,H2,H10;H3,HJ,H5,HQ;H9,DQ,DA,D7"
1569980791,0,3,1,"C8,C5,CA,C2;DA,D7,DK,DJ;DQ,D6,D4,D8;C10,C3,SJ,CQ;SQ,S4,S7,S5;SA,S10,S3,S9;D3,D2,D9,D10;SK,C9,S2,H6;H8,H3,CK,H10;H4,HQ,C6,H2;H7,C7,HJ,HA;H5,CJ,C4,H9;S6,D5,S8,HK"
1569980791,0,4,1,"C8,C3,CJ,C2;SK,SQ,S10,SJ;S3,SA,S4,S5;DK,D8,D6,D10;D4,D2,C7,D5;S9,S8,C6,S6;S2,DQ,CQ,S7;D9,C5,CK,D3;D7,HQ,HA,H9;H6,H3,H2,H10;H5,H7,HK,H4;C4,C10,DJ,H8;CA,DA,HJ,C9"
1569980791,0,5,1,"C10,CJ,CQ,C2;DJ,D7,DA,DQ;S7,S8,S10,SK;D2,D5,D6,S6;C9,C8,C3,CK;S4,SQ,SA,S2;C5,D4,CA,C6;D10,D3,SJ,S9;DK,D8,C7,HK;H2,H6,H3,H10;HA,H8,H9,H4;H7,HJ,S5,HQ;D9,S3,C4,H5"
1569980791,0,0,1,"C8,C3,C10,C2;CQ,C9,C4,C5;D8,D4,DK,D3;S9,S8,SJ,S10;SQ,S2,S6,S4;S3,SK,D5,D2;D6,S5,DQ,D7;CJ,S7,CA,C7;DA,SA,C6,CK;D9,H7,H6,H10;H9,HJ,HA,H4;HQ,H3,DJ,H8;H5,HK,D10,H2"
1569980791,0,15,1,"C9,C4,C6,C2;SK,S8,S4,S7;D8,DK,DA,DJ;C5,C8,C7,D3;D9,CK,DQ,D2;SQ,S2,SJ,S6;D7,SA,D5,D4;S3,CQ,CJ,S9;D10,C3,D6,C10;S5,H4,S10,H9;HQ,H10,H8,HA;HJ,H5,H2,H7;HK,CA,H3,H6"
1569980791,0,16,1,"C6,C10,CQ,C2;D7,DA,D3,D9;S3,S10,S5,S8;C9,C5,D5,CA;C3,CK,C7,D8;D10,DK,DQ,D2;CJ,C8,S9,C4;SK,S4,S2,S7;D4,D6,H5,HJ;H6,H4,HK,H3;H7,H10,HQ,H2;DJ,H8,S6,H9;SQ,SJ,SA,HA"
1569980791,0,4,1,"CQ,C5,CA,C2;D10,D5,D4,DA;SK,SA,S6,S3;S9,S8,S7,C8;SQ,S5,S10,C9;C6,C7,CK,C4;D2,D8,D6,D9;H5,H2,HJ,H7;D7,D3,DK,HK;CJ,C3,HA,HQ;C10,S2,H9,DQ;H8,H6,H10,H4;H3,S4,SJ,DJ"
1569980791,0,0,1,"C10,CJ,CQ,C2;DJ,D4,D2,D7;S2,SJ,S10,S3;C8,C9,CA,C6;S8,SA,S6,S9;CK,C3,S4,C4;C7,DA,D9,C5;SK,S5,DQ,D5;DK,D10,H3,D8;H5,H10,H9,H6;HJ,SQ,H2,H4;HK,D3,H8,HQ;H7,S7,HA,D6"
1569980791,0,13,1,"CK,C8,C9,C2;C6,S10,C7,CA;D7,D6,DQ,D2;DK,D10,D8,C5;C10,S2,CQ,C3;D5,SQ,DJ,SK;D9,S3,C4,D3;S5,S6,SA,S9;HQ,H9,HJ,H5;H6,H8,D4,H3;HA,H2,SJ,H10;HK,H4,S8,DA;S7,H7,CJ,S4"
1569980791,0,15,1,"C7,C10,C6,C2;DJ,D2,D8,D3;D9,DQ,S3,D6;S4,S10,S5,S7;SQ,SJ,SA,SK;DA,D5,D10,C3;C5,CQ,S2,C8;CJ,H8,CA,C4;H7,H10,H4,HQ;H6,HJ,H5,HK;H2,S8,S9,HA;S6,D7,D4,H9;C9,DK,CK,H3"
1569980791,0,2,1,"C7,CK,CA,C2;D5,D9,D10,DJ;S9,S6,SK,SA;C10,CJ,C6,C4;D6,DQ,D7,D8;S3,S4,S5,SJ;C9,CQ,C5,S7;DK,D2,D4,S8;D3,C8,C3,SQ;DA,H6,H4,HQ;H7,HJ,HK,H10;H2,H8,HA,H9;H3,H5,S2,S10"
