1569980799,0,2,3,"C8,C10,C3,C2;SK,SJ,S2,S8;SQ,S5,S7,S6;SA,DK,S4,S10;DJ,D10,DQ,D7;CA,C6,C9,C4;D4,DA,D5,D3;D6,D9,D2,C7;CK,CQ,C5,HA;CJ,HK,H8,H6;HQ,H4,H3,H2;H10,H9,D8,H7;H5,S9,S3,HJ"
1569980799,0,15,3,"C5,C6,CK,C2;SJ,S8,SK,S7;D9,DJ,D5,DQ;SA,S2,S3,S4;S6,C8,SQ,S10;D7,D3,DA,DK;S5,CJ,D8,CA;S9,D2,CQ,D4;C4,C3,D6,C10;D10,H9,H8,HQ;H7,HK,H6,H10;H3,H5,H2,H4;HJ,HA,C7,C9"
1569980799,0,0,3,"C4,C7,C10,C2;SK,S4,S3,S6;D2,D3,DJ,DA;S2,S7,S8,SJ;S10,S5,SA,SQ;D4,D8,DK,D6;CK,CQ,CJ,C5;D7,C8,D10,D9;C3,C9,C6,DQ;CA,S9,H2,D5;H7,H4,HJ,H8;H5,HQ,HK,H6;H9,HA,H3,H10"
1569980799,0,0,3,"CQ,C8,C3,C2;DA,D10,D5,D3;S9,S8,S7,S3;S6,S10,S5,SK;C9,C10,C5,CJ;D2,D8,DQ,D4;S2,SQ,S4,C6;C7,CK,CA,D9;D6,DJ,DK,SJ;C4,H10,SA,HQ;H3,H4,H8,H5;HJ,HA,H9,H6;H2,D7,HK,H7"
1569980799,0,11,3,"C6,C5,C8,C2;S2,S6,SQ,S5;D8,DK,D7,DA;SJ,S7,S9,S4;C9,CA,DQ,CK;D9,D6,CJ,DJ;CQ,D10,C7,C4;H4,H5,H3,HJ;HK,D5,H9,H2;D4,D3,H6,H8;D2,S8,C10,HA;C3,S3,S10,HQ;SK,SA,H7,H10"
1569980799,0,0,3,"C6,C5,CJ,C2;S8,S3,S10,SA;DQ,D7,DA,D2;S9,S5,SJ,S2;DK,D10,D8,D3;D5,D6,D4,SK;C8,CK,C4,C9;DJ,SQ,S4,S6;D9,H10,H4,HQ;H9,CA,HA,H3;HJ,C3,H5,H8;H7,C7,H2,HK;H6,C10,CQ,S7"
1569980799,0,7,3,"C9,CA,C7,C2;CQ,CJ,C10,C5;SQ,S7,S6,SJ;SA,S4,SK,S5;D8,D9,D5,D3;C6,C4,C8,D7;DJ,D10,DQ,DK;S8,S2,S3,S10;CK,C3,D6,S9;H8,H9,HJ,H4;DA,D4,H7,H6;H3,H5,HA,H10;HK,D2,HQ,H2"
1569980799,0,4,3,"CQ,C10,C5,C2;S3,S7,S10,SA;C3,C7,C6,C4;D5,D7,DQ,D9;D2,D4,D3,SK;S2,DA,S9,SJ;CK,C8,CJ,CA;D6,S4,D10,D8;H2,HA,H9,H3;H7,H10,HK,HQ;H5,H4,H8,DK;SQ,HJ,S8,S5;C9,H6,S6,DJ"
1569980799,0,9,3,"C4,CQ,C5,C2;DA,D2,DQ,D6;SK,SQ,S4,S3;C6,S2,C7,C9;D7,DK,D5,CK;S9,S7,S6,S10;CA,C3,C10,D3;C8,CJ,D4,D9;SJ,S5,SA,D8;H10,HJ,H8,HK;H7,HQ,H2,H9;DJ,D10,HA,H5;H6,H4,H3,S8"
1569980799,0,0,3,"C8,C5,C3,C2;S6,SK,S7,S2;D9,DK,DQ,D4;D8,D3,D10,C9;C10,S9,CK,CA;S8,SJ,S4,S10;D6,DA,D2,S5;CQ,SA,CJ,D7;DJ,D5,C4,HJ;HK,H9,H2,H8;H6,H4,HA,H3;H10,SQ,H5,HQ;H7,S3,C6,C7"
1569980799,0,0,3,"C3,C10,C9,C2;S10,SA,S4,S6;D4,DK,D9,D2;CA,C5,S9,C7;S5,SJ,S7,S3;D3,D10,D6,DQ;CK,C6,S2,CQ;SK,S8,DA,SQ;C4,H7,HQ,C8;HJ,HK,H9,HA;H2,DJ,H3,H6;D5,D7,H10,H8;D8,CJ,H5,H4"
1569980799,0,0,3,"C4,C10,C8,C2;S8,S7,S6,SJ;D4,DK,D3,D5;DA,D8,D7,D2;CQ,C6,CA,C9;SQ,S4,SA,S5;DQ,SK,D9,DJ;D6,C5,S3,S2;D10,S10,C7,C3;HA,H3,H10,H2;H5,H4,H8,HJ;H7,CJ,HQ,H6;H9,CK,S9,HK"
