1569980818,0,3,0,"C3,C6,C7,C2;D7,D8,DQ,D2;S4,S5,SK,SA;CJ,C10,CK,SJ;D6,D5,D10,D9;C8,CA,S9,SQ;CQ,DA,DJ,C4;D3,S6,DK,C9;H4,HQ,HK,H2;H3,S10,HJ,H9;H7,C5,H10,HA;S7,S8,H8,S2;D4,H5,S3,H6"
1569980818,0,0,0,"C3,C4,C10,C2;C5,C9,D5,CK;D8,D4,D9,DJ;CJ,C6,S7,CQ;D3,DQ,DA,DK;D10,S2,SA,D2;D7,SQ,S9,D6;S5,SK,S6,S10;S4,SJ,H6,S3;C8,HA,HQ,C7;H3,H2,HK,H8;H7,H9,HJ,H10;CA,H4,H5,S8"
1569980818,0,0,0,"CJ,C8,CQ,C2;D10,D5,D8,D4;D2,D7,D9,DJ;CK,SJ,C9,CA;D3,D6,DA,DQ;S4,S3,SA,S8;DK,C5,C10,SK;SQ,S5,C4,S6;S10,C3,H6,S7;H7,HK,H8,H9;C7,H3,H2,H5;C6,HJ,S2,H10;HA,HQ,S9,H4"
1569980818,0,7,0,"CQ,C9,C4,C2;S9,S3,S10,SQ;D5,D9,D10,D6;DA,DJ,DK,D2;C10,SJ,C6,C5;DQ,D8,D7,S8;CK,D3,C7,S7;S4,S6,CJ,S5;HK,HJ,H4,HQ;H2,H5,H3,H9;SA,S2,H6,H8;H7,CA,C3,H10;HA,C8,D4,SK"
1569980818,0,3,0,"C8,CQ,C6,C2;DJ,DA,D3,D7;D9,D8,D5,D4;SK,S4,S6,C10;S2,S8,S5,C5;SQ,S9,DQ,S3;CA,C4,C7,CK;S7,D6,C3,S10;SA,DK,SJ,D2;H3,HK,H5,HJ;H2,C9,HQ,H8;H4,D10,H6,HA;H7,CJ,H10,H9"
1569980818,0,0,0,"C3,CA,C4,C2;C6,C5,C9,C10;SK,S5,S4,S10;DA,D7,D10,D9;D3,D8,DK,D5;CJ,DQ,SQ,CK;S6,S9,SA,S7;DJ,D4,C7,CQ;D2,S8,C8,S2;D6,HQ,HK,S3;H8,H7,HJ,HA;H5,H10,H4,H6;SJ,H2,H9,H3"
1569980818,0,2,0,"C5,C10,CJ,C2;DK,D8,D6,D3;CK,C4,DA,CQ;D4,D7,D2,DQ;SQ,S8,S3,S2;S10,S7,SK,S9;S6,SA,S4,S5;C3,C6,HJ,D10;H9,H7,H6,HQ;D9,H2,C7,HK;H5,H8,H4,H3;C8,DJ,C9,H10;CA,SJ,D5,HA"
1569980818,0,16,0,"CK,C6,C10,C2;C5,C3,C9,CQ;S2,S6,S8,S5;D7,DQ,D10,D5;C7,CJ,S9,C8;S10,S3,S7,SK;C4,SQ,CA,D2;DJ,DA,D3,D8;D9,S4,SA,D6;D4,HQ,HJ,DK;HA,H3,H9,H7;H6,H2,HK,H4;H8,H10,H5,SJ"
1569980818,0,14,0,"C10,C9,CK,C2;D4,DQ,DA,D8;C8,CA,C7,C6;S9,S3,SK,SA;DK,DJ,D10,S4;C5,C4,C3,CQ;S8,S6,S2,SJ;D2,D9,D5,CJ;SQ,D3,H9,S5;H5,H3,H10,H8;HA,HJ,HK,H4;H6,HQ,S7,H7;D7,D6,H2,S10"
1569980818,0,16,0,"CJ,CQ,C5,C2;S10,S9,S3,S4;SQ,SK,C4,S7;DJ,D10,D3,D8;D5,CK,DA,D7;C7,HQ,C8,CA;H8,H7,H5,D2;HJ,SJ,H2,S8;H6,C9,H3,D6;SA,C6,H9,S6;S2,DQ,H4,S5;C10,C3,HA,H10;D4,DK,HK,D9"
1569980818,0,22,0,"CA,CJ,CK,C2;D10,D2,DQ,D5;DJ,DK,D9,DA;S3,S9,SQ,SJ;S8,S4,S5,SK;CQ,C8,C7,C6;C5,C9,D8,C10;S6,C4,S7,S2;S10,SA,HJ,H10;H8,H2,H6,H3;C3,H4,D4,H7;D7,HQ,D3,D6;H5,HA,H9,HK"
1569980818,0,17,0,"C3,C5,C7,C2;D7,D9,D3,D8;CQ,CK,CA,C10;S5,S6,S7,S2;C6,S3,C9,C8;DK,D2,D6,D4;D5,D10,DA,S4;S9,SK,CJ,SA;DQ,SJ,H6,S10;H10,HQ,HA,H3;H5,H2,H8,H7;H9,S8,HJ,HK;C4,SQ,H4,DJ"
