1569980821,0,0,1,"C6,C7,C10,C2;SJ,SQ,S4,S10;CQ,C9,CJ,C8;D5,D4,D7,DK;S7,S9,S6,SK;D8,CK,DQ,D10;D2,C4,D9,D6;DA,HK,H10,C3;H9,H7,HJ,H8;HA,CA,H4,HQ;H3,S5,H2,C5;H5,S8,D3,S2;H6,SA,DJ,S3"
1569980821,0,17,1,"CK,C7,C4,C2;D9,D5,D7,S6;DQ,D3,D8,CQ;D4,DA,D6,CJ;S3,S8,SJ,S5;SA,SQ,C3,SK;C5,CA,C10,C9;D10,S2,DK,S9;DJ,S10,D2,C8;HJ,HK,HQ,H3;H8,H5,H7,HA;H10,H6,H2,H9;S7,H4,S4,C6"
1569980821,0,0,1,"C10,C8,C7,C2;S8,S6,S2,S4;D5,D10,D3,DA;C9,CK,DQ,CA;S7,SA,S10,S5;DJ,D7,D2,DK;C6,D9,C5,D8;CQ,SJ,CJ,S3;S9,H5,D4,SQ;HQ,H2,H4,H6;H9,H3,HK,HA;H10,H8,D6,HJ;SK,H7,C4,C3"
1569980821,0,0,1,"C3,CQ,CA,C2;D6,DA,D7,DQ;SQ,S10,S8,S3;C9,C6,CK,D3;S5,S7,S6,S2;SK,SJ,S4,SA;C8,C5,S9,C4;D10,DJ,D2,D4;CJ,C10,H7,C7;HK,H4,H10,H9;HA,H8,H2,HJ;H5,D8,H3,D5;H6,DK,HQ,D9"
1569980821,0,3,1,"CA,C3,C7,C2;SJ,S8,SQ,S3;C6,C9,CK,CJ;D7,D3,DJ,D6;D4,DQ,D10,D5;CQ,C5,SK,C10;C8,S6,S2,C4;D8,D9,D2,DK;S7,S9,S10,S4;H9,HK,H10,H5;H8,HJ,H3,HQ;H6,S5,H4,HA;H2,SA,H7,DA"
1569980821,0,0,1,"C5,CQ,C6,C2;CK,C4,C10,CA;S8,SQ,S9,S5;C9,S10,C3,SJ;CJ,D2,DK,DA;D5,D8,D4,DQ;D3,S6,D7,C8;SA,SK,S3,S7;D6,S4,D9,S2;HQ,H5,H10,H9;HJ,H4,H6,H7;HA,HK,H2,D10;H8,H3,C7,DJ"
1569980821,0,15,1,"CA,C4,C7,C2;D9,D6,D7,D10;C5,S2,C3,C8;S4,S5,S9,SK;D8,CJ,D4,D2;D5,C10,DQ,S7;SA,DJ,S3,S8;SJ,DA,HK,SQ;H7,HJ,H3,HQ;S6,D3,H10,H5;H2,HA,H4,CQ;DK,H8,H6,C9;C6,H9,S10,CK"
1569980821,0,4,1,"C4,C5,C7,C2;DJ,D6,D7,D10;D2,D9,S9,D3;C6,C9,C10,CJ;DA,SK,DQ,D5;D4,CQ,D8,DK;S8,S5,S4,SA;SQ,S2,S10,S6;HQ,H4,HA,H10;H8,H6,H5,HK;S7,SJ,H9,S3;C3,HJ,CA,CK;H2,C8,H7,H3"
1569980821,0,0,1,"CA,C10,C9,C2;S7,S8,S3,S5;DA,D4,DJ,D6;D7,D5,D2,DK;SA,SJ,S2,SK;S9,S4,C6,S10;D10,C5,C8,DQ;CK,C3,HK,C4;H9,H5,H6,H8;H2,H10,H7,H3;D9,HA,CQ,D3;S6,H4,CJ,C7;SQ,HJ,HQ,D8"
1569980821,0,4,1,"C8,C4,C9,C2;SJ,SA,S10,SK;D4,D10,D2,D3;S5,S7,S2,S4;C10,C6,C7,CK;SQ,C3,S8,DJ;DA,CA,D7,D6;DK,HQ,C5,D9;H8,H4,H6,HA;H2,H9,H5,H3;H10,CQ,D5,HJ;DQ,CJ,H7,S9;D8,S6,HK,S3"
1569980821,0,13,1,"CQ,C3,C9,C2;S6,S2,S8,S3;D10,DA,DJ,D9;S9,SA,S4,S10;D2,D7,D6,CJ;DQ,D8,D5,CK;D3,C4,SK,C7;DK,C6,SQ,C5;C8,H7,C10,H3;S5,HQ,HK,S7;H8,H6,HA,H10;HJ,H4,H5,CA;H9,D4,H2,SJ"
1569980821,0,0,1,"C6,C10,C4,C2;CQ,CJ,C9,C8;DA,D7,D5,D2;DK,D9,DJ,D8;S9,S5,SJ,S8;CK,C3,SQ,C5;D4,D10,D3,S4;S7,SK,S6,S10;S2,DQ,SA,S3;D6,CA,HA,HK;HJ,H2,H6,H3;H4,H9,H8,H5;HQ,H7,H10,C7"
1569980821,0,0,1,"C7,CQ,C4,C2;DK,D2,D8,DJ;D7,D6,D10,D4;CJ,C5,CK,CA;SK,SA,S7,S3;S5,S4,S6,S2;C8,C9,C3,C6;S10,SJ,S8,D3;DA,D5,DQ,D9;H5,H9,H2,HQ;H4,H6,HK,HA;HJ,S9,H10,H7;H8,SQ,H3,C10"
1569980821,0,3,1,"C3,CK,CJ,C2;D4,D2,D9,D8;S6,C8,S3,S4;DK,C7,D10,D6;S2,C9,S7,S8;DJ,D5,C10,D7;C6,D3,CA,DA;C4,S9,S10,C5;SA,SJ,HJ,H3;SK,S5,H7,H5;SQ,H10,HQ,HA;CQ,H9,HK,H2;H4,DQ,H8,H6"
