1569980825,0,0,0,"C7,CK,C8,C2;S8,S4,S6,C3;D4,D2,DK,DA;CJ,SA,C5,CA;S3,SK,SJ,C10;D7,D9,D10,DQ;S5,S2,C6,S7;D8,D6,H6,D5;HJ,H10,H5,H2;HA,H8,H3,S9;HK,C9,HQ,S10;H4,CQ,H9,C4;H7,D3,SQ,DJ"
1569980825,0,13,0,"CJ,CQ,C4,C2;S7,SQ,SK,S8;S4,S6,S5,S2;D6,DK,D7,D2;D5,D8,S3,DA;SA,S9,D3,S10;C9,C3,CK,C10;DJ,D10,DQ,C8;CA,D9,C7,C6;D4,HQ,HK,H5;H2,H6,H10,H4;SJ,H9,HJ,H8;C5,H3,HA,H7"
1569980825,0,13,0,"C7,CQ,C4,C2;DJ,D2,D7,D8;D6,SA,D4,D9;S6,S8,S5,S9;DA,SQ,DK,DQ;CJ,S4,CA,S7;CK,S3,C10,SK;C6,H2,C5,H10;H5,H7,H6,H4;HA,H8,HQ,SJ;HJ,H3,D5,D10;HK,C3,C9,D3;H9,C8,S2,S10"
1569980825,0,4,0,"C10,C4,C3,C2;DK,D10,D4,DA;CK,CA,CJ,C9;S3,S5,SQ,SK;S6,DQ,SJ,S8;D3,D7,D5,D2;C6,C5,S2,CQ;S4,C8,D8,S7;D9,HQ,D6,C7;S10,H3,H2,SA;H5,H10,H9,HK;H7,HJ,H4,H6;H8,DJ,S9,HA"
1569980825,0,3,0,"C10,CJ,CQ,C2;D4,D6,D7,D5;SJ,S9,S4,S2;S8,SQ,S10,DA;S3,C8,D2,S7;C7,C6,C3,C5;CA,D8,C4,C9;SA,DK,S5,D3;HJ,HQ,S6,H10;H5,DJ,HK,H4;H3,DQ,H9,H2;H7,SK,CK,H8;HA,D10,H6,D9"
1569980825,0,4,0,"CJ,C6,CQ,C2;S6,S2,SA,SJ;D5,D3,D9,D10;DJ,D4,C7,DA;S9,SK,S5,S8;C8,CK,S3,CA;SQ,C9,D6,S10;D7,DK,H4,H6;H2,HK,H9,HJ;HA,DQ,HQ,H3;H5,C5,C3,H7;C4,H10,S7,D8;C10,H8,S4,D2"
1569980825,0,16,0,"C7,CK,CQ,C2;D3,D10,D8,DJ;SQ,S8,S4,SK;D6,D7,DA,D9;C4,C10,C5,C9;S2,S5,S7,S6;D5,C6,D2,DK;C3,CA,D4,C8;SJ,SA,CJ,S9;DQ,H2,H6,H10;H5,H7,H3,HQ;S3,HA,H9,H4;S10,HJ,HK,H8"
1569980825,0,15,0,"C10,C9,CK,C2;D2,D10,D5,D4;C4,S3,C6,C5;DQ,D7,DJ,D3;S6,SQ,SK,S8;C3,S9,C8,CQ;S10,S7,SA,SJ;CJ,S2,C7,S4;CA,D8,D9,S5;DK,H3,H10,D6;H7,HJ,HQ,H6;HK,H8,H4,H2;HA,H5,DA,H9"
1569980825,0,5,0,"C5,CK,C7,C2;SQ,S4,S9,S6;D4,D8,D6,D10;C10,C9,C6,C8;CJ,C3,C4,CA;D3,D2,D9,D7;SK,S5,S7,SJ;S8,DQ,SA,DA;DJ,DK,D5,S10;H9,H4,H7,H5;HJ,HQ,H3,H2;HK,CQ,H8,HA;S3,S2,H10,H6"
1569980825,0,4,0,"CA,CK,C8,C2;S4,S10,S6,S9;D7,DK,D5,D2;S3,CJ,SK,S5;DA,D10,D8,D6;CQ,C3,C5,C9;SA,C7,SQ,S2;D3,DJ,D4,S8;H9,H6,HK,HA;C10,C6,HQ,H2;SJ,D9,S7,H4;H7,H10,H8,HJ;H3,C4,DQ,H5"
1569980825,0,18,0,"CK,S6,CJ,C2;DA,D9,DJ,D4;S10,S3,SJ,S9;S8,CQ,S7,SK;CA,SA,C9,C6;C10,S4,C7,C3;C5,H6,C4,S5;H7,H8,HJ,HQ;HA,D7,H2,H3;DQ,DK,H5,D10;D8,H4,D3,D2;D6,H10,HK,C8;D5,H9,SQ,S2"
1569980825,0,26,0,"C8,CQ,C10,C2;D3,DQ,D8,D2;D7,DA,SJ,DK;D10,C4,D5,D6;D4,S7,DJ,S10;C6,CA,C3,C5;S5,CK,SQ,S3;SK,CJ,SA,S4;S8,C7,S6,S9;H3,H6,HA,HJ;HK,H7,H10,H9;S2,D9,H8,H4;C9,HQ,H5,H2"
