1569982400,0,0,3,"CA,C4,C9,C2;S4,S10,SQ,SA;DJ,D5,DK,DQ;S7,SK,D9,S2;C3,S9,C6,CJ;SJ,S8,C10,C8;S3,D3,C5,CK;S5,D2,D4,D10;S6,HJ,CQ,H6;H3,H4,H10,HK;C7,HQ,D8,H8;D6,H5,DA,HA;H9,H7,D7,H2"
1569982400,0,13,3,"C9,C4,C8,C2;D10,D3,D5,DA;SK,S7,S8,S9;D8,D2,DK,D9;S6,SQ,S3,S4;SA,S2,C7,S10;DJ,C6,D7,S5;D6,C3,DQ,CK;CQ,H3,C5,CJ;CA,H8,C10,HJ;H10,H4,H2,H6;D4,HA,HK,H7;HQ,H9,SJ,H5"
1569982400,0,2,3,"CK,C6,CA,C2;DA,D9,D8,D6;D7,SA,DJ,DQ;S4,S5,S8,S3;SQ,SK,S6,D4;C9,C10,CQ,C3;SJ,S9,S7,D10;DK,C4,D2,C5;D3,HA,D5,H4;H8,H5,H6,HJ;HK,H7,H10,H2;HQ,H9,S10,C8;CJ,H3,S2,C7"
1569982400,0,5,3,"C7,CQ,C6,C2;CK,C9,C3,C10;C8,CJ,CA,DJ;SQ,S4,SA,S10;DK,D10,D7,D2;D9,DA,D8,D5;S9,S5,S7,S3;S8,SK,D6,SJ;C5,C4,D4,DQ;H3,H8,H7,H9;H5,HJ,H6,H10;HK,H2,HA,D3;HQ,H4,S2,S6"
1569982400,0,4,3,"CJ,CQ,C4,C2;DQ,DK,S8,DJ;D6,S9,DA,D2;SJ,S5,S7,S4;CK,C3,C5,SQ;S3,S6,D9,S10;D8,SA,D4,D3;D10,CA,D7,D5;SK,S2,C7,C6;H3,H7,HK,HQ;H8,H5,HJ,H4;H10,C10,H9,HA;C8,C9,H2,H6"
1569982400,0,15,3,"CJ,CK,C10,C2;S10,SA,SK,S4;S5,S8,SQ,SJ;C5,C3,CQ,CA;D4,DK,D9,D6;D5,DA,DQ,D2;C4,C7,DJ,C8;S9,C9,S7,S6;S2,D3,C6,S3;D10,D7,HQ,H7;H6,H5,H8,H10;H9,HA,H2,H3;HK,HJ,H4,D8"
1569982400,0,0,3,"C8,C4,C3,C2;S3,S10,S8,SK;CQ,C10,C5,C6;C9,CK,D6,CA;DA,D2,D10,D3;D4,DQ,DK,D9;SQ,S2,S7,S5;S9,S6,SJ,D8;CJ,S4,HQ,DJ;HK,H6,H9,H10;HA,H8,H2,H4;C7,SA,H3,H5;D5,H7,HJ,D7"
1569982400,0,19,3,"C8,C9,C4,C2;C10,C6,CQ,C7;DK,DJ,D6,D7;SK,S8,S4,SQ;DA,CA,D10,D2;S6,S7,S5,SA;DQ,C3,D4,D9;D8,CJ,SJ,D3;C5,H5,CK,H4;S9,HJ,H2,S10;H9,H8,H7,H3;HQ,H6,HA,S3;D5,H10,S2,HK"
1569982400,0,2,3,"C9,CK,C4,C2;S8,S5,SQ,S9;D10,D8,DJ,DQ;CJ,C10,C3,CA;D3,D5,D2,D9;SK,S2,S10,DK;SJ,S4,S3,CQ;C5,S7,C6,D6;SA,S6,D4,C8;C7,H3,DA,HQ;H9,H6,HA,HK;H2,H10,HJ,H5;H8,H4,H7,D7"
1569982400,0,0,3,"C6,C3,CK,C2;C9,CJ,S6,C7;D3,D5,DJ,D9;S2,S4,S5,S3;CA,SJ,C10,C4;D4,DA,D7,DK;SA,S9,C8,S8;SQ,D8,H8,SK;HJ,H2,H10,H5;D2,DQ,HA,H7;D10,H9,CQ,HQ;D6,HK,H3,S10;C5,H4,H6,S7"
1569982400,0,2,3,"CK,CA,C8,C2;D7,DJ,D5,S2;DA,D3,C6,D8;SK,SA,S3,S7;C9,C10,S10,C3;SJ,S6,S8,S9;S5,CJ,SQ,S4;D4,D6,D2,C5;D9,DQ,C4,CQ;D10,DK,H5,H3;H2,H8,H9,H6;C7,HQ,H10,H7;HA,H4,HK,HJ"
1569982400,0,4,3,"C3,C8,C4,C2;D3,D8,D10,D7;S9,S5,S3,S10;CQ,CK,CA,S6;SA,C7,SQ,S8;D5,D2,DK,D9;S2,C5,SJ,S7;D6,C6,DQ,D4;CJ,C9,H5,H8;H6,HJ,H2,H7;HQ,H3,C10,HA;S4,HK,H4,SK;DJ,H9,H10,DA"
1569982400,0,12,3,"CA,C8,C9,C2;S8,S9,SQ,S5;DQ,DA,D10,D3;D9,D6,DJ,D5;C4,CJ,C10,C6;SA,SJ,S6,S10;H3,H9,HQ,H10;D8,D2,H4,D7;CQ,C7,H6,CK;S4,H8,SK,HA;HK,H2,H5,S7;C3,D4,HJ,S2;C5,DK,H7,S3"
