1569982416,0,3,1,"C4,C7,C6,C2;D7,D10,D3,D6;C9,C3,C8,CQ;S3,S4,S8,S6;S2,S10,S5,S9;D5,DQ,D8,DA;SA,S7,SQ,SK;CJ,C5,CK,CA;D2,DK,D9,DJ;D4,H6,H9,H2;H10,HA,H8,HJ;HK,H4,H5,HQ;H3,C10,H7,SJ"
1569982416,0,18,1,"CA,CJ,C6,C2;D3,D10,D5,D4;D6,D8,DJ,D7;DQ,D2,D9,C10;CK,C9,C8,CQ;C4,C7,C3,S4;S6,S9,SA,SQ;SJ,S3,S2,S7;DA,DK,S5,S8;SK,S10,H6,C5;H7,HK,HJ,H2;H10,HQ,H4,H5;H8,H9,HA,H3"
1569982416,0,21,1,"C4,C9,CK,C2;C3,CA,C7,C8;S4,S9,SJ,SA;CJ,C10,DA,C6;DK,D9,D7,D6;D2,D4,DJ,D10;S10,D8,S2,S3;S7,D5,SK,S8;C5,HA,CQ,S5;H8,HK,H6,H3;H9,HQ,H2,H7;HJ,H5,D3,S6;H10,H4,DQ,SQ"
1569982416,0,12,1,"C7,C6,C8,C2;SQ,S4,S3,S9;S6,SK,S2,S8;D3,D8,DJ,DK;CK,C10,CQ,C5;D2,D9,D4,D7;S5,S10,C3,SJ;D6,D5,DA,SA;C9,H3,CJ,C4;H2,H6,H5,HA;DQ,H8,H10,S7;D10,H4,H9,HJ;CA,HK,H7,HQ"
1569982416,0,0,1,"CJ,D5,CA,C2;S7,SK,S10,S2;DQ,D8,D6,D4;DA,DK,D7,SQ;C9,C6,S9,CQ;S6,C5,SJ,SA;DJ,CK,D10,D9;S3,S8,C3,S4;C10,C7,C8,H10;H6,H9,H2,H8;H3,HQ,H7,H4;H5,HK,D3,HJ;S5,C4,D2,HA"
1569982416,0,4,1,"C8,SK,CQ,C2;S4,S3,S6,S7;SJ,S10,SQ,S2;D8,D5,DA,D7;DK,D10,DQ,D3;D6,DJ,D2,D9;CA,S9,C4,CK;C10,S8,C3,C9;C6,HK,H6,CJ;H3,HA,H8,HQ;H4,D4,H10,H5;C7,S5,H2,H9;C5,SA,H7,HJ"
1569982416,0,0,1,"CA,C7,C4,C2;DK,D9,D7,D10;S7,S3,S4,S6;D5,D3,DJ,DQ;SK,S10,S5,S8;CK,C3,C9,C6;S2,D6,SJ,SQ;H7,H6,C10,HK;H5,HJ,C5,HA;H4,H2,S9,H10;DA,D8,D4,H8;CQ,D2,C8,H9;CJ,H3,SA,HQ"
1569982416,0,0,1,"C7,C8,C5,C2;S9,S5,SK,S6;DJ,D8,DA,D10;C6,C10,CK,CQ;D5,D7,D4,S4;S3,S2,DQ,S10;C4,C9,C3,CA;SJ,S8,S7,D9;SQ,H3,CJ,D2;HQ,HA,H7,H8;H4,H2,H9,HJ;H6,D6,H5,HK;H10,DK,D3,SA"
1569982416,0,0,1,"C8,CQ,C6,C2;D2,D9,DQ,D6;S10,SK,S7,S2;S4,SQ,S5,S9;D4,D10,D3,D8;C7,C3,CJ,C10;S3,S6,S8,SA;C4,CA,C9,C5;H5,H2,H3,H8;DK,H9,D7,HK;SJ,H4,DJ,H6;HQ,H7,D5,HJ;HA,CK,DA,H10"
1569982416,0,1,1,"C7,C10,CK,C2;DK,D8,D10,DA;SJ,S6,S5,S8;S2,C9,S3,S9;D9,D5,D2,D6;D4,DQ,C6,DJ;CJ,CQ,C8,C3;SQ,CA,D3,SA;S7,HA,C5,S10;H8,H7,HJ,HQ;D7,H10,H4,H9;H6,H3,H2,C4;HK,SK,H5,S4"
1569982416,0,22,1,"C10,C7,C5,C2;D2,D10,DA,D4;SK,S5,S4,S3;C3,CA,CJ,S8;S7,DJ,SA,S2;CK,C8,D7,C6;C9,H2,HA,C4;HK,H10,D9,HJ;H4,H3,S10,HQ;S9,H6,SJ,SQ;DQ,H9,D8,D3;CQ,H7,S6,H5;D5,H8,D6,DK"
1569982416,0,4,1,"C8,CJ,C10,C2;SK,SQ,S9,S4;S5,DQ,S8,S2;CA,C5,C3,C6;C4,C7,CQ,SJ;D3,D10,D4,D8;S7,S3,DJ,S6;SA,S10,D6,D2;H6,HQ,H3,HA;H5,H10,H7,H4;D5,DK,D9,H9;DA,CK,H2,HJ;D7,C9,HK,H8"
