1569982448,0,0,1,"C8,C5,CK,C2;C9,C6,S9,CJ;D5,D3,DK,D4;S5,SQ,S10,SK;DA,D6,DJ,S3;DQ,D8,D10,C4;D7,D2,D9,CQ;S6,S2,S8,SJ;C3,C10,CA,H2;S4,H6,H9,HJ;S7,H4,H8,H5;H7,HK,H3,HQ;C7,HA,SA,H10"
1569982448,0,3,1,"C9,CQ,C7,C2;D10,DQ,D2,DK;CJ,CK,C10,C8;S9,S8,S2,S4;D3,D7,C5,DJ;S7,S10,SQ,SK;CA,D8,D5,C6;C3,S6,D9,C4;D6,D4,H7,HK;H9,H10,H5,H8;S5,HQ,S3,SJ;H3,HJ,H6,DA;H2,HA,H4,SA"
1569982448,0,0,1,"C9,C4,C6,C2;C3,CQ,C5,CA;SA,S7,S3,SJ;CK,C10,CJ,C7;S9,S8,S2,D3;SK,S5,S6,DK;SQ,D2,DQ,D4;S4,D5,D7,DA;S10,D9,D8,H5;H3,H4,H6,HA;H8,DJ,H2,H7;HJ,D6,H9,HQ;H10,C8,D10,HK"
1569982448,0,0,1,"C8,CK,CA,C2;D4,D7,D5,DJ;DK,D3,D10,D2;S9,S3,SQ,S10;DQ,C10,D6,D9;D8,SK,S7,DA;CQ,CJ,C5,C9;S2,S8,SA,S5;C7,C4,SJ,S6;H2,HQ,H5,HA;H9,H3,H7,H10;H4,C6,HK,H6;S4,HJ,C3,H8"
1569982448,0,7,1,"C4,CK,C3,C2;S4,S2,SQ,SK;S5,S3,S10,S9;C9,CJ,C6,C10;DQ,D8,D9,D6;D5,DK,D4,DA;S7,SA,S8,SJ;C8,CQ,S6,CA;H4,HK,HA,H10;D10,D2,H5,D3;D7,C7,H8,H3;H2,H9,H6,HQ;H7,C5,HJ,DJ"
1569982448,0,0,1,"C3,C6,C5,C2;DK,D2,D6,SA;D8,D4,D7,S8;C10,CK,C7,CJ;S7,S6,S4,S2;D3,D10,S5,DJ;SK,S9,S10,SJ;C8,C9,H2,CA;H9,H3,H5,H4;DQ,D5,HK,DA;HJ,SQ,HA,HQ;H8,C4,H6,H10;S3,D9,CQ,H7"
1569982448,0,1,1,"CQ,C5,C9,C2;S5,SQ,SK,S7;D2,D6,DA,D10;DK,D9,D7,DQ;S6,CJ,SA,S2;C8,D3,CA,CK;D8,D4,C6,D5;S3,DJ,SJ,S4;C3,H10,C7,C10;H2,H5,H8,H9;HQ,HK,HJ,S8;HA,H6,S9,H3;H7,H4,C4,S10"
1569982448,0,4,1,"C8,CK,C9,C2;S4,S9,SQ,S7;D8,D7,D4,DJ;C4,C5,DA,C7;DK,D6,D3,D5;DQ,C6,D2,D9;CQ,C10,SA,S3;D10,C3,H3,S2;H6,H2,HK,H9;H5,HQ,HJ,H7;S10,S6,S8,H8;SK,SJ,S5,H10;CJ,H4,CA,HA"
1569982448,0,7,1,"C7,CJ,C9,C2;D8,D2,D5,D7;S4,SA,S2,SJ;S10,S6,S5,SQ;D9,DA,D3,D4;C8,C6,C5,C3;S8,DJ,SK,S9;DK,C4,D10,D6;CA,H5,CK,H8;H3,H10,HK,H2;HJ,HQ,H4,H9;HA,H6,C10,DQ;H7,S3,CQ,S7"
1569982448,0,13,1,"CQ,C7,D9,C2;SK,S4,S8,S6;D8,D2,DJ,D10;D7,D3,DK,D5;CK,C4,C10,DQ;C6,C8,CJ,S5;S10,S3,S7,SQ;D4,D6,HJ,DA;SJ,C3,H2,HA;S9,C5,H5,H3;SA,H8,H9,H6;S2,H4,H10,HQ;CA,C9,HK,H7"
1569982448,0,4,1,"C6,CQ,CA,C2;D5,D4,D10,D8;S5,SK,S10,S3;C5,C9,C3,C7;SA,CK,S6,S2;S4,D3,SJ,S9;DQ,D6,DJ,DA;SQ,D9,C10,S8;C4,H10,H5,C8;S7,HK,HJ,HQ;H2,H9,H6,H7;H3,HA,D7,D2;H8,CJ,DK,H4"
