1569982506,0,6,1,"C7,CK,C4,C2;D5,DA,S9,D4;SA,S6,S4,S10;C8,CA,C6,CJ;S2,S3,S5,SK;DK,D2,DJ,SJ;C9,C3,D9,CQ;C5,S8,DQ,C10;S7,D3,H8,H6;HJ,H7,H10,H4;HK,H3,HQ,HA;H5,D10,D8,H2;H9,D7,D6,SQ"
1569982506,0,0,1,"C10,CK,C7,C2;S3,S2,SQ,S8;D3,DA,D8,D6;DK,D5,DQ,DJ;D9,D2,S7,D7;S10,CQ,SJ,SK;C9,C4,C8,CA;S4,D10,S5,S9;S6,D4,SA,C3;CJ,H7,H2,C6;C5,H6,H10,H9;H8,HJ,HA,H3;HK,H4,HQ,H5"
1569982506,0,0,1,"CA,CK,C3,C2;DJ,D8,D9,D10;S8,S2,S7,S10;C6,C5,C9,CQ;S9,SJ,S4,SQ;DK,D6,D2,D4;DQ,C7,DA,D3;S6,S5,D7,CJ;SK,SA,HJ,H3;H10,H7,H6,H8;S3,H4,HA,H5;C10,C8,C4,H9;HK,H2,D5,HQ"
1569982506,0,18,1,"C3,C9,C4,C2;S9,SK,S10,SQ;D3,D9,DJ,DQ;D4,D2,D8,D7;CK,C5,CQ,CJ;C6,C10,S2,SJ;DA,D6,S4,D5;C8,S3,S7,S5;DK,H3,S6,D10;H5,HA,H6,H9;H8,HK,CA,HQ;H7,C7,H10,H4;H2,HJ,S8,SA"
1569982506,0,7,1,"C8,C9,C5,C2;D10,DK,D6,D5;SQ,S9,S6,S5;SJ,S7,D4,S2;DJ,D7,D2,D8;DQ,D9,D3,C10;S3,SK,CK,SA;CQ,C4,C6,C3;S4,C7,CA,S10;DA,HQ,H2,CJ;H3,HK,H6,HA;H7,H9,H8,H5;H10,H4,HJ,S8"
1569982506,0,0,1,"CK,C4,C3,C2;D3,DK,D4,D6;S10,S9,SK,S8;CQ,C9,C10,C7;DQ,D8,D5,D7;C6,D9,CA,S2;SJ,S5,S3,S7;C8,C5,D2,DA;CJ,SA,S4,D10;DJ,S6,HA,H3;HK,H10,H7,H2;H4,H6,H8,H5;HQ,SQ,HJ,H9"
1569982506,0,0,1,"C8,C9,CQ,C2;S5,CJ,S3,SA;D2,D6,D10,DK;SK,C10,SQ,S2;D5,D9,D8,D4;C3,C5,CA,C4;S7,DJ,S10,S9;CK,HK,C6,C7;H2,HQ,H10,H4;H3,D3,H9,HA;SJ,S6,D7,H8;S4,S8,H7,HJ;DQ,H5,DA,H6"
1569982506,0,13,1,"C3,C9,CQ,C2;DA,D2,DK,D8;SQ,SA,S4,S5;SJ,SK,C4,S7;D4,DQ,D10,D3;D6,D7,C10,S10;DJ,D5,CJ,S6;D9,C7,C5,S3;H8,HJ,HQ,H6;H4,HA,H2,HK;CK,H3,S8,C6;C8,H9,S9,H10;CA,H5,H7,S2"
1569982506,0,7,1,"C4,CQ,CA,C2;SA,SQ,S2,SK;DK,C8,D7,D8;CK,C5,CJ,C10;D4,C9,D10,D2;SJ,S7,S5,DJ;DA,D9,C6,DQ;S4,S10,S3,C7;S9,HJ,HA,S6;H2,H8,H10,H7;H6,H9,H3,D6;HK,HQ,H5,C3;H4,S8,D5,D3"
1569982506,0,0,1,"C8,C9,C6,C2;CA,C10,C7,CK;S9,S7,SJ,SA;DK,DQ,D8,D6;S4,S8,D2,S10;C5,D4,D3,CJ;S2,SQ,DA,C4;SK,S3,D10,D5;D7,DJ,H4,CQ;HJ,H10,HA,H9;HK,H8,H7,H3;H5,H2,S6,S5;HQ,H6,D9,C3"
1569982506,0,13,1,"C4,C5,CA,C2;D8,D2,D5,DQ;S4,SJ,DJ,SQ;C8,S7,C6,CJ;S8,S6,DA,CQ;S9,S3,DK,D6;S5,SA,C10,D9;D3,C9,D4,C7;S10,CK,HQ,HJ;D7,H4,H3,HK;S2,H8,H10,H5;D10,H6,H7,HA;SK,H9,H2,C3"
1569982506,0,3,1,"C5,C7,CK,C2;D6,DJ,D5,DQ;S10,S9,S5,S6;S2,S4,SQ,SK;C8,CJ,C3,C6;S8,SA,D8,SJ;D9,D2,DA,D10;D7,D4,DK,C9;C4,CQ,S3,S7;C10,HA,HQ,H5;H6,H2,HK,H3;H7,H9,D3,HJ;H8,H10,CA,H4"
