1569982550,0,13,1,"C9,CK,C4,C2;D6,D5,D10,DA;SQ,S4,S8,S9;D4,DQ,DJ,DK;D2,D3,D9,D8;CJ,CA,C10,CQ;SJ,C3,SA,SK;C8,C5,C7,D7;S2,S7,H3,S3;H9,HA,H8,HQ;HJ,H5,H2,HK;S5,S6,H4,S10;H6,H7,H10,C6"
1569982550,0,8,1,"C6,CK,C7,C2;SA,SQ,S2,S8;CA,C9,C3,C8;S3,S6,S7,S5;D2,D3,CQ,D6;DJ,S10,D8,DQ;D5,D4,S9,D9;S4,C10,SK,SJ;C5,C4,H7,D7;HA,H5,H6,H10;H2,H3,HQ,H8;HK,D10,H4,HJ;H9,DA,DK,CJ"
1569982550,0,0,1,"CQ,C5,C6,C2;SJ,SQ,S2,SA;D9,D7,DA,D3;CJ,C7,C4,C9;S4,S5,D8,S6;D6,DK,CA,D5;DJ,C10,DQ,D4;SK,C3,S3,S8;S7,H6,S9,S10;HA,H7,H5,H10;H9,HJ,H2,H4;H8,HK,HQ,CK;D10,D2,C8,H3"
1569982550,0,0,1,"C5,C4,C6,C2;S7,S8,SJ,SQ;DA,D5,DQ,DK;D6,D8,D10,DJ;S10,S4,S2,SA;D4,D9,C7,D3;C9,CK,C8,S5;SK,S9,D7,H9;HJ,H2,H3,H8;HQ,H7,D2,HK;H5,CJ,HA,C10;H6,H4,S6,CQ;C3,H10,S3,CA"
1569982550,0,22,1,"C8,S9,CK,C2;D8,D4,D5,DK;SJ,S3,SK,S6;C10,CA,C5,DA;S5,S4,S2,SA;D3,D6,D7,DQ;CJ,D2,DJ,CQ;C3,C7,S10,S8;D9,SQ,D10,C9;HK,H2,H10,H8;H5,HA,H9,HJ;H7,H4,HQ,H3;H6,S7,C6,C4"
1569982550,0,4,1,"C5,C8,C4,C2;S6,SA,S3,S10;S5,SK,D4,SQ;D5,DK,D9,D6;CJ,C10,CQ,CK;S8,C9,S2,D2;S7,C3,S9,D3;SJ,C7,S4,DA;DQ,H8,D7,D8;H9,H3,HQ,H10;D10,H7,DJ,H5;HJ,H4,C6,H6;HA,H2,CA,HK"
1569982550,0,4,1,"C3,C10,C6,C2;S5,SQ,S8,S6;C4,CK,C8,CA;D7,D5,D8,D2;D6,DA,C5,DQ;S4,SA,SK,S2;CJ,C7,CQ,S9;D4,D9,DJ,C9;S7,SJ,S3,S10;D3,DK,D10,H9;HJ,H4,H10,H5;H7,HA,HK,H3;H6,H8,H2,HQ"
1569982550,0,4,1,"C5,C6,CK,C2;S6,S4,SK,SJ;D5,D4,D3,D2;SA,SQ,S8,S10;D7,D6,DA,C10;CJ,C9,C7,C8;S9,S3,S5,S7;DK,D9,DJ,CA;H5,H3,H7,HK;H6,HQ,H10,H9;H8,C4,H2,HA;S2,CQ,H4,D8;C3,D10,HJ,DQ"
1569982550,0,0,1,"C7,C4,C3,C2;S2,SA,S4,S6;C5,C10,CJ,D3;CQ,C8,C9,SK;S8,SJ,S9,S10;D4,D8,D2,D7;DJ,DQ,D10,D6;S3,S7,SQ,D9;CK,C6,S5,H5;H3,H7,H9,H10;HA,HQ,HK,H2;H8,DA,CA,HJ;H4,DK,D5,H6"
1569982550,0,20,1,"C3,CJ,C8,C2;D7,DA,D3,D6;S2,S3,S5,SJ;CQ,C5,SK,CA;SQ,S4,S10,S6;DK,D5,DJ,D2;D4,DQ,D8,C6;C4,SA,C7,S7;C9,S8,S9,C10;CK,H4,D10,H2;H7,H6,HJ,H8;HQ,H9,H5,HA;H3,H10,HK,D9"
1569982550,0,1,1,"C3,C7,C6,C2;DQ,D7,D3,D9;D5,DA,DK,D10;S3,S4,S2,CJ;SK,S8,D6,S6;S7,CQ,D8,S5;C5,CA,H5,C10;H7,H6,HQ,D4;H8,HA,H4,SA;SJ,H10,S10,H2;CK,C9,C4,H3;S9,C8,D2,HJ;SQ,H9,DJ,HK"
1569982550,0,15,1,"CJ,CQ,CA,C2;D10,D9,D2,D4;DJ,D7,S9,D6;S10,S7,S6,S5;SK,S3,S4,SA;C10,CK,C4,C5;D8,D3,C8,DK;SQ,C6,DQ,S8;C3,D5,DA,C9;S2,HK,H10,SJ;H7,HA,H2,H8;HJ,H5,H3,HQ;C7,H4,H6,H9"
1569982550,0,0,1,"CJ,C5,C6,C2;DQ,D3,CQ,DA;D9,D4,C7,DK;S6,SJ,S10,S4;SK,SA,S5,S9;CA,CK,C8,C4;C3,C9,SQ,D5;DJ,C10,D8,D10;D7,S2,S3,D6;D2,S8,S7,HK;H10,HA,HJ,H4;H5,H9,H8,H2;H6,HQ,H3,H7"
