1569982556,0,4,3,"CJ,C5,CQ,C2;DK,D5,DQ,D9;C3,C4,C10,CA;S8,S9,S2,S5;S4,S6,SA,S3;D8,D4,D2,DA;S7,C6,SK,S10;C8,D7,D6,C7;CK,HA,H3,C9;H8,HK,H10,HQ;H4,H6,H9,H2;D10,DJ,H5,D3;SJ,HJ,H7,SQ"
1569982556,0,13,3,"CA,C8,C9,C2;D6,D4,D10,DQ;C10,C7,C5,D7;S8,S3,SK,S9;S6,S4,SA,SQ;D3,D8,DK,DA;CJ,CK,D2,C4;D5,C3,DJ,D9;H5,H10,HA,H9;S10,S5,HQ,H6;SJ,S2,HK,H3;C6,CQ,HJ,H7;S7,H4,H8,H2"
1569982556,0,3,3,"CA,CJ,C10,C2;S4,S5,SJ,S9;D4,DJ,D7,D2;SA,S6,S10,SQ;C6,CK,DA,C3;S3,SK,D10,C9;C7,C8,D5,CQ;DK,D8,D9,D3;H6,H9,HK,H5;S8,DQ,HJ,H2;S7,C4,HA,H7;S2,D6,H4,H8;H3,C5,HQ,H10"
1569982556,0,0,3,"CJ,C3,CA,C2;S4,S7,DA,S9;D3,DK,D4,DQ;C6,C10,CQ,C9;S5,S10,CK,SK;S2,SA,D6,C8;D7,D5,S3,D10;C4,C7,D9,S6;D8,D2,HA,SJ;H3,H9,HQ,H4;H6,H10,H2,HK;S8,H5,H8,H7;SQ,DJ,HJ,C5"
1569982556,0,7,3,"C6,C3,CQ,C2;SA,S10,S7,S4;C5,C8,C4,C10;DK,D6,D8,D3;S9,S2,S6,SK;CK,C7,SJ,DJ;D2,D9,D10,D4;S3,CA,SQ,S8;D7,CJ,S5,DQ;D5,HA,DA,H7;H2,H8,HJ,H3;H5,HQ,H4,H6;H9,HK,C9,H10"
1569982556,0,0,3,"C5,C7,C10,C2;D6,D10,DK,D7;D9,DA,D8,D2;C3,C4,C9,C6;C8,CJ,CQ,CK;S2,S9,S6,S8;S10,S7,SQ,SJ;DQ,S3,D4,DJ;D5,SA,CA,SK;D3,H7,HA,H9;HQ,H2,H3,HK;S5,H6,HJ,H5;S4,H10,H4,H8"
1569982556,0,0,3,"C8,C9,CK,C2;S9,S3,S10,S4;D6,D9,D3,DQ;SK,SQ,S8,S7;DJ,D7,D2,D10;CQ,C4,C3,C5;CA,CJ,D5,C7;DA,D4,D8,C6;S5,S6,DK,S2;SJ,HK,SA,HJ;H9,H6,H4,H7;HA,H8,H2,H3;C10,H5,HQ,H10"
1569982556,0,9,3,"CQ,CK,CJ,C2;D7,D5,D3,D6;C5,C3,C6,C9;S8,SK,S5,S3;CA,C8,C7,C10;D4,DJ,DQ,D9;S4,S10,S7,SA;SJ,DK,S6,S2;D8,DA,D10,SQ;H9,H10,H3,HA;H5,H8,HK,H7;H2,S9,HQ,HJ;H6,C4,H4,D2"
1569982556,0,13,3,"CA,C8,CQ,C2;S7,SA,S10,S9;DQ,D8,DA,D5;CJ,C7,C6,C3;S5,S6,SQ,S8;D4,D2,D3,S2;D7,DK,D6,CK;D9,C10,D10,S4;SJ,C5,S3,C9;H5,HK,HJ,H10;C4,HQ,HA,H3;DJ,H4,H6,H9;H7,SK,H2,H8"
1569982556,0,0,3,"C8,C6,C3,C2;S2,SJ,SQ,S3;DA,D10,DJ,D6;S9,CQ,SK,S10;S8,C4,S6,D2;D5,D4,DQ,D7;CA,C5,CJ,C10;DK,C7,D8,D3;S7,HK,S5,C9;H4,H8,H2,HJ;H7,H5,HA,H6;CK,H3,D9,H9;SA,HQ,S4,H10"
1569982556,0,8,3,"S6,C9,CK,C2;C4,C10,D3,C6;D9,D6,D2,D5;SQ,S10,SK,S7;D7,D10,DJ,S3;S4,S2,SJ,S5;HK,H4,HA,H6;DK,DQ,HQ,C5;D4,D8,H7,H5;CJ,CQ,H8,C7;DA,CA,H2,HJ;S9,C3,H10,SA;H9,S8,C8,H3"
