1569982577,0,4,1,"CK,CJ,C7,C2;S8,SQ,S2,SJ;DJ,DK,DA,D5;C5,D9,CA,C6;C10,C8,D10,CQ;S3,S10,SA,S5;D4,C4,D3,D2;SK,S4,C9,S9;D6,S7,DQ,D7;C3,H7,S6,H4;HQ,H2,H10,HA;H6,H8,H9,H5;D8,HJ,HK,H3"
1569982577,0,0,1,"CJ,C9,C8,C2;D10,D5,SK,DJ;S2,SQ,S7,S6;D2,CK,D9,D7;SA,S3,SJ,S8;S10,S9,C10,CA;D6,C4,D4,D8;C7,CQ,DQ,C3;S5,C5,HQ,S4;HK,H10,H4,H3;H6,DK,H8,HA;H2,C6,HJ,H7;H9,D3,H5,DA"
1569982577,0,0,1,"C5,C9,CJ,C2;S3,SQ,S10,S8;C8,C4,C10,CA;SK,S7,SA,S2;D3,DK,D2,DJ;C7,DA,CK,S9;D9,D10,C6,D7;D4,C3,D8,D6;DQ,S6,HQ,D5;HK,H3,HJ,H10;HA,H8,H6,H9;H5,CQ,H7,SJ;H2,S5,H4,S4"
1569982577,0,17,1,"C5,CA,CJ,C2;C8,CQ,CK,C4;D2,DK,D7,D3;S8,S3,SA,S6;C7,C9,SK,S5;D5,D10,D4,D8;C6,C10,S2,D6;DA,D9,DQ,H9;H8,H7,S10,H5;HQ,HK,S4,H6;H4,SJ,H10,HJ;H2,S7,C3,HA;S9,H3,DJ,SQ"
1569982577,0,13,1,"C5,C10,CK,C2;S7,S10,S3,S5;DA,D3,D2,DJ;CJ,C3,C8,C6;C7,SK,DQ,CQ;SA,SJ,S9,DK;S8,S4,S2,C4;SQ,D7,S6,D9;D5,D10,D4,D8;H5,HA,H10,HK;H8,H7,H2,HQ;CA,C9,H6,H3;HJ,D6,H9,H4"
1569982577,0,22,1,"C5,C9,CA,C2;S5,SQ,S10,D4;D8,D5,D10,D3;D2,D7,DQ,S9;C4,C6,C10,S6;C8,C3,SA,S3;C7,CJ,D9,SJ;S2,SK,CQ,S4;DK,HK,DJ,H8;H5,H6,H10,H9;H7,H3,HJ,H2;D6,S7,HA,H4;DA,S8,CK,HQ"
1569982577,0,9,1,"CK,C6,C10,C2;S6,S4,SK,S8;DA,D2,D7,D5;S9,SA,SJ,SQ;DK,D6,DQ,D8;C7,C3,C4,C5;D4,D10,D3,S3;C9,CJ,DJ,CQ;CA,S2,C8,D9;S10,HJ,S5,S7;H2,H4,H7,HK;H9,H10,H5,HA;HQ,H3,H8,H6"
1569982577,0,0,1,"C5,C7,C4,C2;D6,DA,D2,D5;SJ,SA,S4,S8;CJ,C9,C6,CQ;D7,D3,D4,DJ;S7,SK,S9,S2;D10,D8,DQ,CA;C10,S3,C8,CK;S6,S10,S5,D9;H3,HA,H5,HK;H10,H7,H4,H9;DK,H8,HQ,H6;C3,SQ,HJ,H2"
1569982577,0,4,1,"CQ,C10,S7,C2;CA,C3,D2,C7;SK,S8,S3,S6;CJ,CK,D7,C4;DQ,D10,D3,D5;C6,C9,SQ,D8;C5,DJ,S2,DA;S9,S10,SA,H10;H3,H2,H5,HK;HJ,DK,H6,H7;H9,D9,H4,HA;S5,SJ,HQ,C8;D4,S4,H8,D6"
1569982577,0,0,1,"CA,C9,CK,C2;C7,C10,C4,C3;SA,SJ,S10,S6;D7,D3,D5,D6;S2,SK,S3,SQ;S7,S8,DA,S5;S9,DJ,S4,C5;D8,D9,D2,D10;CJ,CQ,DK,D4;H6,H10,HK,H8;HA,C6,H9,HJ;HQ,C8,H5,H4;H7,DQ,H3,H2"
1569982577,0,0,1,"C5,C9,C3,C2;DJ,D3,D2,DA;CQ,CA,C7,C4;SQ,C8,SK,S4;S6,D9,SA,S3;D5,D8,DK,S9;CJ,C10,CK,S10;DQ,D4,D7,S7;D6,SJ,D10,S8;HQ,HA,H7,H4;S2,H10,H3,H8;S5,HJ,H5,H6;C6,H9,HK,H2"
