1569982589,0,4,2,"C8,CQ,C9,C2;D5,DJ,S5,DA;S7,SQ,S3,S6;DK,C10,DQ,D8;D6,S8,D7,D3;CK,C5,C4,CA;D4,C6,D2,S2;SJ,S10,S9,SK;SA,H4,HK,H2;H6,HJ,H10,H5;H8,D9,H7,H3;H9,CJ,S4,HQ;C3,D10,C7,HA"
1569982589,0,0,2,"C3,CA,C6,C2;DA,DJ,D7,D8;DK,D9,DQ,D2;S2,S9,S3,SQ;S8,S6,SJ,S7;CJ,C7,SK,C10;C5,C9,D6,C4;D10,D3,HQ,D4;H6,H10,H8,H4;SA,S5,HK,S4;CQ,H3,H9,C8;CK,HJ,H2,HA;H5,S10,H7,D5"
1569982589,0,0,2,"CK,C6,C3,C2;S10,S4,SK,S7;C9,CA,C4,C7;D9,DQ,DJ,D8;CJ,D4,C10,C8;S8,SA,S3,SJ;D3,D10,SQ,D2;S9,C5,S5,S6;CQ,HJ,D5,H2;H9,H7,H3,H6;H8,H10,D7,HK;DA,H5,H4,DK;D6,HQ,HA,S2"
1569982589,0,9,2,"C9,CK,C3,C2;S7,SQ,CA,SA;D5,D3,D9,D6;D10,S2,D8,D7;D4,S8,DA,DK;S5,S9,DJ,S6;CQ,C10,C4,C5;C8,C7,S3,C6;CJ,DQ,S10,SK;HA,H7,H10,H5;H8,HJ,H2,H9;H6,HK,H4,S4;HQ,H3,D2,SJ"
1569982589,0,18,2,"C4,CK,C7,C2;S5,SA,S9,S8;DQ,D10,D2,D3;DK,D7,D8,DJ;C10,CQ,CA,C9;S2,S4,S10,S7;S3,S6,D4,SK;C3,C6,CJ,HA;SJ,H4,SQ,H8;H10,H3,D6,H5;C5,D5,C8,HK;DA,H7,H2,H9;D9,H6,HJ,HQ"
1569982589,0,9,2,"C7,S5,CK,C2;SK,S4,SA,S8;D6,D8,DK,D7;S6,S3,S10,C10;D3,D9,DA,D4;S2,S7,S9,C9;D2,D10,C5,D5;DQ,DJ,C4,CJ;SJ,CQ,C3,SQ;C8,H7,HJ,CA;HQ,H2,H5,HK;H3,H9,H6,HA;H10,H8,H4,C6"
1569982589,0,0,2,"CQ,C5,C4,C2;D2,D6,D7,D10;CK,C7,C3,CJ;D9,DA,DJ,DQ;S8,S9,SA,D5;D3,DK,D4,SK;S2,CA,S6,S10;C10,D8,C8,C9;S5,SJ,HJ,S4;HK,HQ,H3,H5;H7,H6,H4,S7;HA,H10,H9,SQ;H2,H8,C6,S3"
1569982589,0,3,2,"C9,C3,C8,C2;SQ,SK,D5,S10;DA,D10,D2,D3;DK,D7,DJ,D6;C5,C6,S9,CJ;S4,D4,CK,S2;SJ,DQ,D9,S3;C7,C10,CQ,S7;CA,C4,D8,SA;HQ,H9,HK,H5;H7,S6,HJ,H8;H2,S8,H4,H3;H10,S5,HA,H6"
1569982589,0,4,2,"CJ,C10,C8,C2;D4,DJ,D9,D8;S7,SQ,S9,SK;DA,D7,C7,DQ;CQ,C9,CK,C6;C3,C4,D5,C5;S5,S4,S6,S2;SJ,SA,S3,S8;CA,D10,D2,DK;H6,H8,H2,HJ;H7,HA,HK,H3;H9,H4,H10,HQ;D6,D3,S10,H5"
1569982589,0,4,2,"CJ,C4,CK,C2;C8,CQ,C9,C6;S4,SK,S8,SJ;S9,S2,SQ,S6;D5,D7,DQ,D3;C10,S10,C5,C3;D6,D2,D9,D10;S5,SA,S3,DK;S7,D8,DJ,CA;DA,H7,D4,H4;H3,HA,HK,H6;H9,HJ,H5,H10;HQ,H2,H8,C7"
1569982589,0,0,2,"C4,C5,C10,C2;S6,SA,S4,SK;DQ,D7,DK,S3;D4,DA,DJ,S9;CJ,S8,C7,CK;S5,CA,SQ,S7;D6,D9,D2,C6;C9,D10,C8,C3;HQ,H2,H10,H9;HA,HK,H3,H6;H8,H7,D3,SJ;HJ,H4,S2,CQ;H5,D8,D5,S10"
1569982589,0,9,2,"CJ,C7,C4,C2;D3,D6,D8,D4;S2,S4,S5,S7;D5,D2,D7,DA;S10,S8,S6,S9;SK,S3,CK,SA;C6,C3,C8,CA;SJ,CQ,DK,D9;SQ,DQ,DJ,C9;H6,H9,H5,H2;HJ,H8,HQ,H4;H7,C5,H3,H10;C10,D10,HA,HK"
