1570031179,0,22,3,"C9,C4,CJ,C2;DQ,D2,D7,DA;S10,S2,S5,S4;D3,D10,CQ,DJ;S8,SK,SJ,SQ;C7,CK,D8,C6;S6,DK,D6,S9;C10,C3,C8,D9;C5,CA,H10,HQ;D4,H5,H3,HJ;H4,H6,H2,H8;H9,H7,S3,HA;D5,S7,SA,HK"
1570031179,0,3,3,"C4,CA,CQ,C2;S8,S9,S7,S6;D8,D5,D7,DQ;SK,SA,S2,S3;S4,S5,DK,D6;C5,C6,CJ,C9;D2,D9,D4,D10;SJ,S10,HJ,C7;DA,D3,H7,H3;C10,CK,H5,C8;H6,DJ,H2,H8;H9,C3,HA,HQ;H4,HK,SQ,H10"
1570031179,0,4,3,"C5,CJ,C3,C2;C4,CQ,C10,C6;DJ,D9,D5,DK;C9,CK,C7,CA;S10,S2,S7,S6;S8,S3,SA,SJ;D2,DA,D4,DQ;S5,C8,D3,SK;SQ,D7,S4,D6;H7,HJ,HK,HA;H10,H4,HQ,H6;H2,H9,H5,H8;D8,D10,S9,H3"
1570031179,0,3,3,"C4,C7,C3,C2;S7,SJ,S6,S4;D4,DA,D6,D9;CA,CJ,CQ,C5;C8,SQ,C6,DK;S2,S10,S5,S9;SA,C9,S3,DJ;SK,D2,CK,D3;S8,HJ,C10,H5;H3,H2,H10,H8;DQ,H9,D7,H4;D5,HQ,D8,HK;H7,D10,H6,HA"
1570031179,0,19,3,"C10,C7,C9,C2;S4,D8,SQ,SJ;DA,D5,D2,D9;D10,D3,DJ,DQ;S2,C8,S6,S3;S5,CK,S7,SK;C3,CJ,CA,C6;S9,C5,S10,S8;D7,H2,DK,D4;HJ,HK,H4,H10;H8,HA,H3,H9;D6,HQ,CQ,H5;H6,H7,SA,C4"
1570031179,0,17,3,"C9,CJ,C3,C2;S9,S7,S6,C5;S8,S10,SJ,D4;D5,DA,D7,SQ;D6,D9,DK,C10;DJ,D8,D3,SA;D2,DQ,D10,C8;CA,C7,CQ,S5;C4,CK,C6,S3;SK,S4,H3,H7;HJ,H8,H9,H5;H6,HK,HQ,HA;H4,S2,H10,H2"
1570031179,0,4,3,"CA,C4,C5,C2;D7,DK,D9,DQ;SK,SQ,S3,S7;CK,C9,C3,SA;DA,D8,D3,D10;S6,S8,S4,S10;DJ,CJ,D6,D5;D2,C7,S9,C10;D4,C6,S2,S5;HQ,H6,H5,HJ;H4,HA,H2,H9;H10,CQ,H3,H8;HK,C8,H7,SJ"
1570031179,0,17,3,"C6,C4,C7,C2;CK,CJ,C5,CQ;CA,C8,C9,D3;S6,S3,S2,S7;D10,DK,D9,D4;DQ,D7,DJ,D2;SA,SK,SJ,SQ;S4,S5,S10,S9;D5,D6,D8,C3;C10,S8,DA,HK;HJ,H7,H4,H8;H3,HA,H10,HQ;H6,H2,H5,H9"
1570031179,0,6,3,"C8,CK,C5,C2;S2,S4,S9,SQ;D3,D10,DA,DQ;C3,C7,CA,C9;D4,D5,D2,D8;SJ,S7,SA,SK;DJ,D6,D7,DK;CQ,CJ,C4,S8;C10,C6,HK,HJ;H8,H4,H7,H3;H9,HQ,S5,H6;S6,S3,H10,H5;S10,D9,HA,H2"
1570031179,0,2,3,"CK,C10,CQ,C2;C3,CJ,C6,C9;S8,S6,S4,CA;SK,S9,S3,C8;C7,D9,DJ,C5;DA,D7,D8,D6;D3,SA,D2,D10;D4,SJ,DQ,DK;C4,S7,H2,H3;H10,H5,H8,HQ;H7,HA,S5,HJ;H6,SQ,S2,H4;HK,S10,D5,H9"
1570031179,0,0,3,"C10,C4,CK,C2;SQ,S4,SJ,S3;D10,DQ,D9,D2;C8,S10,C3,C9;S7,S9,DJ,S5;S2,D5,C6,SA;D8,C5,DA,CQ;S6,HA,S8,CJ;D4,H2,H6,H7;D6,H3,H5,C7;D3,HJ,H4,H8;D7,H10,H9,HK;DK,HQ,SK,CA"
