1570124956,0,5,0,"C7,C10,C9,C2;C3,CJ,H3,C6;SQ,SJ,S7,S6;CA,C5,DQ,CQ;DK,D5,D7,D10;SA,S4,S2,S10;D4,DA,D3,D2;D9,D8,DJ,D6;H10,H8,H4,HA;S8,SK,CK,H2;HK,H7,H9,HQ;S3,S5,C8,HJ;S9,H5,C4,H6"
1570124956,0,6,0,"C4,C8,C3,C2;S3,SK,S9,S5;D6,DA,DQ,D5;SA,S8,H7,SJ;SQ,S6,CA,CJ;DK,DJ,D8,D9;S2,S7,H9,HK;S4,S10,H6,H8;D7,D3,HA,CK;H3,H10,C9,HJ;CQ,D4,C5,C10;H4,H2,HQ,C6;D10,H5,D2,C7"
1570124956,0,0,0,"CA,CJ,C5,C2;C8,CK,C6,C9;C7,C10,C4,C3;SA,S3,S10,S7;SJ,D3,SK,S8;D4,DJ,DQ,D6;CQ,D5,H8,HQ;DK,DA,D2,D7;D8,D9,H5,H7;HJ,HA,H4,H9;S2,H10,S5,S4;SQ,H6,D10,S6;S9,HK,H2,H3"
1570124956,0,13,0,"C7,C4,C5,C2;D3,D4,DQ,D2;S8,S9,SA,SK;S2,S3,S10,SQ;D5,D6,D10,D7;S6,S5,S7,HJ;CJ,C9,C8,CA;H9,HA,H7,HK;SJ,C6,S4,DJ;CK,HQ,C3,CQ;DA,H4,D9,D8;C10,H6,H3,H8;H2,H10,H5,DK"
1570124956,0,8,0,"C10,CQ,C5,C2;DQ,D5,DK,DJ;CJ,C4,C8,S8;C6,CK,C3,S7;S6,SQ,SK,S10;D3,H7,S2,D9;S4,S9,SA,S3;HJ,H3,H5,H8;HK,H10,D6,HA;CA,H2,S5,D7;C9,SJ,D10,DA;C7,H6,H9,D8;HQ,H4,D2,D4"
1570124956,0,18,0,"CJ,CK,C6,C2;S7,SJ,S9,SK;D9,D4,DA,D7;DK,D8,D2,DJ;C10,C7,C9,CQ;SA,S5,S6,S8;S2,S10,S3,D5;C5,C4,C3,CA;D3,D10,H5,DQ;HJ,HQ,HA,H10;H2,H3,H9,S4;D6,H6,H4,SQ;H7,HK,H8,C8"
1570124956,0,13,0,"C8,CQ,C5,C2;S3,SK,S5,S8;S10,S6,S4,S9;C6,CA,C3,C7;C9,SQ,S2,CK;SJ,C10,SA,H7;D8,DJ,D9,D5;H4,HJ,H9,H5;H3,C4,HQ,H8;HK,HA,S7,H6;DQ,D10,D2,D3;H10,CJ,D7,D6;H2,DK,DA,D4"
1570124956,0,0,0,"D2,C9,C3,C2;D7,DQ,D9,DJ;SJ,S4,S5,S6;CJ,CK,C7,HJ;S7,SA,D10,S9;SK,S8,DA,S10;CA,HA,CQ,H9;C6,D3,D4,SQ;C4,H5,HK,H10;C5,HQ,D6,S2;S3,DK,D5,H7;C8,H6,D8,H2;C10,H8,H4,H3"
1570124956,0,6,0,"C3,C4,C8,C2;CA,C7,C5,CK;S5,SJ,SK,S4;C10,S2,SA,CJ;DQ,D3,D2,D8;D9,DA,D4,DJ;SQ,S8,S7,S3;C6,C9,S6,S10;D6,DK,D5,HQ;H9,H5,H7,H4;D7,HA,D10,H2;H6,H10,HJ,H8;HK,S9,CQ,H3"
1570124956,0,13,0,"CJ,CK,C7,C2;DK,D8,D5,D10;DQ,D4,DA,D3;D2,H5,H10,D9;C8,C4,C3,C5;SJ,S5,SA,SK;S8,S2,S9,SQ;H7,H2,H3,H9;D6,CA,HK,DJ;HQ,S3,H4,HA;S7,CQ,S6,HJ;S10,D7,C9,H8;S4,C6,C10,H6"
1570124956,0,10,0,"C9,C8,CA,C2;SJ,S3,S8,S2;D3,D6,D8,D7;D9,DA,D5,DJ;C6,C7,C4,H2;D10,C5,D4,D2;SQ,S10,S5,SK;DK,DQ,C10,HQ;C3,S9,CQ,H5;CK,CJ,H8,H6;S7,SA,H10,S4;H7,HA,H9,H4;S6,H3,HK,HJ"
1570124956,0,13,0,"C4,CJ,C9,C2;C3,SK,CK,C8;D5,D9,D7,D2;S8,SJ,S9,S7;SQ,S6,SA,S5;C6,C10,CQ,H4;S3,S10,S2,S4;D3,HJ,D6,DA;DJ,D10,C5,DK;HQ,HA,H9,HK;DQ,H2,D4,H3;D8,H8,H10,H7;H6,H5,CA,C7"
