1570125015,0,1,2,"CJ,C7,C6,C2;C3,CK,C10,C5;C4,C8,CA,S9;S8,S10,S6,S5;DK,D8,D4,D9;D6,D3,D10,DQ;S4,H2,S2,SA;H9,HQ,H4,H8;SQ,HA,H5,S3;S7,C9,HJ,H6;H7,H10,D7,H3;CQ,SJ,D5,D2;DJ,SK,DA,HK"
1570125015,0,6,2,"CQ,CA,CJ,C2;DQ,D9,DK,D5;SQ,S2,S10,S5;D3,D10,D8,DA;S4,S8,SK,S9;C3,CK,C5,C4;S7,HQ,S3,DJ;H2,HJ,H3,H7;H4,H10,C8,H6;HA,H5,SA,D2;SJ,HK,D6,D7;H8,H9,D4,C6;C7,S6,C9,C10"
1570125015,0,1,2,"C3,C10,CQ,C2;C6,C7,CJ,CA;CK,C5,C8,D4;DQ,D7,D5,DK;D8,DA,D10,DJ;C9,H2,C4,S7;S3,S6,S9,SA;D9,D3,D6,S5;S2,S8,SQ,S4;HA,H7,H8,HQ;H3,H5,H6,H9;SJ,H10,SK,S10;HK,HJ,H4,D2"
1570125015,0,2,2,"C4,CQ,CA,C2;S6,S2,S7,S8;D8,D7,D5,D4;C3,C5,C8,C9;S3,DA,S5,S4;C10,C7,CJ,CK;C6,DK,H2,H6;H8,HA,H10,HK;SK,SJ,SQ,H5;DJ,D9,D2,DQ;HQ,D3,H9,H7;HJ,D10,H3,H4;D6,S10,S9,SA"
1570125015,0,14,2,"C8,CQ,CJ,C2;S6,SA,SK,S5;SJ,S3,S7,S9;S8,D4,S10,D3;C3,C7,C6,C9;C5,CK,D2,H3;HJ,H6,H5,HA;D6,H2,D8,D10;S4,DJ,SQ,CA;HQ,H7,HK,D7;DK,C4,H10,D9;DQ,H9,S2,DA;C10,D5,H4,H8"
1570125015,0,1,2,"CQ,C3,C9,C2;SJ,S9,S7,SA;D3,D10,D4,D2;C8,C7,C6,CJ;D8,D7,DQ,DK;SK,S2,S10,S8;DJ,D9,D6,DA;CA,H6,C10,C5;H2,H3,H5,H8;HJ,H10,HQ,HA;H9,S6,H4,S4;HK,D5,SQ,S5;H7,CK,C4,S3"
1570125015,0,9,2,"C6,C10,CA,C2;D4,D3,D8,DK;SK,SQ,SA,S2;CK,S5,CQ,C4;DJ,D5,D6,D2;C7,HK,D10,C9;S3,HQ,S7,S4;DQ,S9,D7,D9;S10,SJ,H2,S6;CJ,DA,C8,H7;H9,H10,H8,HJ;S8,H5,HA,H3;H6,C5,H4,C3"
1570125015,0,0,2,"C3,CA,C10,C2;SJ,S9,SA,S6;C9,C8,C6,CQ;DJ,DQ,D7,D10;C4,CJ,SK,C7;D5,D6,DA,D2;DK,D4,D9,D3;S7,S2,S10,S5;CK,H10,H6,C5;HQ,H7,H4,H5;D8,H2,S3,H9;H3,HK,HA,SQ;HJ,S4,H8,S8"
1570125015,0,18,2,"C4,C5,C9,C2;S8,CK,S5,S9;CJ,C3,C6,C8;SQ,SJ,H6,S10;D6,D10,D3,DQ;HA,H2,HJ,HK;D7,DA,D4,D5;S2,H10,S6,H7;S4,S7,H8,H3;H9,SA,HQ,CQ;H4,H5,D2,CA;DK,D8,SK,DJ;D9,C10,S3,C7"
1570125015,0,22,2,"CA,C5,C4,C2;D2,DQ,D3,D7;CQ,C6,C9,C7;S3,S5,S10,S4;S9,DA,SQ,S2;SK,S8,D9,D4;S7,SA,C3,H8;H7,HA,H10,HJ;HK,H2,D10,HQ;H3,H9,C10,H6;H4,H5,CJ,CK;D5,DJ,D6,DK;D8,SJ,S6,C8"
1570125015,0,6,2,"C5,C4,C8,C2;S7,SK,SA,S4;C10,C9,C3,CA;S3,S2,S8,SJ;S9,DJ,S6,S5;DQ,D3,D9,DK;D10,DA,CQ,D2;D8,D6,HJ,D4;D7,D5,HK,H8;H3,H10,H7,H5;SQ,S10,C6,C7;H2,H9,HA,CK;H4,H6,HQ,CJ"
1570125015,0,0,2,"C6,C7,CJ,C2;D10,DA,D2,D7;C10,CA,C9,CQ;SK,SQ,SA,S3;DJ,D8,D4,D6;S8,S2,DQ,S4;CK,C4,C8,D3;C5,H3,C3,S7;H6,H7,HJ,H10;H8,H9,HQ,HA;S9,H4,SJ,S6;D9,S5,H5,D5;DK,S10,HK,H2"
1570125015,0,4,2,"CJ,C3,C4,C2;S4,S8,S2,SK;DQ,D10,DJ,D4;S6,SQ,H4,SJ;S7,S9,C7,S3;D3,DA,D7,D5;C5,C6,CK,CA;C8,S5,C10,HQ;C9,CQ,DK,H6;H2,H5,H3,HJ;D2,D6,D8,HK;SA,H9,H7,S10;H8,D9,H10,HA"
1570125015,0,3,2,"C5,CJ,C9,C2;SA,SK,S2,S7;CK,C7,C8,C10;S3,SJ,S6,S8;SQ,S4,D10,C3;D2,D5,D9,DA;CA,C6,CQ,H8;DQ,DJ,DK,D4;S5,H9,S9,HK;S10,HA,H2,D6;C4,D7,H4,H10;H5,D8,HQ,H7;H3,H6,D3,HJ"
1570125015,0,6,2,"C9,C10,C7,C2;D6,D7,D2,DQ;CJ,C3,C4,CK;S5,S2,S9,S10;SJ,SK,SA,S4;D3,S3,DJ,DK;D9,DA,SQ,D5;C8,C5,HQ,CQ;H3,H5,H2,H8;HK,H9,HJ,HA;H7,H6,D10,C6;H4,H10,D4,S7;S8,D8,CA,S6"
