1571050970,0,13,1,"CK,C8,C3,C2;D3,D8,D6,D10;C4,D2,CJ,C9;DA,CA,D9,D4;S3,DK,S4,D7;S6,D5,SQ,DQ;C6,S5,S9,S8;SK,C7,SA,S7;CQ,SJ,HQ,C10;H6,H7,H4,H10;S2,HJ,H9,HA;S10,H2,H5,H8;DJ,H3,C5,HK"
1571050970,0,7,1,"C5,CA,C10,C2;SQ,S8,S9,S7;S5,SK,S3,SJ;C7,CK,C4,CJ;C6,S4,S2,SA;DJ,DK,D2,D10;DA,DQ,D8,D3;S10,D6,D9,S6;C8,H8,H7,C3;HQ,HK,H5,H2;H6,H9,HA,H4;D5,HJ,C9,D7;H3,H10,CQ,D4"
1571050970,0,5,1,"C9,CA,C8,C2;CK,C5,C10,CJ;C7,HQ,C3,C4;SK,HK,SQ,SA;S4,D2,SJ,S9;S8,S3,DQ,S2;D8,D9,DJ,DK;S6,C6,D3,S7;S5,D7,H5,S10;H2,H8,DA,H4;D10,H10,HJ,CQ;D4,H9,H3,H6;D5,H7,D6,HA"
1571050970,0,8,1,"C8,C10,C6,C2;D3,D5,D7,D2;C5,CA,H8,CJ;H3,C7,C3,CK;D10,D4,DJ,DQ;SQ,SA,S10,S4;DK,S8,H5,C4;H6,H9,DA,CQ;D8,HJ,D9,D6;C9,S7,S9,S2;S6,H2,SJ,S5;HK,S3,H10,H7;SK,HQ,H4,HA"
1571050970,0,0,1,"C3,CJ,C7,C2;C6,CK,H9,C10;D8,DA,D6,D9;H7,C5,SK,C9;S5,S7,SQ,S8;DQ,DJ,D4,D3;HJ,D5,D7,D10;SA,C8,S2,CA;H2,HA,H4,H3;HK,S9,S6,SJ;HQ,C4,H5,CQ;H6,D2,S3,S10;H8,DK,S4,H10"
1571050970,0,0,1,"C7,C6,C3,C2;D6,DJ,D4,D2;D10,DA,D3,D8;S8,S5,S2,S3;S6,SK,S7,S4;C10,C5,CJ,CK;SJ,C8,C9,C4;HJ,DK,H8,D9;H4,H6,H3,HK;S10,H9,S9,SA;H2,H7,HA,HQ;SQ,H10,D5,CA;DQ,H5,D7,CQ"
1571050970,0,1,1,"CQ,C3,C8,C2;S2,S8,S3,S7;CA,C10,CK,CJ;S5,S4,S9,S6;H3,C7,C5,C6;HA,C9,S10,C4;H5,H8,H2,H6;H7,HK,D2,H9;D8,HJ,D6,D4;SJ,D7,SA,SK;D10,H10,DK,D5;DQ,DA,HQ,D9;H4,DJ,D3,SQ"
1571050970,0,0,1,"C6,C9,C4,C2;S2,S10,S3,S5;DQ,DJ,D4,D5;SA,S4,H4,S7;CJ,C3,CA,C10;H8,H2,H3,H10;CK,DA,C7,C5;D6,D8,D9,D3;S8,D2,CQ,D7;SJ,D10,HJ,C8;SQ,H6,H7,HK;S9,HQ,H9,DK;SK,S6,H5,HA"
1571050970,0,4,1,"C8,CJ,C4,C2;S9,S6,S8,S4;DJ,DK,D4,D10;D3,D2,DQ,D8;C6,C7,CA,C5;CQ,S10,C9,C3;SA,S2,S5,S3;D5,D7,H8,D9;H5,S7,CK,D6;H4,H3,H10,H6;HK,HQ,HJ,H9;H2,C10,H7,HA;SK,SJ,SQ,DA"
1571050970,0,26,1,"C6,CJ,C10,C2;D2,DJ,DQ,D7;D10,CK,DA,D4;C9,H5,C7,C3;SK,C8,C5,CA;D5,S6,D6,D9;S5,S7,S2,S3;H4,HA,H8,H6;SA,HK,D3,D8;S9,CQ,SJ,C4;H7,HJ,S10,H9;SQ,H2,H10,DK;S8,H3,S4,HQ"
1571050970,0,0,1,"CJ,CQ,C8,C2;S8,S7,S3,S5;S4,S6,SK,SJ;DJ,DQ,D8,DK;SA,C5,S9,S2;D4,DA,D3,D7;C10,C7,CK,C4;D10,H10,D5,D2;H3,CA,D6,D9;HJ,H9,H8,H6;HQ,C6,HK,C3;H7,S10,H4,HA;H5,SQ,H2,C9"
