1571050991,0,16,2,"C6,CJ,C3,C2;DQ,C7,CA,C10;C4,HA,C9,C5;H5,H10,H2,H3;S9,S2,S3,S10;DK,D7,D9,D4;D10,DJ,D6,D8;S4,SQ,SJ,SK;SA,HK,S5,S6;HQ,CQ,S8,C8;DA,H8,H4,H7;HJ,H9,D3,D2;CK,H6,S7,D5"
1571050991,0,1,2,"C7,CQ,CJ,C2;C8,CK,C6,C3;S6,S5,S9,S2;D6,DA,DK,D9;C9,HJ,C5,CA;S4,SK,S8,S10;D2,D3,D7,D8;H10,H3,H4,H8;S3,HK,D5,S7;H7,HQ,H2,HA;SJ,DQ,H6,H9;SA,C4,D4,D10;SQ,C10,H5,DJ"
1571050991,0,4,2,"C7,C8,CQ,C2;C9,C4,C3,CA;S5,S9,S2,S6;S10,SQ,S4,S3;C10,H8,H4,C6;H6,HA,HK,HQ;H7,H10,H2,H3;HJ,D7,C5,CJ;D9,DJ,DQ,CK;D4,D6,DK,D10;SJ,S7,D8,S8;SA,DA,H5,H9;SK,D2,D5,D3"
1571050991,0,4,2,"C5,CK,CJ,C2;C8,C4,C6,CA;S10,SA,DJ,S5;H4,S2,S8,S3;D4,D6,DA,D8;H10,H8,H9,H7;HQ,HK,H5,H6;C10,C9,CQ,C7;D9,SK,H2,S4;D10,D2,D3,D7;S7,D5,SJ,DK;C3,HJ,S6,HA;S9,H3,SQ,DQ"
1571050991,0,1,2,"C9,CK,C10,C2;C4,C7,CJ,C6;D9,D2,D10,D3;CA,C5,C8,CQ;DQ,DK,D4,DA;DJ,S6,SK,D7;SA,S5,S2,SJ;S8,S4,SQ,S9;S10,S3,HA,S7;H3,H8,H6,H5;D6,H2,HJ,D8;HQ,H7,H9,D5;H10,HK,H4,C3"
1571050991,0,0,2,"C3,C6,CA,C2;D8,D3,D2,D4;CQ,CJ,C9,C7;H8,C5,C10,C8;H2,H7,H5,HQ;CK,H6,HA,C4;S10,S6,SJ,S2;S3,S4,S5,S8;SQ,S7,S9,SA;H4,DJ,DK,H9;HK,D10,DQ,HJ;D7,D6,H10,H3;DA,D9,D5,SK"
1571050991,0,2,2,"C8,C9,C5,C2;S4,SJ,SA,S7;C6,C7,CQ,C10;C4,CJ,DA,CK;C3,H9,H2,CA;S5,S10,SK,S6;H10,HJ,H6,HQ;DK,D7,D8,DQ;H4,H3,D6,H7;DJ,S3,S2,S8;H5,D10,SQ,S9;D9,D3,HA,D2;D5,HK,D4,H8"
1571050991,0,0,2,"CQ,CK,C6,C2;H2,CJ,C3,C7;D7,DA,DK,D3;S8,SK,S2,SA;S7,S10,S6,S9;HJ,H8,H10,HK;S3,CA,SJ,S5;D9,D6,D5,D10;H7,H5,HQ,H3;H9,C5,C10,C8;DQ,D4,DJ,D2;H6,S4,HA,C9;H4,SQ,D8,C4"
1571050991,0,4,2,"C9,S4,C10,C2;S8,SJ,S9,S7;D2,C8,CK,C5;CA,D5,D6,D10;CQ,DQ,HA,CJ;S10,S3,HK,S5;D3,C6,SA,S2;H5,H10,H2,H8;C4,H4,H6,H3;D9,D7,SQ,D4;DJ,H7,D8,DA;C7,HJ,SK,DK;C3,S6,H9,HQ"
1571050991,0,0,2,"C10,C7,C8,C2;S8,SJ,SK,SA;C4,C5,CQ,CJ;SQ,S5,S4,S7;D10,DQ,DJ,D5;S10,S2,H4,S6;HJ,H10,HK,HA;DK,DA,D8,D9;HQ,H5,H2,H7;C6,C9,CK,C3;D7,H8,D2,D4;H6,D6,H3,S3;CA,D3,H9,S9"
1571050991,0,5,2,"C6,C3,C5,C2;S3,S6,S4,S8;S10,S2,S7,SK;SQ,HQ,S9,S5;CQ,C9,C10,CK;D8,DJ,DQ,DA;D5,C8,CJ,C4;D10,DK,D6,D2;H9,D9,D4,D3;H6,H5,H10,H3;SA,H2,HK,CA;H8,H7,HA,HJ;C7,SJ,H4,D7"
1571050991,0,0,2,"CJ,C4,C8,C2;DJ,DA,D9,D10;DK,D2,DQ,D6;S4,S5,S8,SK;CQ,CK,C7,C3;D5,D3,D7,D4;S3,S10,S6,SJ;C5,CA,C9,C10;S2,H4,S9,SA;H10,H5,H3,H7;HJ,HA,HK,C6;H2,H6,H9,H8;SQ,HQ,D8,S7"
1571050991,0,24,2,"C4,CA,C8,C2;D9,DQ,D7,DK;D3,DJ,DA,D6;SQ,SJ,S2,S8;S7,SK,S4,S10;S6,S9,D2,SA;CJ,CK,C9,C3;CQ,HA,C5,S3;H2,D8,C6,C7;H6,H8,H9,C10;D5,HK,HQ,S5;H5,H4,H10,HJ;D10,H7,D4,H3"
