1571051029,0,0,0,"C8,C10,C3,C2;S4,S5,SJ,S3;S6,S8,S9,SQ;D6,D7,D5,D4;D2,D8,DK,DQ;CQ,CK,CA,CJ;HJ,D9,D3,D10;HQ,H8,HK,H3;SK,H7,C9,S2;H2,H10,SA,S7;H5,C6,H9,H6;H4,S10,C5,HA;C7,DA,C4,DJ"
1571051029,0,22,0,"C7,CQ,CA,C2;CK,CJ,C8,C3;D10,D2,SQ,DQ;C5,HA,C6,C4;HJ,H5,H10,H8;S7,S6,S8,SA;S10,S2,S9,S4;D5,HQ,D8,D4;H3,D3,H4,H2;HK,H9,D9,H7;DJ,S5,C9,SK;D7,D6,C10,S3;DA,DK,H6,SJ"
1571051029,0,1,0,"C3,C9,CJ,C2;C10,C5,CA,C7;S10,S7,S4,S9;CK,H2,CQ,C4;D9,D3,DQ,D8;H6,H10,H3,HJ;DJ,D6,D2,D10;DA,H8,HA,H9;D5,D4,DK,D7;S8,HK,S2,S5;H7,SQ,SA,S6;C6,H4,S3,C8;H5,HQ,SJ,SK"
1571051029,0,2,0,"CA,C3,C6,C2;SJ,S3,S10,S6;C8,CQ,CK,C5;DQ,DK,D4,D2;C10,S8,S7,SA;D8,D5,D3,D9;H3,S5,CJ,S2;C7,H6,D7,S4;D6,HA,C9,C4;DA,H8,H7,HK;S9,H2,H9,H5;H10,SK,HJ,H4;D10,HQ,SQ,DJ"
1571051029,0,8,0,"C3,C9,CJ,C2;C5,H2,CA,C6;S3,S10,SJ,S8;SA,S2,S6,SK;D10,D2,D6,D8;D4,D5,DK,DA;H10,H6,H5,HA;SQ,S7,S5,S4;HK,C7,CK,C10;H4,H8,C4,H9;HQ,DQ,D3,D7;S9,H3,C8,HJ;D9,H7,CQ,DJ"
1571051029,0,21,0,"CJ,C10,C8,C2;D2,DQ,DJ,DK;C3,C9,C4,CQ;SQ,S10,S8,S4;C6,S5,SJ,C5;D9,D4,D10,D7;C7,HA,H4,CK;D3,D6,HK,D5;H6,H9,H3,H10;S6,S9,HQ,S3;H7,S7,S2,D8;HJ,SK,SA,CA;H5,H8,H2,DA"
1571051029,0,2,0,"C3,C8,CQ,C2;D5,DJ,D10,D6;S5,S4,S10,S2;S7,HA,SK,S9;D7,D2,HQ,DA;C5,C4,C10,CA;H10,H8,H7,H6;DQ,H5,S3,H2;CJ,CK,C7,C9;S8,H3,DK,S6;C6,D8,D3,SQ;H9,D9,H4,SA;HK,D4,HJ,SJ"
1571051029,0,18,0,"C8,C6,CK,C2;D7,D8,D5,D9;S2,S8,SK,SJ;H9,DQ,D6,D3;CA,S10,C7,CJ;HA,H2,H8,H3;H4,HQ,H7,HJ;S9,S6,S5,SQ;H5,SA,HK,S4;C3,S7,DK,D10;DA,C5,S3,DJ;C4,H6,D4,H10;CQ,C10,C9,D2"
1571051029,0,0,0,"C9,C6,C7,C2;SK,S6,C5,S5;SQ,H5,S2,S3;C8,C10,C4,CJ;H7,H9,H8,H2;S7,S8,D3,SJ;CK,DJ,C3,CQ;H3,H4,DA,HK;HA,CA,S9,S10;HQ,H6,DK,H10;D2,D7,D9,DQ;D4,D5,D6,D10;HJ,SA,S4,D8"
1571051029,0,8,0,"C4,CQ,CA,C2;C9,CK,C8,C7;S3,SQ,S6,S2;SK,S5,SA,S10;D2,D9,D10,D6;D4,DA,DQ,DK;C3,D3,D5,D8;C5,HJ,S4,C10;H5,HQ,H4,H6;H9,H3,H8,H10;S8,HA,H2,H7;CJ,DJ,S7,SJ;C6,HK,D7,S9"
1571051029,0,22,0,"CA,C5,C7,C2;D5,D10,DJ,DK;S10,S7,S9,S4;S6,S8,SJ,S2;C6,CJ,C8,C4;H5,S3,SQ,S5;HK,D9,HJ,HA;H7,DA,H3,H9;H10,C3,C10,C9;D6,SA,D3,D4;H2,DQ,D2,H6;HQ,D8,CK,H4;D7,CQ,H8,SK"
