1571051161,0,6,1,"C3,CK,C8,C2;S7,SJ,SK,S3;DK,D2,D3,DJ;H7,C6,CA,C4;S9,SA,S4,SQ;D7,D5,D10,DQ;H5,H10,H8,H3;CQ,DA,CJ,C5;H2,HQ,H9,H6;S8,S6,HJ,HK;C10,D4,D8,C9;S5,D9,H4,S10;D6,HA,C7,S2"
1571051161,0,1,1,"C5,C4,C10,C2;S6,S5,S7,S10;C9,CQ,C8,C3;C6,CJ,HQ,C7;H8,H5,HJ,H9;H3,DK,H4,H6;D9,DQ,D4,D5;SK,D8,SJ,S4;H10,S3,S8,S9;D2,SA,S2,H2;D3,CK,D7,HK;DJ,D6,SQ,H7;D10,CA,DA,HA"
1571051161,0,11,1,"C6,C4,C10,C2;CK,CQ,CA,CJ;DJ,D5,DQ,D10;S7,SJ,S4,S5;DA,DK,D2,D7;SQ,D4,C7,C3;SA,D9,D3,D6;S10,HA,S8,S9;C8,H7,S6,D8;H3,H4,H6,H5;H9,HQ,C9,S2;H2,HK,C5,S3;H8,HJ,H10,SK"
1571051161,0,5,1,"C10,CJ,CQ,C2;D3,D7,DA,DK;D9,DQ,CA,D8;S8,S10,S6,S4;D10,D2,H8,D5;H7,H3,H5,H10;C8,C6,C5,C4;SA,SK,S2,S5;S9,H4,C3,C7;HA,S3,HQ,SJ;D4,H6,CK,C9;SQ,H9,H2,HK;S7,D6,HJ,DJ"
1571051161,0,21,1,"C3,CK,C10,C2;D5,DQ,DA,D2;S2,SQ,S5,S10;S9,S4,SA,SJ;D4,D7,D8,D3;SK,S6,S3,S8;DJ,D10,H4,DK;H3,HK,H9,HA;CJ,C9,CA,C8;H5,H7,S7,H6;C4,H10,H2,HJ;C6,H8,D6,HQ;C5,C7,D9,CQ"
1571051161,0,0,1,"C7,C9,CJ,C2;S4,S2,SJ,S7;CK,CA,C10,C5;D3,H5,CQ,C3;H4,H3,H2,H6;SK,S10,SA,S6;D5,DA,D6,DJ;S9,S5,D7,S8;H7,HJ,C8,HK;D10,H8,DQ,HA;DK,D8,S3,H10;SQ,C4,D4,HQ;D2,C6,D9,H9"
1571051161,0,7,1,"C3,C6,CK,C2;S9,S2,S10,S8;S4,S3,SQ,S7;DK,D5,D6,D9;C8,SA,CQ,CJ;D2,D3,DJ,D4;D8,D7,C10,DA;HJ,SJ,CA,SK;H2,H10,HQ,H4;H5,C4,S5,C9;H3,H8,HK,H7;C7,D10,H6,H9;C5,DQ,HA,S6"
1571051161,0,13,1,"CA,CQ,C9,C2;SQ,SA,S2,S8;C3,CK,C8,C7;SK,S4,S7,S5;C5,CJ,S9,C4;SJ,DK,S10,S3;D3,D10,D7,D4;D5,D8,D2,D9;DA,DJ,HQ,D6;H9,H2,H10,HK;H4,H5,DQ,H7;H3,H8,C6,HA;S6,H6,C10,HJ"
1571051161,0,1,1,"C8,C5,C7,C2;DK,D7,D4,D3;C9,CA,S4,C6;D5,H8,D10,D8;SK,SJ,SA,SQ;H4,HQ,H3,H6;H5,H2,C4,HJ;HK,HA,DA,H10;CJ,C3,DQ,CK;S5,S2,D6,CQ;D9,S9,DJ,C10;S8,H7,S7,H9;S3,D2,S6,S10"
1571051161,0,5,1,"C8,C4,C7,C2;S10,S2,S9,S5;CA,CK,DQ,C9;S3,SQ,SJ,SA;C6,DK,CQ,C10;DJ,D10,D5,D7;S7,S4,SK,S8;D4,D2,D6,DA;D3,HQ,D8,D9;H8,H7,H2,H9;C5,H6,H4,C3;HK,H5,H10,HA;S6,H3,HJ,CJ"
1571051161,0,0,1,"C4,C8,C7,C2;SK,S10,SQ,S9;DQ,D4,D2,DK;D5,D8,D6,DJ;S8,SJ,S6,SA;CQ,C9,C3,C10;S7,S2,HJ,S3;D3,CA,CJ,D10;H10,H9,H6,HA;S5,H8,H5,D7;S4,HK,CK,D9;H4,HQ,C6,DA;H3,H7,H2,C5"
