1571051228,0,4,3,"C4,CA,CK,C2;CQ,C8,C9,C3;H5,C10,CJ,C5;S4,HA,C7,C6;H10,HJ,H7,H8;DK,D3,D2,DQ;S5,S3,S7,S2;H9,H4,H2,H3;DJ,HK,D8,HQ;DA,SK,D5,D6;H6,D9,D10,D4;S10,SJ,S6,S8;D7,SA,SQ,S9"
1571051228,0,1,3,"C10,CK,C4,C2;SQ,S2,S7,SA;D9,D2,D10,D6;D4,DA,DQ,DJ;C6,CQ,C8,CA;SK,S9,D8,S5;S10,DK,S6,S3;H10,CJ,SJ,S8;H6,H7,H5,HQ;S4,HK,H8,H2;HA,C5,D7,D3;C9,H3,H4,C3;HJ,H9,C7,D5"
1571051228,0,1,3,"C9,CQ,CA,C2;D3,D7,DJ,D2;S8,S9,SK,S3;DQ,D5,D10,D6;SJ,SQ,H2,S5;HA,H6,H5,H3;D9,D8,CJ,DK;C3,C7,C4,C10;S4,C8,H10,C5;HJ,HQ,S6,H9;S10,H7,HK,D4;S7,H8,H4,DA;SA,CK,S2,C6"
1571051228,0,8,3,"CQ,C5,C8,C2;D5,DA,D10,D2;CJ,CK,C6,C10;DJ,S4,D3,D9;S7,S6,S5,S9;SA,SQ,S8,S10;C9,C4,DK,C7;SJ,SK,H4,S3;H10,HQ,H7,HJ;H6,H8,H9,HK;D8,D6,H5,D4;H2,HA,D7,C3;DQ,H3,S2,CA"
1571051228,0,14,3,"C9,C10,C5,C2;SJ,SQ,S8,S4;DQ,D10,D3,DJ;CQ,C8,C3,CJ;D5,DK,D2,D4;S7,S6,S5,S2;HK,C6,SA,C7;H8,H4,H3,HA;S10,HJ,D9,D6;H7,H2,H10,H9;H5,H6,SK,HQ;DA,C4,S3,CK;D8,D7,S9,CA"
1571051228,0,25,3,"C7,CA,C6,C2;D8,DK,DJ,D3;C5,D9,D6,D5;CQ,C3,C10,CK;SA,S5,S10,S7;D10,HA,D4,D2;H9,HK,H8,H6;DQ,HQ,H5,DA;C4,CJ,C9,C8;S8,SQ,S3,S4;S6,S9,SJ,S2;HJ,H3,H10,H4;D7,H2,H7,SK"
1571051228,0,0,3,"C9,CK,C6,C2;S6,S4,SA,S9;C4,CJ,CA,C7;D2,DJ,D9,D8;S7,S2,SK,S3;DK,D7,D5,D3;DQ,CQ,H4,D4;S5,SJ,S8,S10;DA,C8,HQ,SQ;H5,H3,HK,HA;H2,C5,H8,HJ;D10,C3,H7,H10;D6,C10,H6,H9"
1571051228,0,0,3,"C3,CQ,C9,C2;S10,S6,S4,S7;CK,C7,CJ,CA;D8,HK,S9,S8;H5,H3,H4,H7;H10,HA,H6,H9;D6,D10,C10,C8;C5,H8,HJ,H2;D2,DK,DJ,D4;D9,HQ,S5,D5;SQ,SK,D3,DQ;SJ,S3,C4,D7;SA,S2,C6,DA"
1571051228,0,4,3,"C8,CK,C7,C2;D7,D10,D5,D2;D8,DA,S8,D6;S9,C4,S4,SK;SA,D3,DJ,D4;HK,S10,DK,DQ;H8,H4,H6,H3;SQ,C3,C6,D9;H2,HQ,H10,H9;C10,C9,CJ,C5;S2,HA,S3,S5;SJ,H5,S7,H7;CQ,HJ,CA,S6"
1571051228,0,3,3,"CK,C8,CA,C2;C5,C3,C9,C10;S10,SA,S5,S6;SK,SJ,S4,S3;D6,D7,D10,D2;S2,SQ,S7,S8;H3,C4,C6,C7;H8,HK,H6,HA;DA,H10,H4,CJ;H5,H7,DQ,H2;D4,H9,DJ,D9;D3,D5,HJ,DK;S9,D8,CQ,HQ"
1571051228,0,1,3,"C7,C8,C3,C2;D6,D3,D4,D2;DJ,DA,DQ,DK;S6,S5,S4,SJ;C6,C4,C10,CA;H6,SA,S7,S3;D9,CQ,D5,D10;H4,H5,H9,H10;CJ,H8,C5,D8;HA,HJ,H3,HQ;SQ,H7,D7,HK;SK,C9,S10,S8;H2,S2,CK,S9"
1571051228,0,0,3,"C6,CA,CK,C2;D6,D10,DJ,D7;SQ,SJ,S5,S3;C8,C10,C3,CQ;H7,D2,DA,D4;S8,SK,S9,S4;HJ,H6,HK,H2;S2,C4,D9,C9;H10,D5,DK,D8;H3,S6,H4,SA;C5,H9,CJ,S10;H8,HA,H5,S7;C7,HQ,D3,DQ"
