1571051250,0,4,1,"C6,C3,C10,C2;S6,SK,SA,SJ;HK,CQ,C5,C4;S5,S4,S2,S10;D3,DQ,D9,D4;H3,H2,H10,HQ;H7,D10,H8,H4;DJ,D2,D7,D8;HJ,DA,HA,H9;CJ,S7,C8,CA;C9,DK,S9,D5;CK,SQ,H6,S8;H5,S3,C7,D6"
1571051250,0,15,1,"C8,CJ,C3,C2;D7,DA,S6,DK;SJ,SK,S2,S4;S7,S3,S10,SA;D4,D6,HJ,D2;H10,D3,D9,D5;DQ,C5,D10,D8;HQ,S8,S9,S5;CA,CK,C9,CQ;C10,H2,C7,SQ;H4,H3,H8,H7;HK,C4,HA,C6;H9,H6,H5,DJ"
1571051250,0,4,1,"C9,C6,CQ,C2;SK,SJ,S5,SA;C10,C4,CK,C7;D5,D8,D6,D4;S10,DJ,SQ,S3;D3,S2,DQ,D2;DK,S7,CA,D7;S8,S6,HQ,S4;H5,H2,H6,H3;HA,H4,H9,H8;H7,HK,S9,H10;D10,C8,CJ,HJ;DA,C3,C5,D9"
1571051250,0,0,1,"C3,C4,CA,C2;S4,S7,S5,SJ;DK,D9,D6,D7;C10,CJ,CK,C7;S2,SQ,SK,S6;S10,D5,D2,D8;C9,D3,H5,DA;H6,H10,H9,HQ;SA,D10,H4,D4;H2,H8,H3,H7;S9,HK,C6,HJ;C8,DJ,S3,CQ;C5,DQ,S8,HA"
1571051250,0,13,1,"C6,CK,S9,C2;DQ,D6,S2,DJ;D4,C3,DA,D2;HK,C4,C7,CJ;H5,H8,H3,H2;S8,S6,S4,S10;S3,S5,SK,S7;SQ,SJ,C9,SA;DK,CA,D3,D7;C5,D10,D9,D5;H7,CQ,HQ,H4;H10,H6,C8,HJ;H9,D8,C10,HA"
1571051250,0,4,1,"CQ,CJ,C4,C2;S3,S7,S5,S4;SJ,S8,S6,S9;C6,HJ,C5,C9;D4,DJ,D5,DK;D7,D9,D3,D6;SA,S2,S10,SQ;C3,C8,HQ,CA;C7,HK,DA,C10;H10,HA,H3,H7;SK,H8,D8,D2;D10,H2,H4,H5;DQ,H9,CK,H6"
1571051250,0,4,1,"C4,CJ,C10,C2;DA,D10,D5,DQ;S2,S5,S6,S3;D2,DJ,D3,D8;SJ,S10,SA,SQ;CQ,C7,C3,C5;S4,C9,S9,S8;C8,CK,DK,C6;HJ,HA,HK,CA;H2,H9,HQ,H8;H6,D9,SK,S7;D6,H5,H3,H4;D4,H10,D7,H7"
1571051250,0,8,1,"C5,C4,C7,C2;CA,C10,H10,CQ;HK,H3,H9,H6;D6,D8,DJ,D4;C6,S3,CJ,C8;SJ,S2,S8,S5;DQ,D5,DK,D7;S4,S9,S7,S6;H4,H7,H2,HJ;SA,S10,H5,SK;D3,H8,HQ,D9;DA,C3,SQ,HA;D10,C9,CK,D2"
1571051250,0,4,1,"CQ,C10,CJ,C2;SJ,S9,S10,SQ;D9,D6,D8,D7;D3,H10,D5,DK;D4,H9,D10,DJ;SK,SA,S8,S7;C6,C3,C4,C7;H3,H4,H5,H6;S5,S3,S2,S4;HA,H2,CK,H8;HQ,S6,DA,DQ;HJ,C5,C8,H7;C9,CA,HK,D2"
1571051250,0,13,1,"C10,C3,CA,C2;S3,S4,S9,S2;S6,S7,S5,S8;SQ,SJ,DJ,SA;CK,C8,C5,S10;DA,D3,D9,D2;D4,D8,H5,D5;H10,DK,C4,C7;H3,H7,H8,H9;HA,D7,C9,CQ;H2,H4,CJ,HQ;H6,HK,D10,C6;SK,DQ,D6,HJ"
1571051250,0,4,1,"CQ,CJ,C5,C2;SK,S5,SJ,SQ;S10,S3,S6,S7;C6,CA,C7,C10;DJ,D9,D5,D4;DK,D10,DQ,D3;D7,D6,D8,DA;S8,S2,S9,S4;SA,C3,HA,C8;H6,H10,H2,H4;HK,C9,HJ,CK;H7,D2,H3,C4;HQ,H5,H8,H9"
