1571051257,0,3,0,"CQ,C7,C3,C2;D9,DA,D4,D7;C9,CA,C5,CK;S10,SK,SJ,S4;C8,D8,C6,CJ;D5,S2,D2,D3;HA,D6,HK,DQ;H3,DJ,S8,DK;H4,H9,H2,H6;SQ,H10,HQ,H8;S6,S5,S3,SA;H7,C10,S7,HJ;H5,C4,D10,S9"
1571051257,0,7,0,"CQ,C7,CA,C2;S7,S10,S6,SQ;S2,SK,SA,S9;S4,H4,S3,S5;CK,C8,HA,S8;C5,C6,C10,CJ;H3,H6,H8,H2;DA,H9,HJ,H7;D6,DJ,D9,DK;D7,D8,D4,D10;HK,SJ,H5,HQ;C3,D2,D5,C4;C9,H10,DQ,D3"
1571051257,0,12,0,"CJ,C3,C7,C2;D9,DJ,H2,DA;D10,D8,C10,D7;S10,S3,SQ,SA;S7,S9,C6,S5;HA,SJ,S2,S6;D3,CA,DQ,D5;H6,H9,C9,D4;H4,H10,H5,HJ;C4,CK,SK,D6;H7,S8,H3,HK;HQ,C8,S4,DK;H8,CQ,C5,D2"
1571051257,0,6,0,"CJ,C7,C3,C2;D4,D5,DQ,D6;S4,S8,S3,S7;C10,CA,D8,CQ;S10,C4,DA,C5;HQ,SA,SK,S9;H4,H2,H3,HA;D10,C9,HK,CK;H10,H5,H9,H6;D2,D3,C8,D7;S2,DK,C6,SJ;SQ,D9,H8,DJ;S6,HJ,H7,S5"
1571051257,0,5,0,"CJ,C4,C3,C2;CQ,C6,C9,CA;DA,DQ,D8,D4;S5,S9,S4,SK;DK,D5,D3,D10;SQ,S8,S7,S6;D2,HA,DJ,D9;C8,CK,C7,C5;H9,HK,H4,HJ;D7,SA,S10,SJ;H6,H5,HQ,H10;D6,H3,S2,C10;H8,H2,S3,H7"
1571051257,0,7,0,"C7,C5,DA,C2;C3,D2,CQ,C10;D3,D6,D10,D9;D8,DQ,D5,DJ;S2,SJ,SA,S5;C6,C8,DK,CA;S4,S10,S8,S3;S9,HA,S7,S6;HK,H2,SQ,SK;H8,HQ,H4,H5;H3,H6,C9,H9;D4,H10,C4,H7;CJ,HJ,CK,D7"
1571051257,0,14,0,"C4,C5,C9,C2;CK,S7,CQ,C10;H6,D8,C8,C3;D9,D4,D6,DQ;HK,H4,H10,H5;SJ,S2,SQ,S4;H7,HJ,H9,H2;SK,S3,S9,S10;D7,SA,H3,HA;CJ,DA,D2,DJ;S8,D5,C6,C7;S6,D10,CA,D3;S5,DK,H8,HQ"
1571051257,0,23,0,"CK,C8,CQ,C2;DQ,D9,D5,D7;SK,SQ,S2,S6;D2,D6,DJ,D3;C10,CA,C9,C3;DK,HQ,D4,D8;H10,HJ,C6,C7;SA,SJ,S5,S7;S10,S8,S9,S4;H9,H2,H8,HA;H7,H6,H5,HK;CJ,C5,H4,D10;H3,C4,S3,DA"
1571051257,0,8,0,"C10,C5,C7,C2;D5,D10,DK,D4;D6,DQ,D8,D3;SA,SQ,S3,S6;C6,C3,C4,CK;S2,SK,S8,S5;CJ,C9,CQ,C8;S10,H8,S4,S9;DA,D2,HA,D7;H4,H7,H3,H9;SJ,H6,H2,HJ;DJ,H5,HK,HQ;H10,CA,S7,D9"
1571051257,0,1,0,"CA,C4,C3,C2;S2,SA,S4,SK;D5,DQ,DA,D7;D6,D3,D10,DK;D2,H6,D9,D4;S5,SQ,S9,S3;C9,HQ,S10,S7;S6,CJ,H8,SJ;HA,H9,H4,HJ;HK,C5,H2,H10;C7,H3,C10,H5;C8,D8,CK,C6;CQ,DJ,H7,S8"
1571051257,0,16,0,"CA,C5,C6,C2;SQ,S9,S6,S8;C10,C4,C8,CJ;DQ,D9,D3,D4;S5,SK,S4,S3;DA,D7,D10,D5;C3,C7,H5,C9;H3,H2,H7,H4;SJ,HA,S10,S7;H8,DK,D2,D6;HQ,H10,HJ,H6;D8,CQ,H9,DJ;SA,CK,HK,S2"
