1571051264,0,4,3,"CA,CJ,C3,C2;S4,S6,S5,S3;DJ,D7,DK,D3;S8,S2,S10,SJ;D8,D10,D9,D2;D4,S7,SA,SQ;C7,C6,C10,C8;SK,H8,H5,S9;H6,H7,H4,H2;HA,H3,H10,H9;DA,DQ,D6,D5;C5,C9,CQ,CK;C4,HK,HJ,HQ"
1571051264,0,17,3,"C10,C4,C3,C2;CA,CK,C7,C6;S9,CJ,C9,CQ;SA,C5,HQ,C8;DA,D5,D2,DJ;S10,S6,SK,SJ;H4,H9,H10,H8;S4,S8,HK,S7;D9,D7,DK,D8;H2,H3,HJ,H6;S3,D10,D4,D6;H7,S2,H5,HA;D3,DQ,S5,SQ"
1571051264,0,6,3,"CQ,C4,C6,C2;D6,DJ,DK,D10;D5,D9,D7,D4;S6,S9,S4,S2;SQ,SJ,S8,S5;CA,CJ,C8,C10;C5,C3,C9,C7;HA,DQ,D2,D3;H8,H9,H7,HJ;HK,H5,H3,H6;H10,S7,HQ,D8;SK,S10,SA,S3;DA,H2,CK,H4"
1571051264,0,1,3,"CA,C8,C3,C2;D3,D4,DA,D5;C7,C10,CJ,C6;S8,S3,S2,S7;SK,S9,S10,SQ;D9,D8,D2,D7;CK,C5,H7,CQ;C9,D6,SJ,SA;HQ,H4,H5,H3;H2,H9,H10,HK;DK,HA,S5,HJ;S6,H6,DQ,C4;S4,H8,D10,DJ"
1571051264,0,0,3,"C7,C4,CK,C2;C9,C6,C10,CJ;DK,D10,D5,DA;SJ,SA,SQ,S2;CA,S4,C5,C8;H6,CQ,H7,C3;HA,H9,H2,HK;S10,D2,D3,D6;HJ,H5,H10,HQ;H4,H3,D8,H8;SK,S3,S5,S7;D7,DJ,S6,S8;D4,DQ,D9,S9"
1571051264,0,19,3,"C8,CK,CQ,C2;D3,DJ,DQ,DA;S9,SJ,S2,SA;D2,D6,DK,D5;S4,S3,S5,SQ;C9,D4,S7,D10;HA,D7,HQ,D9;H3,HK,H5,H6;C4,CJ,CA,C3;H9,HJ,S10,H8;SK,C10,H10,S8;H4,C7,S6,D8;H2,C5,H7,C6"
1571051264,0,5,3,"C8,C5,CJ,C2;DQ,DJ,D5,D10;D3,DA,D7,D9;S10,S4,SJ,S7;HA,SK,S6,S8;C4,C6,CK,C10;H7,SA,H4,H3;C7,H8,H2,H5;HQ,D8,D4,D2;CQ,S9,HK,S3;H6,DK,C3,H10;HJ,S2,C9,SQ;H9,CA,D6,S5"
1571051264,0,0,3,"CK,C9,CA,C2;SA,S7,S10,S4;D7,D3,DJ,D8;D2,DA,DK,D6;D5,H6,D4,D10;HA,H3,H7,HJ;SK,S6,SJ,S3;CJ,C7,C3,C6;CQ,DQ,HK,D9;C10,S5,S8,S2;H5,C4,H2,H8;H9,C5,H4,H10;S9,C8,SQ,HQ"
1571051264,0,17,3,"C10,CA,C8,C2;D5,DJ,D6,D8;C7,CQ,C5,C3;D4,DK,D2,D3;C4,C9,S8,CK;S3,S2,SA,S5;SJ,S7,S4,S9;C6,HJ,DA,CJ;HQ,H7,H3,H6;HK,HA,SK,S10;DQ,D10,H8,H4;H9,SQ,D7,H10;H5,S6,D9,H2"
1571051264,0,0,3,"C8,C3,C5,C2;S9,S4,S7,SQ;CA,C10,C6,C4;SA,S10,S6,S8;DK,D5,S3,D2;D9,CQ,D10,D6;D8,D4,HQ,D7;D3,S5,DA,DJ;H4,H10,H5,H7;H8,H3,H6,HK;C7,DQ,CK,C9;SJ,S2,H9,HJ;CJ,SK,HA,H2"
1571051264,0,4,3,"CJ,C4,C5,C2;D8,D5,D4,D2;S8,S6,S7,SA;SK,S9,D3,S4;C9,CK,H5,CA;C8,C3,HQ,C6;H9,H3,H4,HJ;C7,SJ,S10,SQ;D10,DQ,D9,DA;D7,D6,S5,DK;H8,H10,S3,HK;HA,H2,C10,H7;H6,CQ,S2,DJ"
