1571051347,0,7,1,"C7,C4,C9,C2;CK,C6,CJ,C5;D8,DJ,DK,D3;H7,HA,C8,C3;S2,S5,SQ,SK;C10,H4,SA,CQ;H3,H5,HJ,H8;S6,S7,S4,S3;DQ,HK,H6,H2;S8,SJ,S9,S10;DA,H9,CA,H10;D10,D2,D6,HQ;D5,D7,D9,D4"
1571051347,0,18,1,"CQ,CJ,C10,C2;S8,S9,S7,S10;SQ,HK,SA,S4;D2,D8,D10,D3;H7,HQ,HA,H8;D6,D5,C6,D9;D7,DA,CK,D4;C7,C9,C3,C8;H2,H9,H3,H5;S2,SK,C4,C5;S5,H10,CA,S3;DJ,H4,DK,S6;DQ,H6,HJ,SJ"
1571051347,0,0,1,"CQ,C4,CK,C2;D6,D5,D9,DA;S4,H5,SJ,S10;S5,S2,H8,SK;D10,DQ,D8,D3;C3,C9,C7,CA;H10,DK,H6,H2;S8,S6,HJ,D2;S7,HA,H7,D4;CJ,C5,C10,C6;S3,SA,HQ,SQ;D7,C8,H9,HK;DJ,S9,H3,H4"
1571051347,0,0,1,"C4,CK,CA,C2;D8,HA,D10,D2;C6,CQ,C5,C10;C7,C8,HJ,CJ;H8,HQ,H9,H4;DQ,D6,S6,DA;D9,D3,S5,DK;SK,S9,S8,S10;H10,S3,D7,D4;S2,C3,H7,DJ;S7,SJ,H6,S4;H2,SA,H3,H5;HK,D5,SQ,C9"
1571051347,0,5,1,"C6,C3,C7,C2;S6,S2,S5,SA;D3,S9,SK,SQ;SJ,D5,S8,S3;DA,D2,DK,D6;C5,S4,C10,CA;C8,HA,D4,C4;H9,H4,H8,HJ;DQ,D10,C9,CK;DJ,S7,CQ,CJ;HK,H3,D8,D7;H6,H10,HQ,H2;D9,H7,H5,S10"
1571051347,0,0,1,"CK,C10,C6,C2;D2,D4,D9,D8;CQ,C3,C4,C8;S4,SA,S10,S2;H6,DK,D6,DA;H10,H9,H4,HK;H8,HQ,H2,HJ;S5,D3,CJ,D7;S9,D10,SK,D5;C5,SQ,S7,C9;SJ,HA,S8,H5;S6,H3,C7,DQ;S3,H7,CA,DJ"
1571051347,0,9,1,"CK,C4,CJ,C2;CA,C8,C10,C3;S9,SQ,S7,SK;DQ,D4,D10,D6;SJ,S5,S2,S6;DJ,DK,D8,D3;DA,D5,D2,D9;SA,S3,S10,S4;C6,C7,HJ,CQ;H10,H2,H5,H3;HQ,H4,HK,H9;C9,H6,H8,D7;C5,H7,S8,HA"
1571051347,0,13,1,"C10,C3,CQ,C2;S10,S2,S7,S4;D4,DQ,DK,DA;D10,D2,D5,D7;SQ,S3,SA,S9;C8,C4,C9,CK;C6,C7,C5,CA;D8,H6,HA,D3;H8,H9,H4,HJ;HK,H3,DJ,H7;S5,SJ,SK,S6;H5,HQ,D9,H2;D6,S8,H10,CJ"
1571051347,0,0,1,"C10,CA,C8,C2;S10,S5,SK,S6;D6,D2,DJ,D3;HK,C3,CQ,C6;D7,H6,D4,DQ;D5,SA,DA,D8;C5,CJ,S9,C4;H8,HQ,H3,H5;D9,H4,S7,D10;H10,H7,H2,HJ;DK,S8,S2,S3;SJ,HA,C7,H9;C9,CK,S4,SQ"
1571051347,0,13,1,"C7,C6,C3,C2;CJ,DA,CK,C9;S7,S8,SQ,SA;D3,D4,D10,DJ;C5,C10,H9,C4;D6,DQ,D9,D8;HQ,SJ,S2,S3;H10,HJ,D7,DK;S6,S9,D2,D5;H2,CQ,H6,H7;H3,CA,H4,H5;S5,S4,H8,C8;S10,SK,HK,HA"
1571051347,0,0,1,"CA,C10,C3,C2;D2,DQ,D7,D3;C5,C7,C6,C8;S9,SQ,S2,S8;S5,S10,HA,S3;DA,DK,D5,D6;H7,H2,H10,H3;C9,SK,S7,S4;H4,HJ,H5,H9;D4,D9,HQ,DJ;CQ,D10,SA,CJ;S6,SJ,HK,D8;H8,H6,CK,C4"
1571051347,0,4,1,"C10,C7,CK,C2;D6,D9,DQ,D8;CQ,C5,C3,C4;D10,DJ,DA,DK;S9,SA,SK,SJ;C6,C8,CJ,CA;S8,S5,S10,S6;D5,H8,S4,D3;H6,H4,D7,D4;HJ,H9,HK,H5;HQ,HA,C9,H7;S7,SQ,H3,D2;S3,S2,H2,H10"
1571051347,0,0,1,"C6,C8,CJ,C2;S9,S6,S8,S2;D10,C9,CQ,CK;D5,D7,DJ,D6;SK,S7,SA,S10;C4,C3,D3,C5;HA,C10,H7,CA;H6,D2,DA,D4;S5,S4,S3,SJ;D8,SQ,DK,DQ;HK,H5,H4,H2;H9,HJ,HQ,H10;H8,D9,H3,C7"
