1571051464,0,2,3,"S9,C4,C5,C2;D10,D6,D8,D4;D5,C3,CJ,CQ;SA,HK,C6,CK;S3,S5,SK,S2;S10,SQ,S4,S8;H2,H3,H4,H8;H5,H9,HJ,HQ;DQ,DA,D7,DJ;C8,DK,SJ,C9;CA,S7,D3,S6;H6,D9,C10,HA;H10,D2,C7,H7"
1571051464,0,11,3,"C3,CQ,C7,C2;DA,D7,D3,D6;S5,S3,S4,SA;C9,CJ,C4,C8;SK,S9,S6,S8;C5,C6,CK,C10;D10,D5,D4,DK;DQ,D9,H8,D2;HJ,H9,H2,H3;HQ,H10,H6,HK;H7,S10,H4,HA;S2,CA,SJ,S7;SQ,H5,D8,DJ"
1571051464,0,2,3,"CJ,C7,C6,C2;D3,D4,CK,D9;H10,HK,C9,C8;H4,H3,H8,H7;S8,SK,S9,SQ;S10,S7,SJ,S6;C4,DK,HA,C3;DJ,D10,HQ,C10;D6,D7,H2,DA;D8,S3,H5,CA;D2,D5,S4,DQ;H6,S2,H9,CQ;S5,SA,HJ,C5"
1571051464,0,1,3,"CQ,C4,C3,C2;D8,DJ,D2,D10;D3,D7,D5,DQ;C6,SQ,C10,C7;CA,CJ,D9,C5;S8,S2,S3,S4;S10,S5,H6,S9;H10,HA,H4,H5;DK,D6,D4,DA;H2,H7,S7,H8;H9,HJ,SA,HQ;S6,SK,C8,H3;CK,SJ,C9,HK"
1571051464,0,15,3,"CJ,C3,C10,C2;D10,D2,DJ,D5;S9,S10,SA,SJ;CA,C7,CK,CQ;HK,C9,C8,C5;HA,H9,H10,H8;S4,S6,SQ,S8;DA,D9,D3,DQ;H5,D8,DK,D6;D7,HJ,H3,H4;SK,HQ,S2,C4;H2,H6,D4,H7;S7,S3,S5,C6"
1571051464,0,0,3,"C8,CK,C9,C2;C5,CJ,C4,CQ;D8,D5,D3,D4;SA,S3,S2,S4;S5,S7,S9,SJ;HK,HQ,S8,S6;H7,H6,H4,H8;H10,H5,H3,H2;D6,D10,D7,DK;C7,DQ,S10,SK;D9,C6,DA,SQ;C10,C3,HA,CA;H9,D2,HJ,DJ"
1571051464,0,10,3,"CQ,C10,C3,C2;S7,SA,SK,S2;DQ,D4,D3,DK;D6,D5,DA,D7;CJ,C7,CK,CA;C4,C5,H10,C8;HJ,H6,H2,H4;D9,SQ,D2,D8;S6,HA,S5,S9;S4,H9,D10,S3;H3,H8,S10,H5;S8,H7,C9,HQ;SJ,HK,C6,DJ"
1571051464,0,5,3,"C7,CK,CQ,C2;S3,S9,HA,SA;H9,H3,H8,HK;D10,D5,D3,D6;DQ,DJ,DA,D8;S7,SK,D4,S5;D7,SQ,D2,D9;C9,C5,C4,CJ;H5,H4,H6,H7;C10,S6,S4,S8;CA,HQ,DK,SJ;H2,C3,C8,S2;HJ,C6,H10,S10"
1571051464,0,2,3,"CK,CA,C9,C2;DJ,D7,DK,DQ;SJ,S5,SA,S9;SK,S4,S3,S10;D10,D3,DA,D2;D8,D5,D9,D6;C10,C5,C8,CJ;HA,C3,H5,C4;H6,H3,H7,H2;HQ,S6,SQ,S2;H8,C7,HJ,H4;HK,S7,CQ,H9;S8,C6,H10,D4"
1571051464,0,0,3,"C8,CJ,CQ,C2;D7,D9,D6,DQ;DA,D4,D10,D3;C5,C4,SK,C6;SQ,S6,SJ,S9;C10,S5,C9,CK;S2,S4,SA,S3;H6,D8,DK,D2;H8,H9,H10,HQ;HA,HK,H7,H5;S7,C7,D5,DJ;C3,H2,H4,S8;CA,H3,HJ,S10"
1571051464,0,5,3,"C9,C10,C8,C2;S10,S5,S3,SJ;D8,D3,DK,D6;C4,D10,C7,CA;SQ,S7,HA,S9;D9,C5,C3,CJ;H2,H4,H3,H5;H8,CK,HQ,HK;H10,D7,H7,H6;DJ,S4,H9,DQ;DA,S2,S8,SA;D2,C6,S6,D4;D5,CQ,HJ,SK"
1571051464,0,0,3,"C6,C3,C7,C2;D8,DA,D2,D7;DQ,D10,D4,DJ;CQ,C5,S5,C9;SQ,SK,S2,SA;S3,S4,CA,S10;S8,D6,D5,D3;HQ,HA,H7,DK;H6,H2,H10,HK;CJ,H3,C10,D9;H8,H5,S6,H9;C4,S7,C8,SJ;H4,HJ,CK,S9"
1571051464,0,0,3,"CJ,C4,C6,C2;D2,D5,DJ,DA;S6,S10,SJ,S8;SQ,SK,S5,S2;C7,C5,DQ,C9;D4,DK,D8,D6;H8,CK,CQ,C10;H10,H3,HA,H7;H5,H4,H9,HJ;HQ,SA,H2,H6;S4,D9,D7,D3;HK,S9,C3,C8;S3,D10,CA,S7"
