1571051496,0,8,2,"C10,C8,C4,C2;DQ,D10,D2,D3;S3,SQ,S9,S7;H7,C3,CQ,CK;D9,D4,D6,D5;HQ,H5,HA,H3;S2,D7,CA,D8;SA,C9,S8,S4;H4,H9,C7,H8;DK,S6,DA,SK;DJ,S10,H2,SJ;C5,HK,C6,S5;CJ,H10,H6,HJ"
1571051496,0,0,2,"CA,C3,C5,C2;D6,D2,D4,D10;DK,D7,DJ,DA;S4,DQ,CK,D5;C4,HA,C9,C8;HQ,CJ,SK,C6;S5,S8,S6,S9;H4,HK,H8,H9;H7,CQ,S10,C7;SA,S3,H6,S2;S7,H3,HJ,D3;C10,H5,SQ,D9;SJ,H10,H2,D8"
1571051496,0,0,2,"C6,C8,CJ,C2;SJ,SQ,SK,S2;DA,D10,DJ,D5;CA,C9,C5,C10;DK,D2,D7,D8;D6,HA,D3,D4;H10,H2,H7,H3;C7,HQ,S7,CK;C3,H5,S10,CQ;SA,H8,H6,HK;S6,S8,S9,C4;S5,S4,H4,HJ;DQ,D9,S3,H9"
1571051496,0,25,2,"C7,CA,C10,C2;S5,S6,S3,S9;DQ,D3,D2,D9;C5,C4,CQ,C9;SK,S2,HK,S7;D10,DK,D6,DA;CK,D5,S4,SJ;HJ,CJ,SA,S8;D4,H7,D8,S10;H2,H4,H3,H5;C3,HQ,H6,HA;DJ,H9,H8,H10;C6,C8,D7,SQ"
1571051496,0,2,2,"C4,C8,CJ,C2;S2,S4,S5,SK;C9,SJ,C10,CQ;D10,D4,D6,DA;S9,SA,SQ,S3;D2,DK,C5,D8;C7,HK,C6,CK;HQ,D5,D9,D7;S10,H4,DQ,S8;H9,H5,H6,H7;H3,HA,H10,H2;S6,CA,D3,C3;H8,S7,DJ,HJ"
1571051496,0,19,2,"CK,CJ,C4,C2;SK,SA,S5,SJ;S4,S10,S2,S6;C10,C8,C9,CA;D6,DK,D8,D4;H9,D3,D2,DQ;HK,H4,H5,H7;C3,C5,C7,C6;H10,HJ,HA,H8;D10,S7,D5,DA;D9,S3,SQ,DJ;H2,H3,CQ,D7;H6,HQ,S9,S8"
1571051496,0,17,2,"C5,C6,C4,C2;S6,SJ,S5,S3;D4,D8,DK,D9;C10,CQ,CA,CJ;D5,DQ,DJ,D3;DA,C7,D2,D10;C8,C9,D6,CK;S7,S2,H7,S9;H4,H9,H10,HA;HK,H2,HQ,H6;H5,HJ,S4,H3;SQ,SA,C3,H8;S10,SK,S8,D7"
1571051496,0,0,2,"CK,C6,C10,C2;DQ,D5,D9,DJ;C9,C7,H4,C3;CQ,HJ,C4,C5;SA,SJ,S5,SK;H8,H9,H6,H5;D3,D8,D10,D7;HA,H10,H2,H3;S6,S2,C8,SQ;S4,S7,CA,S8;D2,D4,HK,D6;DA,DK,HQ,H7;S9,S10,S3,CJ"
1571051496,0,13,2,"CK,C3,C8,C2;D10,D7,D4,DK;SK,SJ,S10,S6;C6,C5,C4,C10;D9,D6,D5,D3;S5,S7,S3,S8;SQ,C7,CA,C9;S9,DA,D8,DJ;S2,HK,HA,SA;HQ,D2,H5,DQ;H10,H2,H9,HJ;H6,H4,H3,H8;S4,CQ,CJ,H7"
1571051496,0,5,2,"CJ,C7,CK,C2;D10,D5,D9,DQ;S2,S5,S8,SQ;DA,D2,D4,D7;CQ,C10,SJ,C5;C8,HA,C9,C4;S10,SA,S7,S4;H7,H9,H2,H3;S3,SK,S9,S6;H6,H10,H5,HQ;DJ,H4,DK,CA;D6,HK,D3,C6;D8,HJ,H8,C3"
1571051496,0,0,2,"C6,CK,CQ,C2;S9,S3,D4,S5;SK,H4,S2,S6;DJ,D10,D3,D7;C9,D9,C10,C8;C5,H7,H10,HJ;C3,SQ,S4,C4;D8,H5,S8,DQ;CJ,HA,S7,CA;DA,H3,SA,C7;D5,H9,HQ,D6;D2,H8,SJ,S10;H6,DK,H2,HK"
