1571051516,0,4,1,"C7,C6,CJ,C2;DJ,D5,D4,D10;D3,D7,D8,DK;S4,SQ,S2,S8;CK,C10,C9,CQ;C4,H6,C5,C8;H3,HQ,H2,H4;H9,S3,SK,S9;HJ,D9,HA,DA;HK,H10,S10,C3;S5,H5,SA,CA;S6,D2,S7,SJ;H8,DQ,H7,D6"
1571051516,0,0,1,"C6,CQ,CK,C2;D10,D5,D8,D4;D2,DQ,D7,D6;D9,SQ,D3,DK;S5,C9,C5,CJ;SK,S4,SA,S10;S9,S2,S6,S7;S3,HJ,C10,S8;HK,C7,C4,C8;H4,H2,H7,H5;HA,H10,H9,H3;DA,C3,H8,SJ;DJ,HQ,H6,CA"
1571051516,0,0,1,"C6,C10,C7,C2;D9,D3,DQ,D4;SK,SQ,S7,S5;D8,D5,DJ,DK;S10,S3,S6,S4;CJ,D7,D10,D2;HK,H9,HA,D6;H8,S9,CA,DA;H4,HJ,H6,H7;C4,HQ,H2,CQ;C9,H5,SA,CK;C5,SJ,S2,S8;H3,C8,C3,H10"
1571051516,0,0,1,"C9,C3,CQ,C2;C4,CA,C6,C10;S10,S2,SQ,S5;D10,D9,D8,D4;CK,S9,CJ,C7;HA,C8,SJ,C5;D6,D5,DJ,D7;HK,H7,H3,H6;H8,HJ,H10,HQ;SK,SA,S6,S8;H4,S4,H2,H5;DA,D3,S7,DK;S3,H9,DQ,D2"
1571051516,0,3,1,"CJ,C8,CK,C2;D3,DQ,DJ,D5;S4,SQ,SA,S6;SJ,S9,S7,S8;C3,C7,C10,C4;CA,CQ,S10,C9;C5,HA,H4,C6;HK,H7,H2,H10;D9,DK,D10,D4;H3,S5,HQ,H8;H9,D8,D6,D2;SK,D7,HJ,S3;DA,H6,H5,S2"
1571051516,0,1,1,"CJ,SJ,C3,C2;S10,C4,C6,C7;S9,CQ,C10,C9;D2,DA,DQ,D5;SA,S3,S4,SQ;D4,D7,DK,D8;D9,S2,H5,S5;HQ,SK,CK,S6;CA,C8,H10,C5;H4,HJ,H7,H6;H9,D6,S8,DJ;H2,H8,HA,D10;S7,H3,HK,D3"
1571051516,0,4,1,"C7,CQ,C3,C2;D3,D5,D6,DQ;CA,C10,C5,C6;DA,D10,DK,D8;SQ,S3,S9,S4;S5,H7,S8,S10;H4,HK,HQ,H5;H2,H9,H6,H8;S7,HA,S6,SK;CK,C4,D9,C8;D7,H3,DJ,D2;SJ,D4,S2,HJ;CJ,C9,SA,H10"
1571051516,0,1,1,"C5,CQ,CA,C2;CJ,C9,C7,C8;D6,DQ,DK,D10;C3,HQ,CK,C10;S9,HK,S5,S7;H9,H4,H2,H5;DA,D2,HA,D7;H10,S10,HJ,H3;D9,D3,SJ,DJ;SA,S3,SK,D5;H6,SQ,C4,D8;H7,S2,S8,H8;S4,S6,C6,D4"
1571051516,0,4,1,"C5,C3,C7,C2;D2,D6,D9,DQ;DJ,D10,DA,D7;SA,S6,S4,S10;CQ,S5,SQ,S8;CJ,C9,C8,C10;HQ,D3,DK,D4;H3,HJ,H2,H6;H10,HK,H8,H9;HA,CK,S7,S9;D8,CA,S3,SJ;H5,C4,H4,S2;H7,C6,D5,SK"
1571051516,0,4,1,"C3,DQ,C6,C2;S6,SK,S10,SA;D9,SQ,DA,D5;S8,S2,S7,S9;H8,H6,H10,SJ;H9,H7,H5,H3;D2,CJ,D4,D7;C10,CK,S4,CQ;HJ,C5,HK,H4;CA,D10,DJ,DK;HA,D8,C9,D3;C4,D6,H2,S3;C7,C8,HQ,S5"
1571051516,0,19,1,"C5,CK,C9,C2;S9,SJ,S7,S8;D9,D10,D7,D4;HJ,DA,D6,D5;DJ,D3,H4,DQ;CA,H10,C3,C10;H8,H3,CQ,HQ;HA,S2,S5,SA;DK,C6,C8,C4;S6,H2,SQ,S4;CJ,S3,H7,S10;D8,C7,HK,SK;D2,H6,H5,H9"
1571051516,0,2,1,"C4,CJ,C7,C2;D10,DK,DA,DQ;SK,S6,SQ,S4;C8,CK,C6,CA;D7,D5,D9,D2;D6,S7,C10,S9;HK,S2,HA,S3;D8,H6,H7,H3;HJ,CQ,H2,HQ;S10,D3,H5,H10;SJ,C5,H4,H9;S5,D4,C9,H8;SA,DJ,S8,C3"
