1571051557,0,0,2,"C5,C9,C6,C2;S6,SQ,S8,SA;DQ,D10,D8,D4;S3,H4,S7,S10;S2,H3,S9,SJ;CJ,CK,D3,SK;D5,D6,D7,D2;C10,H6,H8,H9;S5,HK,H5,HA;DK,H7,C7,H10;C3,HQ,C4,C8;DA,HJ,CQ,CA;S4,H2,D9,DJ"
1571051557,0,1,2,"C6,C7,C10,C2;S9,S7,S5,SQ;DK,D6,D7,DA;CJ,DQ,CK,CA;D10,D2,D3,D4;HA,C8,C9,C3;H9,H7,C4,C5;H10,H8,H5,HK;H4,S2,HJ,H3;SK,S4,S10,S6;D8,DJ,H6,H2;S3,SJ,D9,CQ;HQ,SA,D5,S8"
1571051557,0,1,2,"C4,C3,C10,C2;D10,D2,DQ,D5;S8,SK,S2,SA;SJ,S5,DJ,S10;C8,C9,CK,C6;D8,S6,HK,S3;H6,HJ,H4,H9;H7,H3,H2,HQ;H5,S7,D7,S9;H8,SQ,CQ,H10;D9,D3,DA,DK;S4,C5,CJ,D4;HA,C7,CA,D6"
1571051557,0,0,2,"C8,C10,C9,C2;S4,S9,S6,SJ;S10,S7,SQ,S2;SA,SK,C6,S3;DA,D3,D8,DQ;DK,DJ,D6,D5;CA,CK,C3,C4;S5,H3,HQ,S8;H2,H4,CJ,H8;H10,HK,D7,H6;D9,D10,C5,D4;H9,HA,CQ,H5;D2,H7,HJ,C7"
1571051557,0,0,2,"C9,C6,CQ,C2;C10,CA,CJ,C3;C7,H5,S7,C5;S9,S4,S6,S2;D5,H7,H9,H6;D7,DQ,DA,D6;CK,DJ,SK,C4;SA,D4,D8,D2;H8,H2,S5,H4;H3,D10,HK,HQ;D9,S10,S3,SJ;H10,HJ,D3,HA;DK,SQ,S8,C8"
1571051557,0,1,2,"CQ,CJ,C8,C2;C6,C10,C5,C4;S10,SA,S5,S7;S6,D7,CK,C7;D4,DJ,D5,D8;DQ,D6,DK,D10;H4,S9,C9,C3;SJ,S8,S2,S3;HA,D9,D3,D2;H7,H3,H5,H8;H9,H10,H2,HJ;S4,HQ,HK,SQ;CA,DA,H6,SK"
1571051557,0,0,2,"C7,C3,C6,C2;S10,SA,S7,SJ;DJ,DA,D2,D9;SK,S2,S9,S3;S8,H7,SQ,S6;H8,H3,HA,H9;HQ,CA,C9,C4;CQ,CK,HJ,C8;DK,H10,D8,CJ;D5,H2,DQ,C10;D4,D3,D7,D10;S4,S5,H5,C5;D6,H4,H6,HK"
1571051557,0,1,2,"C3,C10,CJ,C2;C7,C6,C8,C5;SA,SK,S3,S6;S4,SQ,S5,S9;D6,DK,DJ,D9;HQ,DA,D10,D5;HK,DQ,SJ,S7;S10,CK,CQ,CA;H6,H10,H4,H2;HA,H9,H5,H7;H8,H3,D8,HJ;S8,D3,D4,D2;D7,C9,S2,C4"
1571051557,0,4,2,"CQ,C9,C3,C2;D3,D10,D6,DK;S4,SK,S10,S9;CA,HK,C6,C7;HA,H10,H3,H8;DA,D4,D5,DJ;C5,CK,DQ,C8;HJ,C4,CJ,C10;S6,S5,SQ,S2;D8,D9,D2,D7;S7,S8,SA,S3;H2,H7,H5,H4;SJ,H9,HQ,H6"
1571051557,0,10,2,"C3,C5,CJ,C2;D5,SJ,S7,S8;CA,CQ,C8,C7;S9,H3,SK,S3;S4,SA,H10,SQ;D4,HJ,D10,D9;D6,D7,HQ,D3;S10,DQ,D8,DK;C6,C4,C9,CK;H7,H5,H4,H2;DA,S5,HK,S6;D2,HA,H8,C10;DJ,H6,H9,S2"
1571051557,0,5,2,"C3,C9,CQ,C2;S6,S4,S9,S2;DK,D9,D5,DJ;SQ,S10,DA,S7;SA,HQ,S8,SJ;CA,HA,CJ,C5;H8,HJ,H7,H3;H2,HK,H6,H9;S5,C8,C10,C7;D10,D2,D8,D6;SK,D7,DQ,D4;D3,H5,H10,S3;C4,H4,C6,CK"
