1571051564,0,0,2,"C4,C5,C7,C2;D3,D2,D5,D10;S4,D6,D9,DK;C10,C8,C9,CA;S5,D7,DJ,DQ;SA,D8,D4,DA;S8,SJ,S10,SQ;C3,S2,HJ,C6;CK,S3,SK,S6;H3,HQ,H5,H10;H7,S9,HA,CQ;H4,H6,H2,HK;H9,H8,S7,CJ"
1571051564,0,14,2,"CK,C7,CA,C2;S5,S3,S7,SJ;C5,C9,C6,C8;S9,SQ,HA,S10;H3,H9,H7,H8;S8,S4,CQ,SK;S6,HQ,H5,SA;D7,D5,D3,D8;C10,H4,C4,CJ;D2,DJ,D4,DK;D10,H2,D6,DQ;H6,H10,C3,S2;HK,HJ,D9,DA"
1571051564,0,14,2,"CA,C4,C10,C2;SA,S5,S6,S7;C8,C9,CQ,C6;C7,C5,CK,C3;S9,SQ,HA,S3;H9,HK,H6,H5;S10,SJ,DJ,S8;H7,H8,HJ,H10;H3,H2,D9,H4;DK,DQ,D7,DA;HQ,D2,D10,CJ;D3,D6,S2,D8;D4,D5,S4,SK"
1571051564,0,25,2,"C6,CQ,C9,C2;C8,C4,CJ,C10;S2,SJ,S4,S9;SA,S5,S3,S10;HQ,C5,C7,C3;HA,H2,H8,HJ;D6,DJ,D5,D8;DK,D2,D4,D3;H10,H5,H4,H3;H9,DQ,D10,DA;S6,CK,HK,CA;S7,S8,H7,D9;SQ,SK,H6,D7"
1571051564,0,9,2,"C8,C9,CA,C2;S8,SK,S7,S3;SQ,S4,S5,S9;S2,S6,SA,S10;D3,DQ,D10,D9;C5,CK,HQ,SJ;CQ,C4,C7,C10;DK,D7,DA,D2;H10,H2,HJ,H8;H6,H3,H5,H4;D5,H7,H9,HA;D4,C3,DJ,HK;C6,D6,CJ,D8"
1571051564,0,4,2,"C6,C3,CJ,C2;DK,D8,DQ,D5;S6,S10,S4,S2;SQ,SK,S3,S7;SJ,S8,C4,S5;CK,D6,C5,C8;D10,C7,H4,C9;D2,D3,HK,D7;D4,D9,H6,DA;HJ,C10,H3,CQ;H2,H5,H8,H7;H10,HQ,DJ,H9;SA,S9,CA,HA"
1571051564,0,3,2,"CA,CQ,CK,C2;DK,D6,D4,D10;C3,C4,C8,C5;DA,H5,D5,D7;CJ,C7,H2,C9;SJ,S10,S6,S3;H8,H9,H7,HQ;SQ,S7,S4,SK;D3,D9,SA,DQ;HA,H10,HK,HJ;DJ,C6,S9,D2;H4,S2,D8,H3;C10,S8,H6,S5"
1571051564,0,4,2,"C10,C4,C6,C2;SQ,S3,S9,S10;C8,CQ,C5,CK;C7,SJ,S8,S2;SK,S5,C9,S4;DQ,D6,D8,D3;D10,DK,D4,DA;D7,S6,DJ,D2;CA,CJ,SA,C3;D9,H9,HQ,D5;H5,H10,H6,H4;HA,H3,HJ,H7;H2,H8,S7,HK"
1571051564,0,0,2,"C8,CK,C10,C2;SK,S4,SQ,S2;C9,CA,C6,CJ;SA,CQ,D2,C7;D8,D6,D4,D9;DQ,HA,D10,D7;HQ,H9,H10,HK;S3,H8,S5,S7;C3,H6,D5,DJ;S9,HJ,H3,SJ;S8,H2,DK,S10;C5,H5,DA,S6;C4,H7,H4,D3"
1571051564,0,4,2,"C9,C7,C3,C2;D7,DA,D4,D2;S9,SA,SQ,SJ;CQ,C8,C5,C4;D10,DQ,DK,D9;C6,CK,C10,CJ;S6,S8,S2,S4;H3,D8,HQ,CA;H2,H7,H10,HA;H9,H8,S5,HJ;D5,HK,S3,H4;S10,H6,D6,DJ;S7,H5,D3,SK"
1571051564,0,4,2,"C9,CA,C8,C2;D3,D7,D9,D4;C5,CK,C7,CQ;D5,DJ,D2,D10;H9,S9,S6,S8;SJ,S3,DK,S5;S4,H6,S2,S7;HA,H5,HQ,H2;DA,H10,SQ,S10;H4,H3,HJ,H8;D6,SK,C4,D8;C6,HK,H7,DQ;C3,SA,C10,CJ"
1571051564,0,0,2,"C10,CJ,C8,C2;D4,DK,D2,D6;S2,SQ,SA,S5;SK,S7,DJ,S10;C7,HK,S4,S6;D3,D7,H3,S8;C4,D5,D9,D10;H2,H7,H8,H4;C3,CQ,CK,C6;HA,H9,H6,H5;S3,HJ,CA,HQ;S9,C5,D8,C9;SJ,H10,DQ,DA"
