1569977215,1,1,0,"C2,C9,C7,C8;DK,D4,D9,D2;D10,D8,D3,DJ;C4,CJ,CQ,CK;SQ,SK,S9,SJ;D7,S8,H9,DQ;HQ,H10,H3,HA;S2,S7,S6,S5;SA,H2,S3,H4;S10,H5,S4,C6;C5,C10,D6,HJ;H8,HK,C3,DA;H6,H7,CA,D5"
1569977215,1,4,0,"C2,CA,C10,C8;C3,CK,S4,CQ;S7,S5,SJ,SQ;DQ,D6,D7,D2;C6,H7,C9,C4;H10,HJ,H2,H9;S8,S2,S9,S6;DA,D5,DK,D3;C7,CJ,H5,H4;SA,SK,C5,H6;S10,D10,D8,HQ;S3,H8,DJ,H3;HK,D4,D9,HA"
1569977215,1,7,0,"C2,CA,CQ,C8;S6,S8,SJ,S9;C9,C7,C5,C6;S4,S2,H2,S3;SA,S7,H10,S5;CJ,C10,C4,D10;CK,C3,H4,D2;DA,D8,D3,D4;HA,H6,H5,H9;HQ,HK,D7,H3;SK,D9,S10,H7;D5,DJ,DQ,H8;SQ,D6,HJ,DK"
1569977215,1,5,0,"C2,CK,C3,C4;S7,S9,S4,SK;D2,D7,DQ,D5;S3,H6,SQ,S8;H3,H4,HK,HA;D9,D10,D3,D6;C5,CQ,CJ,C6;D4,DJ,DA,D8;S6,SA,C9,S10;DK,C10,H8,S5;C7,C8,HQ,H9;H7,H10,HJ,H5;SJ,S2,H2,CA"
1569977215,1,6,0,"C2,CJ,C9,C4;S9,S10,S5,S4;SQ,S2,SJ,S6;C6,C8,C7,CK;D3,D7,DA,DJ;D5,DK,D6,D10;D4,D8,DQ,D2;S3,SK,S8,H7;CA,C3,CQ,C5;SA,S7,H3,H2;H6,H5,H8,HJ;D9,HK,H4,C10;HQ,H10,HA,H9"
1569977215,1,0,0,"C2,CA,C6,C4;S4,HA,S6,S9;HJ,H6,HK,H5;SQ,DA,S2,S10;D7,DQ,D9,D6;C10,CQ,C3,CK;D8,D4,D10,C7;DK,D3,S8,CJ;C5,S7,H3,C8;H10,H2,H7,D2;H8,SA,H4,DJ;H9,SK,S5,C9;HQ,S3,SJ,D5"
1569977215,1,0,0,"C2,CK,C10,C7;C5,CA,C4,C9;D8,DQ,D7,D5;S9,SA,S6,SK;S10,S7,S5,SJ;D4,H6,D10,D9;HA,H7,H9,H5;SQ,S8,H10,S4;DA,HQ,DJ,D2;S2,S3,D6,H8;CQ,H4,C6,CJ;C8,D3,C3,H3;H2,HJ,DK,HK"
1569977215,1,18,0,"C2,CJ,CQ,C3;S8,S7,S6,S5;D10,D6,D7,D9;D3,D8,DQ,D5;SA,SJ,S10,HK;SQ,S3,SK,C5;C8,C10,CK,C4;S4,S2,H3,H2;DA,C9,DK,D4;D2,C7,H10,DJ;H7,H5,HA,H9;H4,H6,H8,HQ;CA,S9,HJ,C6"
1569977215,1,3,0,"C2,CJ,CQ,CK;DJ,D8,DK,D3;C8,HA,C7,C5;C3,S4,H3,C9;SA,SJ,S5,S9;S3,SQ,S8,H8;H6,H10,C4,H2;D2,S10,D5,D10;HJ,H4,C10,D4;CA,S2,C6,DA;H5,HQ,D7,DQ;S6,S7,D9,H9;SK,D6,HK,H7"
1569977215,1,13,0,"C2,CK,C9,C3;S7,S3,SJ,SA;D8,DK,D10,D5;DJ,D4,D3,D7;S6,SQ,SK,S5;C6,CJ,CA,C5;DQ,H8,D9,DA;HK,HQ,H10,H5;D2,S4,C10,S10;D6,S9,H7,H6;HJ,H4,C4,H9;HA,H3,C7,S8;H2,CQ,C8,S2"
1569977215,1,23,0,"C2,S10,CQ,C6;DA,DQ,D7,D10;D4,DJ,S2,D5;SK,SQ,S7,H6;S8,S6,S4,HQ;SJ,S9,SA,D2;C5,H4,CK,C10;H8,H10,H9,H2;D9,C9,DK,D6;H7,H5,HA,H3;D3,C8,C4,D8;CJ,S5,C7,CA;HJ,S3,HK,C3"
1569977215,1,1,0,"C2,C5,C6,CA;SQ,HJ,S4,S6;SK,CQ,S7,S8;C3,C9,D5,C10;DJ,DA,D2,DK;C8,HQ,HK,C4;D9,D8,DQ,H4;S2,S5,S10,H10;HA,H5,H9,H6;S9,S3,SA,CJ;H3,H8,H2,H7;D6,D7,CK,D10;C7,D3,SJ,D4"
