1569978207,1,0,2,"C2,C3,CA,CK;D8,D5,DK,D9;S7,S6,S10,S4;D7,S2,D6,D2;C9,C10,CQ,C7;CJ,C8,C5,D3;SK,S5,S9,SQ;SJ,S3,SA,DJ;H8,HJ,H2,H7;S8,H4,C4,D10;C6,HQ,D4,DQ;H10,H3,H6,H5;HK,H9,HA,DA"
1569978207,1,15,2,"C2,C7,C8,CA;CJ,C10,CQ,C4;S6,SJ,SA,S4;DA,DJ,D5,DQ;DK,D2,D3,D7;D8,D6,S10,S7;D9,D10,S8,S2;S9,SK,SQ,S3;S5,HK,C3,H4;H8,HJ,H9,H3;CK,H7,C9,H2;D4,H6,HQ,HA;C5,H5,C6,H10"
1569978207,1,0,2,"C2,CK,C9,C3;D8,DQ,D9,D7;S9,S10,S6,S3;C5,C8,C10,DK;CJ,D6,CA,S5;D2,D5,DJ,D4;C7,SK,CQ,DA;S8,SJ,SA,S4;S7,D10,SQ,C6;H6,H7,HK,H8;HJ,H10,H3,H5;S2,H4,H2,HQ;D3,HA,H9,C4"
1569978207,1,0,2,"C2,C7,CQ,C8;D9,DK,D10,D7;C6,C10,CK,SA;C5,C4,DA,CA;S4,S8,DQ,S3;D3,D8,D2,DJ;C3,D4,S7,C9;D5,D6,S5,S9;H3,HQ,HJ,HA;HK,H6,H9,H5;S2,S10,SQ,H2;SJ,SK,H10,S6;CJ,H8,H7,H4"
1569978207,1,16,2,"C2,C9,CK,C7;D2,DQ,D7,D5;C4,C5,C3,C10;S10,S2,S8,S7;SJ,SA,SK,SQ;DK,D9,D4,DA;CJ,CA,D10,C8;D8,H4,CQ,D6;DJ,HK,S3,D3;C6,H10,S9,S6;H7,H3,H9,H6;S4,H5,S5,HQ;HA,HJ,H2,H8"
1569978207,1,15,2,"C2,C6,CQ,C4;DJ,D9,DA,D7;S3,S6,SA,S5;C3,CK,S4,C5;DK,D5,D3,D2;S8,SK,C9,SQ;D8,SJ,D10,C8;CA,S2,S10,CJ;C10,HJ,HA,HQ;D4,D6,HK,H6;H5,H2,H4,H10;S7,H9,H7,DQ;S9,H8,C7,H3"
1569978207,1,15,2,"C2,C8,C10,CA;D3,D8,D9,D5;S7,SJ,S8,S5;D7,DK,D4,D2;SQ,S3,S10,S9;S2,S4,C4,C3;C9,CQ,C6,C5;SK,DQ,D10,S6;SA,DA,H5,CK;CJ,D6,H10,C7;HJ,H9,H8,HA;H6,H4,H7,HQ;H3,HK,H2,DJ"
1569978207,1,0,2,"C2,C9,C4,C10;S9,S6,S4,SQ;D2,D8,DA,DQ;D4,D7,D10,D5;C8,C3,CQ,CA;SJ,SK,SA,S3;D3,C5,D9,DK;S7,S8,CK,D6;S10,H10,S2,HQ;C7,CJ,C6,H8;HA,H9,H2,H5;DJ,H4,HJ,H3;H6,S5,HK,H7"
1569978207,1,5,2,"C2,CA,DJ,C5;DQ,D5,D10,D3;S5,SK,S9,S10;D8,CQ,DK,D4;CK,D6,C9,C3;SQ,DA,SA,S3;C7,D2,C6,S7;C10,D9,C4,S2;C8,HJ,S6,H10;S4,H2,SJ,HK;D7,HQ,H6,H4;H8,H9,H3,S8;HA,H5,CJ,H7"
1569978207,1,2,2,"C2,C9,CA,C10;S10,S8,S6,SK;DA,DK,DQ,D9;D5,D10,DJ,D8;SA,S2,S3,C3;CJ,C6,C5,CK;D7,C7,S5,D4;D3,SJ,C8,S4;D6,H10,H7,H9;D2,H5,S9,H3;H4,HQ,S7,H2;HA,SQ,HK,HJ;C4,CQ,H6,H8"
1569978207,1,0,2,"C2,C8,CA,CJ;DA,D4,D10,D2;CQ,C6,C4,C7;C5,C10,CK,S2;S8,S9,S5,S6;DK,DJ,D8,D7;S10,SA,SJ,S4;S7,SQ,D5,C9;SK,H9,H4,HQ;D9,D3,HK,H3;S3,HJ,H7,H5;H2,D6,H6,HA;H10,H8,DQ,C3"
1569978207,1,17,2,"C2,CK,C5,C9;D3,D4,DJ,D5;C10,CJ,CA,C8;S4,S5,S8,S3;S2,SA,S7,S9;D10,D7,DK,D2;SQ,D6,SJ,S6;HA,H7,HQ,H2;H4,H3,H10,C3;DA,DQ,H8,C7;C4,CQ,HJ,C6;D8,HK,H9,SK;D9,H6,H5,S10"
1569978207,1,0,2,"C2,C5,CQ,C4;D8,D10,D3,D6;S10,S4,SA,S5;D2,D5,DJ,DK;C10,CJ,CA,C9;C3,C6,S6,C7;S2,SK,D9,SJ;DQ,DA,SQ,C8;H2,H9,HQ,H5;S7,S9,S8,H10;HA,D4,H4,H3;S3,CK,H7,HJ;HK,D7,H6,H8"
1569978207,1,4,2,"C2,CJ,C4,CA;SJ,S6,S7,S10;C8,CK,D7,C7;D4,DQ,DJ,D5;D9,D8,D2,S2;DA,D6,DK,SK;D10,SA,C6,C3;D3,S5,S4,S3;HQ,H3,H10,H5;H7,HK,SQ,H8;S8,S9,HA,H2;C9,C5,H4,H9;C10,CQ,H6,HJ"
