1569978221,1,2,3,"C2,C3,C4,C8;DQ,D8,D3,D7;D6,DJ,DA,DK;S9,S6,S2,S5;S8,SK,S7,D10;SA,CA,D5,SJ;CJ,C7,CK,S3;D2,S10,D4,D9;SQ,H3,HQ,H2;S4,C6,H6,H4;HA,HJ,HK,H5;H8,C9,C5,H10;H7,H9,CQ,C10"
1569978221,1,19,3,"C2,C7,C6,C5;D5,DA,D10,D6;S6,S4,S2,S9;CA,DJ,C9,S7;CQ,DK,C8,S10;CK,D4,CJ,S3;D7,D8,HK,H3;D9,S8,H5,DQ;H7,H2,HQ,HJ;H8,H10,C3,HA;SQ,S5,D3,H6;SK,SA,C4,H4;SJ,D2,C10,H9"
1569978221,1,3,3,"C2,C6,C8,C4;D4,DQ,D3,D9;DJ,D10,DK,D2;S7,S2,S4,S8;C5,CJ,C3,CQ;CK,S6,D8,C9;SK,SA,S3,S9;S5,S10,HA,H2;D5,H4,D7,HQ;H8,H7,HK,H6;H3,SJ,CA,H9;H5,SQ,C10,HJ;D6,DA,C7,H10"
1569978221,1,0,3,"C2,C3,S3,CQ;DA,D6,D9,D7;C9,C10,S9,CJ;SK,S8,S2,SQ;DK,D5,D2,DJ;SA,S7,S6,S4;D3,S5,DQ,C4;D8,C8,S10,C6;D10,SJ,CK,C5;D4,H9,HJ,C7;H3,HK,H5,HQ;H4,HA,H2,H10;H6,H7,H8,CA"
1569978221,1,0,3,"C2,CQ,C10,CA;SA,S2,S9,S5;SK,S7,S8,SJ;S3,S6,S4,D10;D4,D8,D3,D6;DQ,D5,DA,D9;DK,DJ,D2,C6;SQ,C9,C4,CJ;C8,C7,H6,HK;D7,C5,H2,H9;S10,C3,H5,H10;CK,H8,H3,H4;HA,HJ,H7,HQ"
1569978221,1,4,3,"C2,CJ,C5,C3;D4,D10,D9,D7;S7,SA,DK,SK;S4,D6,SJ,S10;C7,CQ,C6,CK;S5,S9,D2,S2;D8,DJ,DQ,D3;CA,C9,C10,C8;DA,D5,C4,SQ;HK,HQ,H2,H6;H8,H4,H7,H9;S3,S6,H3,HJ;H5,HA,H10,S8"
1569978221,1,18,3,"C2,C5,C10,C4;S3,S10,S6,SA;SQ,S8,S9,SJ;C3,CJ,CQ,C6;D2,D7,CA,D9;C7,D8,C9,DK;S2,SK,D3,CK;S7,S4,D10,D5;S5,HJ,D6,H9;H4,H6,HQ,H8;H10,HA,H3,D4;H7,HK,DQ,C8;H2,H5,DJ,DA"
1569978221,1,0,3,"C2,CQ,CA,C6;D3,D5,DK,D4;CJ,C4,S7,C7;SJ,S2,S4,S8;S3,C3,S9,S5;DQ,D6,DJ,D2;D10,D8,S6,D9;D7,DA,S10,C8;C9,SA,HQ,CK;SQ,H2,H4,H3;SK,H9,H8,C10;HK,H5,H10,HJ;H7,H6,HA,C5"
1569978221,1,3,3,"C2,CQ,C10,C6;S2,SQ,SA,SJ;D7,D8,D6,DJ;CK,CJ,C8,C9;S3,S9,S6,SK;S4,S7,S10,S8;D4,DK,D3,DA;D2,DQ,D5,D9;CA,HJ,C3,C5;D10,H6,S5,H10;H9,H7,H3,HA;HK,H2,C4,H8;H5,HQ,C7,H4"
1569978221,1,4,3,"C2,C4,C9,CQ;CK,SJ,C10,C7;DK,D5,D4,D2;C5,S7,S4,CA;D10,DA,D6,D8;S9,S2,S10,C6;C3,S3,S5,C8;D9,S8,DJ,DQ;S6,H3,SA,HQ;H9,H6,HK,H2;SQ,H5,SK,H7;HA,HJ,H10,D7;H4,H8,CJ,D3"
1569978221,1,13,3,"C2,C9,CK,CQ;C10,C4,CJ,C7;SQ,S6,S10,SA;D6,DA,D4,D3;DJ,D8,S4,D7;DK,D10,C5,DQ;S7,S8,S5,S9;C3,D5,SK,C6;SJ,S2,S3,CA;HJ,H9,H3,H6;H7,HQ,HA,H4;D2,H8,H5,H2;D9,H10,HK,C8"
1569978221,1,6,3,"C2,C7,CA,C3;C6,S3,C4,CK;SJ,S7,S8,S4;SQ,S5,S10,S9;D5,D4,DQ,D8;S6,SA,SK,S2;D9,D6,DJ,D2;C8,D3,C10,C9;C5,HK,CJ,CQ;H7,H5,H10,HA;H2,H6,H4,HJ;H9,H8,D7,D10;H3,HQ,DK,DA"
