1569978232,1,7,3,"C2,C9,CA,C6;D2,D10,DQ,D8;S9,SJ,S10,S4;D5,D7,S3,DK;S5,S7,SK,S6;CJ,C8,C5,C10;S2,S8,SA,DJ;D6,D4,C3,D9;CK,H7,C4,H10;CQ,H9,H2,HQ;C7,H3,HJ,D3;H6,H8,H5,HK;DA,HA,SQ,H4"
1569978232,1,4,3,"C2,C4,C8,C6;D8,D3,D6,D10;DA,D2,DK,DJ;S4,S2,SK,S6;S7,S9,C10,S5;D7,DQ,SJ,D4;CJ,CQ,C7,C3;D5,D9,S10,C5;C9,CA,SA,S8;SQ,HQ,H7,S3;CK,HK,H2,H5;H8,H10,H9,H3;HJ,HA,H4,H6"
1569978232,1,18,3,"C2,C5,C10,C4;CJ,C9,DQ,C8;S3,S10,S6,SK;D6,D5,D10,D4;D9,DA,DK,D7;D8,CK,DJ,SJ;D3,S2,SQ,C3;D2,S7,CQ,CA;S4,C6,S5,SA;H4,HK,H6,H5;HQ,H2,H10,H9;H8,S8,HA,H3;S9,H7,C7,HJ"
1569978232,1,4,3,"C2,C3,C8,C10;D7,DJ,D8,D5;S6,C7,S10,S4;C6,D3,C4,C9;D6,D10,D9,D4;D2,SK,DA,DK;C5,CK,DQ,CJ;SQ,H4,S2,S5;S9,H10,SJ,S3;H7,HA,HK,H2;H3,H5,HJ,H6;S8,SA,H8,S7;CA,CQ,HQ,H9"
1569978232,1,6,3,"C2,C8,C9,C3;SQ,S10,S4,S2;DK,DJ,D8,D3;D2,D4,D5,D6;S5,SA,S9,C10;CJ,C7,C5,C6;D10,S6,D7,S8;DQ,S7,DA,SK;D9,CA,SJ,C4;CQ,H4,H3,HJ;CK,H7,HA,H9;H2,H5,HK,H6;S3,HQ,H8,H10"
1569978232,1,10,3,"C2,CJ,C8,C5;DJ,S3,D9,D5;D8,SK,D2,DA;S5,S7,S8,S9;D7,D6,C3,D4;SA,S10,SQ,S4;C10,C4,CA,C9;S6,SJ,S2,D10;C6,H10,C7,CQ;CK,HJ,DK,H6;H5,HQ,HA,H8;D3,H4,HK,H9;DQ,H3,H2,H7"
1569978232,1,0,3,"C2,C6,C10,C8;S10,S6,S8,SK;C3,C5,CJ,CK;D2,D10,D4,DQ;C7,C4,D8,DK;C9,D3,SA,D5;CQ,D7,SQ,D9;DJ,DA,D6,S7;SJ,S3,HA,S2;S4,S9,H4,S5;H2,H3,H10,H7;HQ,H8,H5,H9;H6,HJ,HK,CA"
1569978232,1,4,3,"C2,C6,CQ,CA;DK,DJ,D2,D6;SQ,S8,S9,S3;CJ,C8,C5,C4;D7,D5,DA,D3;SA,S10,S5,S7;D8,D4,C7,D10;SJ,S6,S4,SK;CK,C9,HJ,C10;S2,H8,H10,H9;D9,DQ,H6,H7;H3,H2,HA,H4;H5,HQ,HK,C3"
1569978232,1,0,3,"C2,CJ,C10,C6;S9,S3,S8,SJ;D4,D5,CA,DK;D10,DA,C3,S7;S5,SK,S2,D2;C7,CQ,C5,C9;C8,CK,C4,D8;S10,H2,SQ,D7;D9,HQ,H5,D3;DQ,HJ,S6,DJ;D6,H7,S4,HK;SA,H10,H3,H4;H8,H6,HA,H9"
1569978232,1,17,3,"C2,C4,CK,C7;DQ,D4,D9,CQ;C8,DA,C3,C5;DJ,D7,D10,S6;D2,DK,D6,CA;D5,SA,D3,SQ;S5,S4,SJ,S8;D8,C10,SK,S10;S9,H3,S2,S3;S7,H4,HA,H8;C6,HQ,CJ,H10;HJ,H7,H9,HK;H2,H5,H6,C9"
1569978232,1,18,3,"C2,C3,CA,C9;S3,SK,SJ,S5;D8,D4,D10,DK;SA,S7,S9,S10;CK,C6,C8,S2;S8,DA,C5,S6;C7,C10,CJ,D5;D9,DJ,D7,DQ;D2,D3,C4,S4;CQ,HK,SQ,H5;D6,H6,HQ,H2;H8,HA,HJ,H3;H9,H10,H4,H7"
1569978232,1,6,3,"C2,CK,C5,CA;D10,D9,D2,DK;C6,C9,DA,CQ;SJ,S6,S9,SQ;S5,S3,S7,D7;D4,D5,D3,C8;DQ,S4,DJ,C4;S10,SK,SA,C10;S2,HQ,H2,H5;S8,HA,HJ,HK;H3,H10,CJ,H4;C7,H6,D8,H9;C3,H8,D6,H7"
1569978232,1,0,3,"C2,CQ,C9,C8;S5,S7,SJ,S10;S3,S4,SA,S2;DJ,D5,DQ,D8;C5,C4,C3,C10;D2,DA,D10,DK;SK,S6,S9,S8;CJ,C6,D4,D7;CK,CA,D6,D3;D9,H3,C7,H4;SQ,HK,H7,H8;HQ,H9,H5,HA;HJ,H6,H2,H10"
1569978232,1,4,3,"C2,C4,CQ,C9;D7,DK,D6,D8;D9,D3,DA,D5;CK,CA,CJ,C10;SK,S5,S9,SJ;S4,S7,S6,SA;C7,S2,C5,C6;DJ,D4,S3,DQ;S8,S10,H6,C3;D10,HA,H7,D2;C8,H4,HK,H10;H8,HJ,H3,H9;H2,HQ,SQ,H5"
