1569978236,1,6,0,"C2,CK,C3,C7;S3,S2,S10,S5;D2,D3,D9,D5;D6,DQ,D8,CA;S7,SK,S6,S8;D7,SA,C6,C9;DK,CJ,C5,C4;DJ,SJ,C8,H7;D10,S4,C10,H9;D4,S9,CQ,H2;DA,H3,HQ,H4;HK,HA,H6,H10;H5,H8,SQ,HJ"
1569978236,1,2,0,"C2,CJ,CA,C3;D9,D8,D5,DA;SA,S8,S4,S5;S6,D10,S2,SQ;D2,D3,DJ,DK;SJ,C5,SK,S9;S10,D4,S7,C7;C8,CQ,C6,D6;D7,DQ,CK,H10;HK,H6,HJ,H4;C4,H2,C9,HA;H5,H9,HQ,H3;H7,S3,C10,H8"
1569978236,1,26,0,"C2,C8,C9,C10;S8,S9,S3,SJ;D7,D5,D4,D3;DK,D10,D6,DQ;CK,CA,C3,CQ;SA,S4,S7,DA;S10,SQ,S2,C5;C6,SK,C4,CJ;D9,D2,S5,D8;H5,H6,H7,H10;DJ,H8,H3,H2;C7,H4,HA,HQ;S6,HK,HJ,H9"
1569978236,1,0,0,"C2,C8,CQ,C4;D7,D2,D6,D4;SA,S8,SJ,SQ;CK,C5,CJ,C6;DQ,D10,D3,DA;S10,S6,S5,S9;SK,S7,C3,DK;D5,S2,D9,D8;C9,H7,S3,DJ;C10,H10,H5,H3;CA,H9,H8,H6;C7,H4,HQ,HJ;HA,HK,S4,H2"
1569978236,1,9,0,"C2,C6,C10,CJ;D9,D6,D8,DQ;C5,C3,C7,C8;SK,S4,S8,SQ;SJ,S5,S3,SA;CK,D3,D2,CQ;C4,D7,DJ,C9;D4,D10,S9,DK;CA,S10,S6,D5;DA,H4,HJ,H5;H10,HK,HQ,H6;H2,H7,HA,H8;H9,H3,S2,S7"
1569978236,1,0,0,"C2,CQ,CK,C10;C7,C4,C6,C9;D10,D4,D9,DJ;S7,SK,SA,S8;SJ,S5,D5,S9;SQ,S3,DK,S4;D7,S10,D2,D8;C5,S2,CJ,C8;S6,H9,C3,DQ;D6,H4,HQ,DA;HJ,H6,H7,H2;CA,H8,H10,HA;H5,HK,D3,H3"
1569978236,1,0,0,"C2,CK,C8,C9;D8,DK,DA,D7;C6,SA,C10,CA;D9,D10,D2,D5;S2,S5,SK,S8;CJ,CQ,D6,C7;S9,D3,SQ,S10;DQ,H10,DJ,SJ;S6,H4,C3,S4;D4,H6,H8,S3;C5,H9,H3,C4;H7,H5,H2,HK;S7,HQ,HJ,HA"
1569978236,1,7,0,"C2,CA,C3,C8;D7,DJ,D9,DA;D4,D6,D5,D3;S3,SJ,SQ,S9;C5,C4,C9,CJ;S10,S8,S6,S5;D2,D10,S4,DK;CK,DQ,C10,CQ;C7,S7,SK,C6;D8,HQ,H4,S2;HK,H8,H2,H5;H6,H10,H3,H9;HA,H7,SA,HJ"
1569978236,1,17,0,"C2,CK,C10,C7;D6,D10,DA,D9;CJ,C9,C3,C5;S10,S5,S6,D4;C6,D3,CA,DQ;D8,D5,D7,SK;SA,S3,DJ,S4;SQ,SJ,D2,S8;S7,S9,DK,S2;H6,H7,H4,H10;HQ,H8,HJ,HK;H2,H5,H9,CQ;H3,C4,C8,HA"
1569978236,1,9,0,"C2,C8,C10,C6;DJ,DQ,D8,DA;C4,CQ,CA,CK;D7,D9,D5,D2;SA,S6,S2,S3;S4,S8,S10,S7;C9,CJ,C3,C5;SJ,S9,SQ,C7;D3,D6,SK,D4;DK,H3,H10,HK;D10,H9,H7,HA;S5,H4,HJ,H5;H2,HQ,H6,H8"
1569978236,1,4,0,"C2,CQ,C9,C8;D8,D9,D6,D2;S7,SQ,S10,SK;S6,S4,CJ,SA;DJ,C6,D4,D10;CA,CK,C7,C5;C10,C3,C4,D7;S2,S5,SJ,DA;S9,S8,HQ,S3;D5,H2,H3,D3;DK,HK,HJ,DQ;H4,H9,H10,H5;H8,H7,HA,H6"
