1569978250,1,13,3,"C2,C3,C5,C10;SK,SJ,S7,SA;D10,D5,D6,D7;S10,S9,S3,S5;CK,CQ,CJ,C8;SQ,CA,S6,S4;D8,DA,C7,DK;DJ,C6,D9,D3;H5,HQ,H10,H8;H2,S8,H6,HA;H4,D4,H7,H9;C9,HJ,D2,C4;HK,H3,DQ,S2"
1569978250,1,13,3,"C2,C3,C10,C4;D3,D2,D9,D8;S6,S5,SJ,SK;DJ,D5,D4,DK;C7,C8,CK,C5;D6,S10,DA,D10;SQ,S8,S7,S2;CQ,CA,DQ,SA;S3,S9,C9,HQ;D7,H2,H10,H7;S4,H9,HA,H6;H3,CJ,H5,HJ;H4,HK,C6,H8"
1569978250,1,4,3,"C2,CQ,CA,C4;S7,SK,S8,S4;DK,D6,DJ,D2;D8,D7,D3,D5;D9,D10,S3,D4;SJ,S9,SA,S6;DA,C6,SQ,C10;DQ,C9,C7,C5;C3,C8,S2,CJ;H4,H2,H10,H8;HJ,S5,H5,HQ;H9,S10,H6,H7;HA,CK,HK,H3"
1569978250,1,0,3,"C2,CK,D4,C4;D9,D5,D6,DJ;S7,S4,S8,S9;SA,SQ,S6,C8;D8,D2,D7,D3;DK,CJ,SK,DQ;D10,C3,S10,DA;C7,CA,C10,S2;C9,C6,S5,CQ;C5,SJ,HK,HJ;H6,H9,H5,HQ;H3,H10,H7,H8;H4,S3,H2,HA"
1569978250,1,0,3,"C2,C3,C6,C5;DK,D5,D6,D4;DJ,D2,D9,DQ;CK,CA,S6,C8;C9,SQ,C10,CQ;S2,SJ,S5,S8;S3,S4,SA,C7;D7,DA,H10,H8;SK,H7,S10,HK;D10,H9,D8,H4;D3,HJ,H2,H3;S7,H6,S9,HQ;C4,H5,HA,CJ"
1569978250,1,0,3,"C2,C8,CJ,C9;D3,DA,D9,D7;S6,S2,S10,S4;C3,CA,C6,DJ;SQ,S3,SJ,S8;D2,D6,D4,D10;SK,DQ,SA,S7;C7,DK,C10,C5;CQ,S9,CK,D5;C4,H8,H10,D8;S5,H9,HK,HQ;HJ,H2,H5,HA;H6,H4,H7,H3"
1569978250,1,22,3,"C2,C5,CJ,C6;S8,SQ,S7,S4;DJ,D5,D10,DK;C8,C4,CK,C7;D6,D3,DQ,DA;SK,D8,S9,S10;S3,CA,SA,S2;C3,C9,C10,D9;CQ,SJ,D7,S5;H6,H8,H4,H9;H10,H5,HK,H2;HA,D4,HQ,H3;HJ,D2,S6,H7"
1569978250,1,0,3,"C2,C4,C8,C10;D3,DK,D2,DQ;C6,CQ,CJ,CK;S10,S9,S8,SQ;D8,D7,D5,DJ;S4,D4,SJ,S2;D6,D10,SA,D9;C5,C7,S6,C9;DA,S7,SK,C3;S3,H2,H3,H4;S5,H10,HA,H8;HJ,HK,H7,H9;CA,HQ,H6,H5"
1569978250,1,20,3,"C2,C7,C10,C9;D4,DJ,DK,S2;S10,S4,S3,SA;CJ,C4,CA,C6;S5,S8,S7,SK;D3,D2,S9,S6;C3,DQ,SJ,C5;C8,D8,D5,H10;CQ,D6,D9,H7;CK,SQ,D7,H9;H5,HJ,H3,HA;H4,HQ,H2,HK;H6,DA,D10,H8"
1569978250,1,22,3,"C2,CA,C5,C10;S2,SQ,S7,S5;D5,D9,D2,DJ;C9,C3,C4,CK;S10,DA,SK,S9;DQ,D7,S6,D4;DK,D10,SA,S4;S3,D3,SJ,S8;H10,H9,HA,H4;D8,D6,H5,C8;CQ,C6,H2,C7;HQ,H3,H8,HK;H6,CJ,H7,HJ"
1569978250,1,4,3,"C2,CQ,C7,C4;S9,SJ,S7,S3;D4,DQ,DK,D9;C9,C8,C3,CA;D5,D2,D3,D8;DA,S5,D7,D6;C6,S4,C10,CK;S10,SQ,S8,S2;H4,H5,H7,H6;SK,SA,S6,HK;HQ,H2,C5,H8;DJ,H3,D10,HJ;HA,H10,CJ,H9"
1569978250,1,0,3,"C2,C6,CK,C5;D7,DK,DA,D8;SQ,S8,S2,S6;D6,D3,D5,DQ;C7,C10,C3,CA;CJ,C8,C4,D4;D2,S10,DJ,D9;S7,SA,S3,SJ;S5,S4,SK,D10;CQ,H3,H9,H8;C9,HK,H5,HJ;S9,H6,H2,H4;HA,H10,H7,HQ"
