1569978264,1,4,0,"C2,C6,CK,C3;D5,D8,D4,D7;CJ,C4,C10,C5;DA,D6,DJ,D9;SK,SJ,S6,C9;S5,S8,S9,C7;D3,HQ,H3,D10;CA,HJ,H4,DK;CQ,S3,HK,H5;C8,SA,H9,H7;SQ,S4,H10,S10;H6,S7,H8,DQ;HA,S2,H2,D2"
1569978264,1,8,0,"C2,C4,C5,C3;D6,DA,D2,D5;S5,S4,S10,S3;S6,S7,SQ,SA;CJ,CQ,C10,C7;D9,DQ,DK,C8;D7,D3,D8,C6;S9,S2,DJ,C9;D10,H7,D4,HQ;SJ,SK,HK,HA;CK,H3,H2,H5;CA,H6,H4,HJ;H9,S8,H8,H10"
1569978264,1,2,0,"C2,CA,C10,C4;D9,DQ,D2,D10;CJ,C9,C3,CQ;C7,CK,C6,SJ;SK,S8,S2,S6;S5,S10,S3,S7;D7,D3,D6,C5;D5,D8,DK,C8;D4,H3,DJ,H8;HQ,HJ,HA,H6;H2,H5,SA,H7;H9,HK,S9,H4;SQ,DA,H10,S4"
1569978264,1,0,0,"C2,CQ,C9,C6;D10,DK,D9,D7;S2,S4,SA,CA;SJ,SK,D2,S5;SQ,S8,DQ,S9;DJ,DA,C7,D3;C8,C4,H9,CJ;H6,HQ,H10,H5;H7,HJ,S6,H4;D5,C10,D4,H3;D8,S3,D6,HK;C5,C3,CK,H8;S7,HA,S10,H2"
1569978264,1,0,0,"C2,CK,C10,C9;D6,D2,D4,D9;CQ,CJ,S2,C3;C5,SQ,D5,C6;D8,DQ,DJ,DK;S6,S10,S8,S5;SJ,S4,SK,S3;S9,SA,D3,C7;H3,HA,HQ,HK;H8,H6,D7,H10;C8,H4,H7,S7;C4,HJ,H9,D10;CA,H2,H5,DA"
1569978264,1,4,0,"C2,CJ,C8,C7;D4,D7,DK,D9;D6,D2,DJ,DA;S9,S4,SK,SA;C6,C4,C5,CA;S6,S8,S10,S3;D3,SJ,CK,D10;C3,D8,C9,S7;S2,D5,H7,C10;S5,H3,H4,CQ;SQ,H8,H2,DQ;H5,H9,HQ,HJ;HK,HA,H10,H6"
1569978264,1,4,0,"C2,C8,CK,CQ;DA,DJ,D6,D10;D3,D8,DQ,D9;S2,S9,SK,S3;SQ,SA,S6,D4;C5,SJ,C3,C6;S5,S8,C10,C7;DK,D2,C9,D7;D5,S10,CA,C4;S4,S7,CJ,H6;H3,HQ,H7,HA;HJ,H8,H9,HK;H2,H4,H10,H5"
1569978264,1,6,0,"C2,C7,CQ,C3;D9,DK,D4,DJ;SK,SQ,SA,S7;C10,CJ,CK,CA;D8,DQ,D7,D10;S6,S4,S3,S5;S2,C5,S10,S8;C9,C8,C6,D2;D6,D3,D5,DA;SJ,S9,H9,H5;HA,H6,H4,HQ;H10,HK,H2,HJ;C4,H3,H8,H7"
1569978264,1,17,0,"C2,C7,C10,CJ;D9,D3,D4,D8;D2,DK,DJ,CQ;D7,DQ,D5,CK;S10,S2,S4,S8;SQ,S5,S6,SK;D10,DA,C6,C9;SA,C5,S3,S7;S9,H4,H8,D6;C3,H5,C8,CA;C4,H7,HK,HJ;H6,HA,H2,HQ;H10,H3,SJ,H9"
1569978264,1,3,0,"C2,CQ,C10,C5;SJ,S10,S5,SQ;S8,S9,S3,S2;D10,DK,D4,DA;C9,CK,C6,CA;D7,D9,DJ,C7;CJ,S6,C3,C4;D8,D3,DQ,SA;D6,S7,D5,C8;S4,SK,H7,H9;HK,H10,H6,H3;HA,HJ,H4,H5;H8,HQ,H2,D2"
1569978264,1,0,0,"C2,C7,CJ,C3;DK,D4,DQ,DA;SK,S5,S6,SQ;S9,SA,SJ,S3;D7,D3,D2,D10;S10,C4,S8,C6;S4,C10,D8,CQ;S7,D5,D6,C8;S2,DJ,D9,C5;H4,H10,H7,H2;HA,H6,HK,H9;C9,CK,H3,H5;CA,HJ,H8,HQ"
1569978264,1,16,0,"C2,C6,CJ,CQ;D4,DA,D5,D10;C3,CK,C7,C4;S10,SQ,S8,S7;D2,D3,S6,DJ;DK,DQ,SK,D8;C5,CA,C9,D7;S2,S5,S3,S9;D6,SA,HQ,C10;D9,C8,H8,H7;HJ,HA,H6,H5;SJ,H4,H3,H2;S4,HK,H9,H10"
